"Xenopsylla_skrjabini"	"Nosopsyllus_laeviceps"	"Coptopsylla_lamellifer"	"Neopsylla_setosa"	"Citellophilus_trispinus"	"Rhadinopsylla_cedestis"	"Echidnophaga_oschanini"	"Oropsylla_ilovaiskii"	"Citellophilus_tesquorum"	"Ctenophthalmus_dolichus"	"Mesopsylla_hebes"	"Mesopsylla_tuschkan"	"Mesopsylla_lenis"	"Ctenophthalmus_breviatus"	"Xenopsylla_conformis"	"Ophthalmopsylla_volgensis"	"Frontopsylla_semura"	"Amphipsylla_schelkovnikovi"	"Amphipsylla_kalabukhovi"	"Paradoxopsyllus_repandus"	"Leptopsylla_segnis"	"Stenoponia_conspecta"
"Rhombomys_opimus"	105610	9319	1930	61	3	1121	872	424	10	621	15	13	11	1	75	1	6	0	0	3	1	1
"Spermophilus_pygmaeus"	338	127	0	1628	87	12	1	260	450	4	1	3	49	101	6	1	35	0	0	0	0	0
"Spermophilus_fulvus"	84	60	0	48	1612	0	0	173	149	0	0	0	0	0	0	0	0	0	0	0	0	0
"Meriones_meridianus"	725	138	5	9	0	7	5	6	0	0	2	6	3	0	6	0	0	0	0	0	1	0
"Stylodipus_telum"	92	30	0	32	0	0	0	5	68	0	33	78	5	3	0	62	4	0	0	0	0	0
"Allactaga_elater"	97	28	0	1	0	1	0	1	0	0	51	48	49	0	0	8	1	0	0	0	0	0
"Allactaga_major"	30	0	0	0	0	0	2	0	0	0	174	55	12	0	0	1	0	0	0	0	0	0
"Pygeretmus_pumilio"	96	9	0	0	0	2	0	0	0	0	21	24	17	0	0	6	0	0	0	0	0	0
"Meriones_tamariscinus"	38	65	10	0	2	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Cricetulus_migratorius"	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0
"Allocricetulus_eversmanni"	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	3	0	0	0
