"Ctenophthalmus_arvalis"	"Mesopsylla_hebes"	"Pectinoctenus_pavlovskii"	"Frontopsylla_elata"	"Citellophilus_tesquorum"	"Callopsylla_caspia"	"Neopsylla_pleskei"	"Amphipsylla_primaris"	"Pectinoctenus_nemorosa"	"Amphipsylla_rossica"	"Megabothris_walkeri"	"Leptopsylla_segnis"	"Ophthalmopsylla_volgensis"
"Lagurus_lagurus"	73	0	0	0	5	0	8	0	0	0	0	0	0
"Allactaga_major"	0	80	0	0	0	0	0	0	0	0	0	0	0
"Allocricetulus_eversmanni"	13	0	30	0	12	0	7	0	0	0	0	0	0
"Alticola_strelzowi"	0	0	0	3	0	20	0	7	0	0	0	0	0
"Spermophilus_erythrogenys"	18	0	0	0	4	0	2	2	0	2	0	0	0
"Clethrionomys_rutilus"	2	0	0	22	0	0	0	0	0	0	0	0	0
"Cricetulus_barabensis"	0	0	20	0	0	0	0	0	0	0	0	0	0
"Microtus_oeconomus"	3	0	0	0	2	0	2	0	0	0	0	0	0
"Apodemus_uralensis"	0	0	0	0	0	0	0	0	6	0	0	0	0
"Microtus_arvalis"	2	0	0	0	0	0	0	0	0	2	2	0	0
"Apodemus_agrarius"	0	0	0	0	0	0	0	0	0	0	2	2	0
"Sicista_subtilis"	2	0	0	0	2	0	0	0	0	0	0	0	0
"Allactaga_sibirica"	0	0	0	0	0	0	0	0	0	0	0	0	2
"Microtus_gregalis"	0	0	0	2	0	0	0	0	0	0	0	0	0
