"Agathidinae_sp"	"Ahasverus_advena_Waltle"	"Allograpta_nasuta_Marquart"	"Apis_mellifera_Linnaeus"	"Atherigona_orientalis_Schiner"	"Brachymyrmex_sp"	"Calopsilia_florella_Fabricius"	"Campopleginae_sp_1"	"Cerambycidae_sp_1"	"Cerambycidae_sp_2"	"Cerambycidae_sp_3"	"Ceratitis_roas_Karsch"	"Chaetocnema_sp_1"	"Cheloninae_sp_1"	"Cheloninae_sp_3"	"Chrysomya_megacephala_Fabricius"	"Cixiidae_sp_1"	"Cixiidae_sp_2"	"Cotesia_sp1"	"Cratopus_psittacus_Faimaire"	"Cryptocephalinae_sp_1"	"Dasytinae_sp_1"	"Dioxyna_sororcula_Wiedemann"	"Diptera_sp_2"	"Diptera_sp_3"	"Dysauxes_florida_Joan."	"Episyrphus_sp._near_circularis_Hull"	"Eristalinus_flaveolus_Bigot"	"Eumolpinae_sp_2"	"Eumolpinae_sp_3"	"Eurytonidae_sp_1"	"Fannia_pusio_Wiedemann"	"Gelechioidea_sp_1"	"Gelechioidea_sp_2"	"Gelechioidea_sp_3"	"Goniurellia_or_Dectodes_sp"	"Graphomya_maculata_Scopoli"	"Henotesia_narcissus_Fabricius"	"Hippotion_eson_Cramer"	"Homoneura_sp_2"	"Homoneura_sp_3"	"Hydrotaea_fuliginosa_Robineau-Desvoidy"	"Ischiodon_aegyptius_Wiedemann"	"Lecithoceridae_sp_1"	"Leptotes_pirithous_Linnaeus"	"Limnophora_quaterna_Loew"	"Lygaeidae_sp_2"	"Lygaeidae_sp_3"	"Lygaeidae_sp_5"	"Lygistorrhina_sp"	"Macroglossum_milvus_Boisduval"	"Mauritiborium_undulatus"	"Melanagromyza_sojae_Zehntner"	"Melanostoma_annulipes_Macquart"	"Melanostoma_bituberculatum_Loew"	"Miridae_sp_1"	"Mordellidae_sp_1"	"Mordellidae_sp_2"	"Mordellidae_sp_3"	"Musca_confiscata_Speiser"	"Musca_domestica_Linnaeus"	"Nacoleia_sp_1"	"Nacoleia_sp_2"	"Nitidulidae_sp_1"	"Nyctemera_insulare_Boisduval"	"Ophyra_capensis_Wiedemann"	"Orchisia_costata_Meigen"	"Ornidia_obesa_Fabricius"	"Orthellia_albigena_Stein"	"Pachycerina_crinicornis_Thomson"	"Palexorista_sp_1"	"Panara_naso_Fabricius"	"Paragus_borbonicus_Macquart"	"Pelecophora_intemipta_All"	"Phalanta_phalantha_Drury"	"Pheidole_megacephala_Fabricius"	"Phelsuma_cepediana_Merrem"	"Phorinia_sp"	"Polistes_hebraeus_Fabricius"	"Psyllidae_sp_2"	"Sapromyza_sp._near_nudiuscula_Lamb."	"Sarcophaga_arno_Curran"	"Scatopsidae_sp"	"Scirtidae_sp_1"	"Scirtidae_sp_2"	"Scolia_carniflex_Coquillett"	"Scopariinae_sp"	"Simulium_(Byssodon)_sp_2"	"Siphona_sp"	"Stomorhina_lunata_Fabricius"	"Stomoxys_calcitrans_Linnaeus"	"Stomoxys_niger_Macquart"	"Syritta_bulbus_Walker"	"Syritta_nigrofemorata_Macquart"	"Syritta_sp._(near_abyssinica_Rondani)"	"Technomyrmex_albipes_Smith"	"Thelairodrino_sp"	"Thysanoplusia_orichalcea_Fabricius"	"Villa_unifasciata_Macquart"	"Zosterops_mauritianus_Gmelin"
"Antidesma_madagascariense"	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0.066666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8	0	0	0.2	0
"Antirhea_borbonica"	0	0	0.730793651	0.08	0	0	0	0	0	0	0	0	0.210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.866955267	0.432900433	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111111111	0	0	0	0.142857143	0	0	0	0	0.215555556	0
"Aphloia_theiformis"	0	0	0.04	4.988034188	0	2.760989011	0	0	0	0	0	0	2.152380952	0	0	0.222186235	0	0	0	0	0	0	0	0	0	0.485714286	0	1.178614806	0	0	0	0.2	0	0.222222222	0.222222222	0	0	0	0	0	0	0	0	0	0	0	0	0.133333333	0	0	0.166666667	0	0	2.472161172	0.583333333	0	0	0	0.076923077	0	2.753957972	0	0	0	0	0.166666667	0	0	0.315789474	0.574603175	0	0.766666667	0.105263158	0	0	0	0	0	0.206666667	0	0.285714286	0	0	0	0	0	0	0	0	3.27956044	0.26	0.571428571	0	0	0	5.236032389	0	0	0.916666667	0
"Badula_insularis"	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0
"Badula_platiphylla"	0	0	0	0	0	0.6	0	0	0	0	0	0	2.412518854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133333333	0	0	0	0	0	0	0	0	0.153846154	0
"Bertiera_zaluzania"	0	0	0.737179487	10.80897436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.287179487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153846154	0	0	0	0.0625	0	0	0	0	0.166666667	0	0	0	0	0	0	0	0	0.133333333	0	0	0	0	0	0	0	0	0	0.0625	1.032051282	0	0	0	0.153846154	0	5.888461538	0	0	0	0
"Calophyllum_eputamen_var_eputamen"	0	0	0	2.619047619	0	0	0	0	0	0	0	0	0.666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.416666667	0	0	0	0	0	0	0	0	0	0
"Casearia_coriacea"	0	0	0	1.737700535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.661497326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.090909091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117647059	0
"Chassalia_coriacea_var_coriacea"	0	0	0.535714286	0.133333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	1.857417582	0	0	0	0	0	0	0.320512821	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0	0	0	0	0	0	0	0	0
"Claoxylon_linostachys_ssp_brachyphyllum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026666667	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
