"Phaethornis_bourcieri"	"Chlorostilbon_olivaresi"	"Phaethornis_malaris"	"Thalurania_furcata"	"Phaethornis_ruber"	"Amazilia_versicolor"	"Florisuga_mellivora"	"Topaza_pyra"
"Decagonocarpus_cornutus"	0	102	0	0	0	0	0	0
"Retiniphyllum_rhabdocalyx"	29	5	0	40	0	0	0	0
"Aechmea_chantiniii"	13	38	0	0	1	0	0	0
"Aphelandra_macrostachya"	30	0	22	0	0	0	0	0
"Isertia_hypoleuca"	5	0	41	4	0	0	1	1
"Monotagma_secundum"	32	0	0	8	1	0	0	0
"Payparola_hulkiana"	33	0	1	4	3	0	0	0
"Tachia_occidentalis"	23	0	11	0	0	0	0	0
"Drymonia_semicordata"	28	0	1	0	0	0	0	0
"Satyria_panurensis"	11	9	0	7	0	0	0	0
"Billbergia_decora"	16	0	9	0	0	0	0	0
"Passiflora_vitifolia"	9	0	16	0	0	0	0	0
"Aechmea_contracta"	23	0	0	0	1	0	0	0
"Heliconia_sp1_M_PL_071"	6	0	18	0	0	0	0	0
"Alloplectus_savanarum"	19	0	3	0	0	0	0	0
"Pepinia_sp1_M_PL_071"	8	0	12	0	0	0	0	0
"Ischnosiphon_lasiocoleus"	2	0	0	0	17	0	0	0
"Palicourea_sp1_M_PL_071"	17	0	0	0	0	0	0	0
"Symphonia_globulifera"	5	0	0	12	0	0	0	0
"Ryania_pyrifera"	7	0	0	9	0	0	0	0
"Markea_coccinea"	13	0	0	2	0	0	0	0
"Pslicourea_quadrifolia"	1	0	0	12	1	0	0	0
"Psychotria_bahiensis"	9	0	0	3	2	0	0	0
"Psychotria_platypoda"	0	0	0	14	0	0	0	0
"Tabernamontana_macrocalyx"	13	0	0	0	0	0	0	0
"Psychotria_peppigiana"	12	0	0	0	0	0	0	0
"Psittacanthus_lasianthus"	10	1	0	0	0	0	0	0
"Aechmea_corymbosa"	10	0	0	0	0	0	0	0
"Vriesea_chrysostachys"	6	2	0	0	0	0	0	0
"Zygia_lathetica"	3	0	2	3	0	0	0	0
"Costus_scaber"	7	0	0	0	0	0	0	0
"Columnea_ericae"	5	0	0	1	0	0	0	0
"Isertia_rosea"	0	0	4	2	0	0	0	0
"Amasonia_arborea"	4	0	0	0	0	1	0	0
"Bromelia_sp1_M_PL_071"	3	0	2	0	0	0	0	0
"Calathea_zingiberea"	3	0	0	2	0	0	0	0
"Heliconia_tarumaensis"	3	0	2	0	0	0	0	0
"Passiflora_sp1_M_PL_071"	2	0	1	2	0	0	0	0
"Aechmea_rubiginosa"	3	0	0	0	0	0	0	0
"Ferdinandusa_sprucei"	1	2	0	0	0	0	0	0
"Gurania_rufipila"	3	0	0	0	0	0	0	0
"Justicia_cuatrecasii"	3	0	0	0	0	0	0	0
"Palicourea_subspicata"	3	0	0	0	0	0	0	0
"Renealmia_sp1_M_PL_071"	0	0	0	0	1	0	0	0
