"Tachyphonus_coronatus"	"Chiroxiphia_caudata"	"Trichothraupis_melanops"	"Vireo_olivaceus"	"Manacus_manacus"	"Saltator_similis"	"Dacnis_cayana"	"Elaenia_flavogaster"	"Pitangus_sulphuratus"	"Thraupis_sayaca"	"Myiodynastes_maculatus"	"Habia_rubica"	"Turdus_rufiventris"	"Ramphocelus_carbo"	"Tyrannus_melancholicus"	"Thlypopsis_sordida"	"Myiophobus_fasciatus"	"Tangara_cayana"	"Coereba_flaveola"	"Cyclarhis_gujanensis"	"Penelope_superciliaris"	"Ramphastos_toco"	"Turdus_amaurochalinus"	"Tyrannus_savanna"	"Conirostrum_speciosum"	"Cyanocorax_cristatellus"	"Pipraeidea_melanonota"	"Sirystes_sibilator"	"Tityra_cayana"
"Trema_micrantha"	10	5	12	7	5	12	6	2	0	3	1	1	0	1	1	2	0	2	0	0	0	0	0	2	0	0	0	0	0
"Cecropia_pachystachia"	16	1	2	0	2	0	3	1	1	5	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"Urera_baccifera"	12	0	7	0	4	0	0	0	0	0	0	6	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
"Chamissoa_altissima"	5	2	11	0	2	2	1	2	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0
"Cabralea_canjerana"	0	1	0	8	0	0	3	0	6	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dendropanax_cuneatum"	0	2	0	4	5	8	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
"Pera_glabrata"	7	1	1	3	2	2	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
"Trichilia_clauseni"	3	1	2	7	0	2	0	0	0	0	0	1	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0
"Citharexylum_mirianthum"	0	6	0	0	1	1	0	0	0	0	4	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zanthoxylum_hyemale"	0	0	0	9	0	0	5	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0
"Talauma_ovata"	0	0	0	0	1	0	2	6	3	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Gomidesia_affinis"	1	6	0	0	1	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ocotea_macropoda"	0	4	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Ocotea_corimbosa"	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"Miconia_discolor"	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cestrum_sp1_M_SD_012"	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Momordica_charantia"	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ocotea_sp1_M_SD_012"	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"Miconia_elegans"	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pereskia_aculeata"	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Persia_major"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Protium_heptaphyllum"	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rubus_sp1_M_SD_012"	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Copaifera_langsdorffii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
"Maytenus_aquifolium"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Miconia_sp1_M_SD_012"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Palicourea_sp1_M_SD_012"	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paullinia_sp1_M_SD_012"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Xylopia_brasiliensis"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chlorophora_tinctoria"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cordia_sp1_M_SD_012"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ficus_luschnatiana"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paullinia_rhomboidea"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Piper_sp1_M_SD_012"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhipsalis_sp1_M_SD_012"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
