"Carduelis_chloris"	"Coccothraustes_coccothraustes"	"Columba_palumbus"	"Corvus_corone_corone"	"Erithacus_rubecula"	"Ficedula_hypoleuca"	"Fringilla_coelebs"	"Garrulus_glandarius"	"Parus_caeruleus"	"Parus_major"	"Parus_montanus"	"Parus_palustris"	"Passer_domesticus"	"Passer_montanus"	"Phoenicurus_ochruros"	"Phoenicurus_phoenicurus"	"Phylloscopus_collybita"	"Pica_pica"	"Pyrrhula_pyrrhula"	"Sitta_europaea"	"Sturnus_vulgaris"	"Sylvia_atricapilla"	"Sylvia_borin"	"Sylvia_communis"	"Sylvia_curruca"	"Turdus_iliacus"	"Turdus_merula"	"Turdus_philomelos"	"Turdus_pilaris"	"Turdus_torquatus"	"Turdus_viscivorus"
"Amelanchier_lamarckii"	1	3	8.5	0	0	0	10	0	7.3	0	0	0	4	5	0	0	0	0	0	0	0	2.2	4.5	0	1	0	5	0	3.1	0	0
"Cornus_sanguinea"	0	2	0	0	1.5	1.3	0	0	1.6	1.8	0	1.8	0	0	1	0	0	0	0	0	0	2.3	0	0	0	0	3	14	20.5	0	0
"Crataegus_monogyna"	0	2.6	0	0	1	0	1	0	1.3	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6.8	6.3	3.7	4.9	0	0
"Crataegus_oxyacantha"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7	0	0	0	0
"Euonymus_europaea"	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Fragaria_vesca_dom."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.6	0	0	0	0
"Frangula_alnus"	0	0	0	0	1.4	0	0	0	1	0	0	0	0	0	0	0	0	0	2.5	0	0	2.7	3.7	0	0	0	2.6	5	0	0	0
"Hedera_helix"	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2	0	0	0	0	12.2	3.8	0	0	0
"Ligustrum_vulgare"	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	4.8	0	0	0	0	0	0	0	3.9	0	3	0	0
"Lonicera_xylosteum"	0	0	0	0	0	0	0	0	0	0	0	6.6	0	0	0	0	0	0	0	0	0	3.6	4	0	0	0	1	1	0	0	0
"Malus_domesticus"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
"Prunus_avium"	0	6.5	0	2.8	0	0	0	1.9	1.5	1	0	0	0	0	0	0	0	1.8	0	0	2.3	1.7	1.2	0	0	0	1.3	1	0	0	2.9
"Prunus_avium_duralis"	0	0	0	0	0	0	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Prunus_domestica"	0	0	0	0	1	0	0	1	1.4	1.3	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0
"Prunus_padus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	1.7	0	0	0	4	0	0	0	0
"Prunus_serotina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3	3	0	0	0	4.2	2.6	0	0	0
"Prunus_spinosa"	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1	0	0	0	0
"Rhamnus_cathartica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	33	0	0	2.4	0	0	0	7.4	5	5.7	0	0	0
"Ribes_rubrum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3	1.5	0	0	0	1.4	0	0	0	0
"Rosa_canina"	3.1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3	0	3.1	0	0
"Rubus_fruticosus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Rubus_ideaus"	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	5.2	2.2	1.3	0	0	7	0	0	0	0
"Sambucus_nigra"	0	0	0	0	3	3	0	4.9	3.9	1	0	1.7	0	3.3	3.5	2	0	0	8.1	0	12	7.8	9.2	2.9	2	26	25.7	20.3	0	0	0
"Sambucus_racemosa"	0	0	0	0	5	2.5	0	34	3	0	0	0	0	0	0	0	0	0	0	0	0	6	7.2	0	0	0	15	20	0	0	0
"Sorbus_aria"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6	1.7	0	0	0
"Sorbus_aucuparia"	1.7	7.5	3	7	1	0	0	6.7	1.3	1.5	0	1	0	0	1.3	0	0	3.8	6.1	0	4.3	2.1	1.9	1	0	0	4.7	4.8	6.9	0	6.8
"Sorbus_torminalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2	5.3	0	0	0
"Taxus_baccata"	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.7	0	0	0	3	3.1	2.8	0	1	8.3
"Viburnum_lantana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3	3.5	0	0	0	0	0	0	0	0
"Viburnum_opulus"	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	11.9	0	0	2.7	0	0	0	0	3.1	3.5	5.1	0	0
"Viscum_album"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	4	0	0	3.9
