"C1"	"C2"	"C3"	"C4"
"R1"	1	1	1	1
"R2"	1	1	1	1
"R3"	1	1	1	1
"R4"	1	1	1	1
"R5"	1	1	0	0
"R6"	1	1	1	1
"R7"	1	1	1	1
"R8"	1	1	1	1
"R9"	1	1	1	1
"R10"	1	1	1	1
"R11"	1	1	1	1
"R12"	1	1	1	1
"R13"	1	1	1	1
"R14"	1	1	1	1
"R15"	1	1	1	1
"R16"	1	1	1	1
"R17"	1	1	1	1
"R18"	1	1	1	1
"R19"	1	1	1	1
"R20"	1	1	1	1
"R21"	1	1	1	1
"R22"	0	1	1	1
"R23"	1	1	1	1
"R24"	0	1	1	1
"R25"	1	1	1	1
"R26"	0	1	1	1
"R27"	1	1	1	1
"R28"	1	1	1	1
"R29"	1	1	1	1
"R30"	0	1	1	1
"R31"	1	1	1	1
"R32"	1	1	1	1
"R33"	1	1	1	1
"R34"	0	1	0	0
"R35"	1	1	1	1
"R36"	1	1	1	1
"R37"	1	1	1	1
"R38"	1	1	1	1
"R39"	1	1	1	1
"R40"	1	1	1	1
"R41"	0	1	1	0
"R42"	0	1	1	1
"R43"	1	1	1	1
"R44"	1	1	1	1
"R45"	0	1	0	0
"R46"	1	1	1	1
"R47"	1	1	1	1
"R48"	1	1	1	1
"R49"	1	1	1	1
"R50"	1	1	1	0
"R51"	1	1	1	1
"R52"	0	1	1	1
"R53"	1	1	1	1
"R54"	1	1	1	1
"R55"	1	1	1	1
"R56"	1	1	1	1
"R57"	1	1	1	1
"R58"	1	1	1	0
"R59"	1	1	1	1
"R60"	1	1	1	1
"R61"	0	1	1	1
"R62"	1	1	1	1
"R63"	1	1	1	1
"R64"	0	1	0	0
"R65"	0	1	1	1
"R66"	1	1	1	1
"R67"	0	1	1	1
"R68"	1	1	1	1
"R69"	1	1	1	1
"R70"	1	1	1	1
"R71"	1	1	1	1
"R72"	1	1	1	1
"R73"	1	1	1	1
"R74"	1	1	1	1
"R75"	1	1	1	1
"R76"	1	1	1	1
"R77"	0	1	0	0
"R78"	0	1	1	1
"R79"	1	1	1	1
"R80"	1	1	1	1
"R81"	0	1	1	0
"R82"	1	1	1	1
"R83"	1	1	1	1
"R84"	1	1	1	1
"R85"	1	1	1	1
"R86"	1	1	1	1
"R87"	1	1	1	1
"R88"	1	1	1	1
