File	N.modules	Modularity
M_3_smallwood_GC1.txt	4	0.190137	
M_3_smallwood_GC1.txt	5	0.209662	
M_3_smallwood_GC1.txt	4	0.325851	
M_3_smallwood_GC1.txt	4	0.355442	
M_3_smallwood_GC1.txt	5	0.217355	
M_3_smallwood_GC1.txt	3	0.259669	
M_3_smallwood_GC1.txt	5	0.322314	
M_3_smallwood_GC1.txt	4	0.356921	
M_3_smallwood_GC1.txt	4	0.252774	
M_3_smallwood_GC1.txt	4	0.237451	
M_3_smallwood_GC1.txt	4	0.205833	
M_3_smallwood_GC1.txt	4	0.259200	
M_3_smallwood_GC1.txt	5	0.240939	
M_3_smallwood_GC1.txt	3	0.214450	
M_3_smallwood_GC1.txt	4	0.275094	
M_3_smallwood_GC1.txt	4	0.189167	
M_3_smallwood_GC1.txt	4	0.377454	
M_3_smallwood_GC1.txt	3	0.200803	
M_3_smallwood_GC1.txt	3	0.274261	
M_3_smallwood_GC1.txt	4	0.210619	
M_3_smallwood_GC1.txt	4	0.192361	
M_3_smallwood_GC1.txt	5	0.217355	
M_3_smallwood_GC1.txt	3	0.253232	
M_3_smallwood_GC1.txt	4	0.219144	
M_3_smallwood_GC1.txt	4	0.344511	
M_3_smallwood_GC1.txt	4	0.220661	
M_3_smallwood_GC1.txt	3	0.291234	
M_3_smallwood_GC1.txt	4	0.295400	
M_3_smallwood_GC1.txt	5	0.321023	
M_3_smallwood_GC1.txt	4	0.259400	
M_3_smallwood_GC1.txt	4	0.319828	
M_3_smallwood_GC1.txt	4	0.247063	
M_3_smallwood_GC1.txt	4	0.283854	
M_3_smallwood_GC1.txt	4	0.191612	
M_3_smallwood_GC1.txt	5	0.250288	
M_3_smallwood_GC1.txt	3	0.245370	
M_3_smallwood_GC1.txt	5	0.309877	
M_3_smallwood_GC1.txt	5	0.233535	
M_3_smallwood_GC1.txt	4	0.304687	
M_3_smallwood_GC1.txt	5	0.195452	
M_3_smallwood_GC1.txt	4	0.346763	
M_3_smallwood_GC1.txt	5	0.250481	
M_3_smallwood_GC1.txt	3	0.254386	
M_3_smallwood_GC1.txt	3	0.190036	
M_3_smallwood_GC1.txt	3	0.233578	
M_3_smallwood_GC1.txt	3	0.291200	
M_3_smallwood_GC1.txt	4	0.237273	
M_3_smallwood_GC1.txt	3	0.336790	
M_3_smallwood_GC1.txt	3	0.178760	
M_3_smallwood_GC1.txt	4	0.240569	
M_3_smallwood_GC1.txt	4	0.266600	
M_3_smallwood_GC1.txt	4	0.337778	
M_3_smallwood_GC1.txt	3	0.299800	
M_3_smallwood_GC1.txt	4	0.252937	
M_3_smallwood_GC1.txt	4	0.255286	
M_3_smallwood_GC1.txt	4	0.257581	
M_3_smallwood_GC1.txt	3	0.348348	
M_3_smallwood_GC1.txt	3	0.270249	
M_3_smallwood_GC1.txt	4	0.269800	
M_3_smallwood_GC1.txt	5	0.188739	
M_3_smallwood_GC1.txt	4	0.313490	
M_3_smallwood_GC1.txt	3	0.263374	
M_3_smallwood_GC1.txt	4	0.269704	
M_3_smallwood_GC1.txt	3	0.214876	
M_3_smallwood_GC1.txt	3	0.251886	
M_3_smallwood_GC1.txt	5	0.233179	
M_3_smallwood_GC1.txt	3	0.339400	
M_3_smallwood_GC1.txt	4	0.255863	
M_3_smallwood_GC1.txt	3	0.289201	
M_3_smallwood_GC1.txt	3	0.242112	
M_3_smallwood_GC1.txt	4	0.282799	
M_3_smallwood_GC1.txt	3	0.273941	
M_3_smallwood_GC1.txt	4	0.198361	
M_3_smallwood_GC1.txt	5	0.288592	
M_3_smallwood_GC1.txt	3	0.280772	
M_3_smallwood_GC1.txt	5	0.334235	
M_3_smallwood_GC1.txt	4	0.246173	
M_3_smallwood_GC1.txt	4	0.270929	
M_3_smallwood_GC1.txt	4	0.310548	
M_3_smallwood_GC1.txt	3	0.284463	
M_3_smallwood_GC1.txt	4	0.243898	
M_3_smallwood_GC1.txt	4	0.259400	
M_3_smallwood_GC1.txt	3	0.244684	
M_3_smallwood_GC1.txt	4	0.222838	
M_3_smallwood_GC1.txt	5	0.309877	
M_3_smallwood_GC1.txt	3	0.216199	
M_3_smallwood_GC1.txt	3	0.251479	
M_3_smallwood_GC1.txt	4	0.252211	
M_3_smallwood_GC1.txt	5	0.250096	
M_3_smallwood_GC1.txt	3	0.261246	
M_3_smallwood_GC1.txt	3	0.285298	
M_3_smallwood_GC1.txt	4	0.315217	
M_3_smallwood_GC1.txt	3	0.195915	
M_3_smallwood_GC1.txt	4	0.291450	
M_3_smallwood_GC1.txt	5	0.202370	
M_3_smallwood_GC1.txt	3	0.232066	
M_3_smallwood_GC1.txt	3	0.280599	
M_3_smallwood_GC1.txt	4	0.245713	
M_3_smallwood_GC1.txt	3	0.259311	
M_3_smallwood_GC1.txt	3	0.231543	
M_3_smallwood_GC1.txt	4	0.253328	
M_3_smallwood_GC1.txt	3	0.193194	
M_3_smallwood_GC1.txt	3	0.229763	
M_3_smallwood_GC1.txt	5	0.217686	
M_3_smallwood_GC1.txt	3	0.264978	
M_3_smallwood_GC1.txt	3	0.275800	
M_3_smallwood_GC1.txt	5	0.217355	
M_3_smallwood_GC1.txt	3	0.261322	
M_3_smallwood_GC1.txt	3	0.208218	
M_3_smallwood_GC1.txt	4	0.217897	
M_3_smallwood_GC1.txt	4	0.300567	
M_3_smallwood_GC1.txt	5	0.170395	
M_3_smallwood_GC1.txt	4	0.278842	
M_3_smallwood_GC1.txt	4	0.290403	
M_3_smallwood_GC1.txt	3	0.306400	
M_3_smallwood_GC1.txt	4	0.256842	
M_3_smallwood_GC1.txt	4	0.233025	
M_3_smallwood_GC1.txt	3	0.281805	
M_3_smallwood_GC1.txt	4	0.299250	
M_3_smallwood_GC1.txt	4	0.221157	
M_3_smallwood_GC1.txt	3	0.264298	
M_3_smallwood_GC1.txt	3	0.218624	
M_3_smallwood_GC1.txt	4	0.213787	
M_3_smallwood_GC1.txt	4	0.245370	
M_3_smallwood_GC1.txt	3	0.238512	
M_3_smallwood_GC1.txt	4	0.299250	
M_3_smallwood_GC1.txt	3	0.305794	
M_3_smallwood_GC1.txt	5	0.259200	
M_3_smallwood_GC1.txt	5	0.288592	
M_3_smallwood_GC1.txt	4	0.248800	
M_3_smallwood_GC1.txt	4	0.285318	
M_3_smallwood_GC1.txt	4	0.255732	
M_3_smallwood_GC1.txt	3	0.316433	
M_3_smallwood_GC1.txt	4	0.282174	
M_3_smallwood_GC1.txt	5	0.299149	
M_3_smallwood_GC1.txt	4	0.244083	
M_3_smallwood_GC1.txt	3	0.249769	
M_3_smallwood_GC1.txt	3	0.267934	
M_3_smallwood_GC1.txt	3	0.232361	
M_3_smallwood_GC1.txt	4	0.334505	
M_3_smallwood_GC1.txt	4	0.357220	
M_3_smallwood_GC1.txt	4	0.242112	
M_3_smallwood_GC1.txt	3	0.250000	
M_3_smallwood_GC1.txt	5	0.217851	
M_3_smallwood_GC1.txt	4	0.274510	
M_3_smallwood_GC1.txt	3	0.201528	
M_3_smallwood_GC1.txt	4	0.230248	
M_3_smallwood_GC1.txt	4	0.278547	
M_3_smallwood_GC1.txt	3	0.246529	
M_3_smallwood_GC1.txt	3	0.217759	
M_3_smallwood_GC1.txt	4	0.219144	
M_3_smallwood_GC1.txt	3	0.221775	
M_3_smallwood_GC1.txt	4	0.245370	
M_3_smallwood_GC1.txt	3	0.210572	
M_3_smallwood_GC1.txt	4	0.243144	
M_3_smallwood_GC1.txt	4	0.217747	
M_3_smallwood_GC1.txt	4	0.259400	
M_3_smallwood_GC1.txt	4	0.245461	
M_3_smallwood_GC1.txt	4	0.279948	
M_3_smallwood_GC1.txt	4	0.259800	
M_3_smallwood_GC1.txt	3	0.192261	
M_3_smallwood_GC1.txt	4	0.264238	
M_3_smallwood_GC1.txt	4	0.244083	
M_3_smallwood_GC1.txt	4	0.319012	
M_3_smallwood_GC1.txt	4	0.304470	
M_3_smallwood_GC1.txt	4	0.253944	
