File	N.modules	Modularity
M_A_HP_010_GC1.txt	7	0.419032	
M_A_HP_010_GC1.txt	6	0.448704	
M_A_HP_010_GC1.txt	6	0.412576	
M_A_HP_010_GC1.txt	6	0.429383	
M_A_HP_010_GC1.txt	5	0.394323	
M_A_HP_010_GC1.txt	6	0.455286	
M_A_HP_010_GC1.txt	7	0.384568	
M_A_HP_010_GC1.txt	5	0.441736	
M_A_HP_010_GC1.txt	5	0.400562	
M_A_HP_010_GC1.txt	7	0.449702	
M_A_HP_010_GC1.txt	7	0.467500	
M_A_HP_010_GC1.txt	5	0.431420	
M_A_HP_010_GC1.txt	6	0.413584	
M_A_HP_010_GC1.txt	5	0.392390	
M_A_HP_010_GC1.txt	6	0.421841	
M_A_HP_010_GC1.txt	6	0.480604	
M_A_HP_010_GC1.txt	7	0.461605	
M_A_HP_010_GC1.txt	6	0.449732	
M_A_HP_010_GC1.txt	6	0.415734	
M_A_HP_010_GC1.txt	5	0.356341	
M_A_HP_010_GC1.txt	7	0.394349	
M_A_HP_010_GC1.txt	7	0.381776	
M_A_HP_010_GC1.txt	5	0.436111	
M_A_HP_010_GC1.txt	6	0.388300	
M_A_HP_010_GC1.txt	5	0.463967	
M_A_HP_010_GC1.txt	5	0.431497	
M_A_HP_010_GC1.txt	6	0.491989	
M_A_HP_010_GC1.txt	7	0.419804	
M_A_HP_010_GC1.txt	6	0.398498	
M_A_HP_010_GC1.txt	7	0.455581	
M_A_HP_010_GC1.txt	6	0.425973	
M_A_HP_010_GC1.txt	5	0.440748	
M_A_HP_010_GC1.txt	5	0.430721	
M_A_HP_010_GC1.txt	7	0.472794	
M_A_HP_010_GC1.txt	6	0.387450	
M_A_HP_010_GC1.txt	6	0.425985	
M_A_HP_010_GC1.txt	6	0.406782	
M_A_HP_010_GC1.txt	7	0.412435	
M_A_HP_010_GC1.txt	6	0.431302	
M_A_HP_010_GC1.txt	6	0.352461	
M_A_HP_010_GC1.txt	6	0.444577	
M_A_HP_010_GC1.txt	7	0.459858	
M_A_HP_010_GC1.txt	6	0.425878	
M_A_HP_010_GC1.txt	6	0.386981	
M_A_HP_010_GC1.txt	7	0.353936	
M_A_HP_010_GC1.txt	8	0.454334	
M_A_HP_010_GC1.txt	7	0.418833	
M_A_HP_010_GC1.txt	6	0.454776	
M_A_HP_010_GC1.txt	6	0.451458	
M_A_HP_010_GC1.txt	5	0.436119	
M_A_HP_010_GC1.txt	7	0.416362	
M_A_HP_010_GC1.txt	7	0.385308	
M_A_HP_010_GC1.txt	5	0.392656	
M_A_HP_010_GC1.txt	6	0.339623	
M_A_HP_010_GC1.txt	5	0.457552	
M_A_HP_010_GC1.txt	5	0.459980	
M_A_HP_010_GC1.txt	6	0.398784	
M_A_HP_010_GC1.txt	4	0.469592	
M_A_HP_010_GC1.txt	6	0.487045	
M_A_HP_010_GC1.txt	7	0.445398	
M_A_HP_010_GC1.txt	5	0.417949	
M_A_HP_010_GC1.txt	5	0.373585	
M_A_HP_010_GC1.txt	5	0.401914	
M_A_HP_010_GC1.txt	6	0.453437	
M_A_HP_010_GC1.txt	6	0.382550	
M_A_HP_010_GC1.txt	5	0.402115	
M_A_HP_010_GC1.txt	7	0.393333	
M_A_HP_010_GC1.txt	5	0.373760	
M_A_HP_010_GC1.txt	6	0.384111	
M_A_HP_010_GC1.txt	5	0.399445	
M_A_HP_010_GC1.txt	7	0.468114	
M_A_HP_010_GC1.txt	6	0.418655	
M_A_HP_010_GC1.txt	6	0.409607	
M_A_HP_010_GC1.txt	6	0.409250	
M_A_HP_010_GC1.txt	5	0.442444	
M_A_HP_010_GC1.txt	6	0.398930	
M_A_HP_010_GC1.txt	6	0.416308	
M_A_HP_010_GC1.txt	7	0.397344	
M_A_HP_010_GC1.txt	7	0.470097	
M_A_HP_010_GC1.txt	5	0.370111	
M_A_HP_010_GC1.txt	7	0.445849	
M_A_HP_010_GC1.txt	6	0.440920	
M_A_HP_010_GC1.txt	5	0.416470	
M_A_HP_010_GC1.txt	6	0.425767	
M_A_HP_010_GC1.txt	6	0.450313	
M_A_HP_010_GC1.txt	6	0.387978	
M_A_HP_010_GC1.txt	7	0.445196	
M_A_HP_010_GC1.txt	7	0.405161	
M_A_HP_010_GC1.txt	6	0.494156	
M_A_HP_010_GC1.txt	5	0.393825	
M_A_HP_010_GC1.txt	7	0.437146	
M_A_HP_010_GC1.txt	8	0.400454	
M_A_HP_010_GC1.txt	6	0.449485	
M_A_HP_010_GC1.txt	5	0.396593	
M_A_HP_010_GC1.txt	6	0.384603	
M_A_HP_010_GC1.txt	7	0.488860	
M_A_HP_010_GC1.txt	6	0.402770	
M_A_HP_010_GC1.txt	6	0.410397	
M_A_HP_010_GC1.txt	5	0.417559	
M_A_HP_010_GC1.txt	6	0.402416	
M_A_HP_010_GC1.txt	7	0.486275	
M_A_HP_010_GC1.txt	6	0.433782	
M_A_HP_010_GC1.txt	6	0.392854	
M_A_HP_010_GC1.txt	6	0.401723	
M_A_HP_010_GC1.txt	5	0.411803	
M_A_HP_010_GC1.txt	6	0.517072	
M_A_HP_010_GC1.txt	6	0.409965	
M_A_HP_010_GC1.txt	5	0.413142	
M_A_HP_010_GC1.txt	6	0.357377	
M_A_HP_010_GC1.txt	6	0.390472	
M_A_HP_010_GC1.txt	6	0.373424	
M_A_HP_010_GC1.txt	6	0.502579	
M_A_HP_010_GC1.txt	6	0.397718	
M_A_HP_010_GC1.txt	6	0.448865	
M_A_HP_010_GC1.txt	7	0.391413	
M_A_HP_010_GC1.txt	6	0.464687	
M_A_HP_010_GC1.txt	5	0.354463	
M_A_HP_010_GC1.txt	5	0.457747	
M_A_HP_010_GC1.txt	5	0.445296	
M_A_HP_010_GC1.txt	5	0.372501	
M_A_HP_010_GC1.txt	6	0.373578	
M_A_HP_010_GC1.txt	8	0.396055	
M_A_HP_010_GC1.txt	5	0.457128	
M_A_HP_010_GC1.txt	7	0.406444	
M_A_HP_010_GC1.txt	6	0.429321	
M_A_HP_010_GC1.txt	6	0.407335	
M_A_HP_010_GC1.txt	6	0.379813	
M_A_HP_010_GC1.txt	7	0.460905	
M_A_HP_010_GC1.txt	5	0.430122	
M_A_HP_010_GC1.txt	7	0.371750	
M_A_HP_010_GC1.txt	6	0.435032	
M_A_HP_010_GC1.txt	7	0.455458	
M_A_HP_010_GC1.txt	5	0.421810	
M_A_HP_010_GC1.txt	7	0.406914	
M_A_HP_010_GC1.txt	7	0.440512	
M_A_HP_010_GC1.txt	6	0.451016	
M_A_HP_010_GC1.txt	7	0.386226	
M_A_HP_010_GC1.txt	6	0.450751	
M_A_HP_010_GC1.txt	6	0.382350	
M_A_HP_010_GC1.txt	8	0.451834	
M_A_HP_010_GC1.txt	6	0.428443	
M_A_HP_010_GC1.txt	6	0.407824	
M_A_HP_010_GC1.txt	6	0.435692	
M_A_HP_010_GC1.txt	7	0.366205	
M_A_HP_010_GC1.txt	6	0.468955	
M_A_HP_010_GC1.txt	6	0.515857	
M_A_HP_010_GC1.txt	6	0.424393	
M_A_HP_010_GC1.txt	6	0.428069	
M_A_HP_010_GC1.txt	8	0.400665	
M_A_HP_010_GC1.txt	6	0.479263	
M_A_HP_010_GC1.txt	5	0.419039	
M_A_HP_010_GC1.txt	6	0.389106	
M_A_HP_010_GC1.txt	6	0.466484	
M_A_HP_010_GC1.txt	7	0.452098	
