File	N.modules	Modularity
M_A_PH_005_GC1.txt	7	0.371777	
M_A_PH_005_GC1.txt	6	0.406764	
M_A_PH_005_GC1.txt	7	0.399727	
M_A_PH_005_GC1.txt	6	0.381202	
M_A_PH_005_GC1.txt	7	0.418477	
M_A_PH_005_GC1.txt	6	0.397127	
M_A_PH_005_GC1.txt	7	0.422165	
M_A_PH_005_GC1.txt	8	0.427391	
M_A_PH_005_GC1.txt	6	0.392242	
M_A_PH_005_GC1.txt	7	0.377717	
M_A_PH_005_GC1.txt	7	0.367573	
M_A_PH_005_GC1.txt	7	0.437878	
M_A_PH_005_GC1.txt	5	0.400991	
M_A_PH_005_GC1.txt	6	0.417478	
M_A_PH_005_GC1.txt	6	0.415799	
M_A_PH_005_GC1.txt	7	0.401928	
M_A_PH_005_GC1.txt	6	0.375502	
M_A_PH_005_GC1.txt	6	0.388446	
M_A_PH_005_GC1.txt	7	0.396204	
M_A_PH_005_GC1.txt	6	0.397421	
M_A_PH_005_GC1.txt	7	0.394183	
M_A_PH_005_GC1.txt	6	0.394806	
M_A_PH_005_GC1.txt	8	0.358583	
M_A_PH_005_GC1.txt	6	0.396306	
M_A_PH_005_GC1.txt	7	0.376192	
M_A_PH_005_GC1.txt	6	0.433730	
M_A_PH_005_GC1.txt	8	0.366773	
M_A_PH_005_GC1.txt	7	0.416392	
M_A_PH_005_GC1.txt	5	0.378503	
M_A_PH_005_GC1.txt	6	0.346130	
M_A_PH_005_GC1.txt	8	0.394253	
M_A_PH_005_GC1.txt	8	0.423487	
M_A_PH_005_GC1.txt	6	0.405441	
M_A_PH_005_GC1.txt	7	0.415462	
M_A_PH_005_GC1.txt	7	0.352432	
M_A_PH_005_GC1.txt	8	0.408984	
M_A_PH_005_GC1.txt	7	0.386090	
M_A_PH_005_GC1.txt	9	0.424899	
M_A_PH_005_GC1.txt	5	0.388441	
M_A_PH_005_GC1.txt	6	0.409122	
M_A_PH_005_GC1.txt	7	0.376313	
M_A_PH_005_GC1.txt	7	0.382968	
M_A_PH_005_GC1.txt	7	0.399707	
M_A_PH_005_GC1.txt	6	0.398994	
M_A_PH_005_GC1.txt	7	0.389802	
M_A_PH_005_GC1.txt	8	0.448033	
M_A_PH_005_GC1.txt	8	0.385249	
M_A_PH_005_GC1.txt	6	0.402538	
M_A_PH_005_GC1.txt	7	0.410266	
M_A_PH_005_GC1.txt	7	0.405176	
M_A_PH_005_GC1.txt	7	0.374797	
M_A_PH_005_GC1.txt	6	0.372272	
M_A_PH_005_GC1.txt	7	0.401658	
M_A_PH_005_GC1.txt	7	0.412366	
M_A_PH_005_GC1.txt	9	0.404345	
M_A_PH_005_GC1.txt	6	0.365916	
M_A_PH_005_GC1.txt	5	0.436143	
M_A_PH_005_GC1.txt	7	0.415695	
M_A_PH_005_GC1.txt	7	0.379595	
M_A_PH_005_GC1.txt	6	0.413192	
M_A_PH_005_GC1.txt	5	0.420398	
M_A_PH_005_GC1.txt	7	0.375966	
M_A_PH_005_GC1.txt	7	0.439389	
M_A_PH_005_GC1.txt	7	0.388974	
M_A_PH_005_GC1.txt	7	0.414768	
M_A_PH_005_GC1.txt	6	0.412115	
M_A_PH_005_GC1.txt	7	0.398415	
M_A_PH_005_GC1.txt	7	0.402601	
M_A_PH_005_GC1.txt	7	0.375249	
M_A_PH_005_GC1.txt	7	0.420085	
M_A_PH_005_GC1.txt	7	0.421694	
M_A_PH_005_GC1.txt	7	0.392456	
M_A_PH_005_GC1.txt	6	0.359822	
M_A_PH_005_GC1.txt	8	0.405214	
M_A_PH_005_GC1.txt	7	0.378629	
M_A_PH_005_GC1.txt	6	0.362388	
M_A_PH_005_GC1.txt	6	0.380588	
M_A_PH_005_GC1.txt	7	0.373629	
M_A_PH_005_GC1.txt	6	0.416204	
M_A_PH_005_GC1.txt	8	0.372898	
M_A_PH_005_GC1.txt	8	0.393698	
M_A_PH_005_GC1.txt	5	0.394631	
M_A_PH_005_GC1.txt	7	0.357605	
M_A_PH_005_GC1.txt	7	0.379420	
M_A_PH_005_GC1.txt	6	0.387320	
M_A_PH_005_GC1.txt	8	0.401633	
M_A_PH_005_GC1.txt	6	0.382351	
M_A_PH_005_GC1.txt	7	0.405887	
M_A_PH_005_GC1.txt	7	0.402353	
M_A_PH_005_GC1.txt	7	0.438565	
M_A_PH_005_GC1.txt	6	0.359142	
M_A_PH_005_GC1.txt	8	0.401491	
M_A_PH_005_GC1.txt	7	0.431426	
M_A_PH_005_GC1.txt	7	0.408692	
M_A_PH_005_GC1.txt	7	0.375616	
M_A_PH_005_GC1.txt	6	0.363346	
M_A_PH_005_GC1.txt	7	0.406938	
M_A_PH_005_GC1.txt	7	0.427366	
M_A_PH_005_GC1.txt	6	0.453858	
M_A_PH_005_GC1.txt	7	0.399837	
M_A_PH_005_GC1.txt	7	0.379908	
M_A_PH_005_GC1.txt	7	0.411119	
M_A_PH_005_GC1.txt	7	0.383078	
M_A_PH_005_GC1.txt	7	0.406428	
M_A_PH_005_GC1.txt	7	0.414807	
M_A_PH_005_GC1.txt	7	0.431706	
M_A_PH_005_GC1.txt	7	0.406368	
M_A_PH_005_GC1.txt	6	0.367943	
M_A_PH_005_GC1.txt	7	0.396915	
M_A_PH_005_GC1.txt	8	0.379496	
M_A_PH_005_GC1.txt	6	0.359942	
M_A_PH_005_GC1.txt	8	0.408621	
M_A_PH_005_GC1.txt	7	0.428818	
M_A_PH_005_GC1.txt	6	0.389230	
M_A_PH_005_GC1.txt	6	0.359231	
M_A_PH_005_GC1.txt	7	0.415291	
M_A_PH_005_GC1.txt	8	0.449651	
M_A_PH_005_GC1.txt	7	0.426364	
M_A_PH_005_GC1.txt	6	0.421789	
M_A_PH_005_GC1.txt	7	0.351039	
M_A_PH_005_GC1.txt	7	0.405116	
M_A_PH_005_GC1.txt	6	0.406011	
M_A_PH_005_GC1.txt	7	0.377181	
M_A_PH_005_GC1.txt	6	0.414464	
M_A_PH_005_GC1.txt	6	0.429804	
M_A_PH_005_GC1.txt	8	0.416004	
M_A_PH_005_GC1.txt	7	0.370496	
M_A_PH_005_GC1.txt	7	0.420007	
M_A_PH_005_GC1.txt	8	0.388541	
M_A_PH_005_GC1.txt	7	0.375405	
M_A_PH_005_GC1.txt	7	0.337786	
M_A_PH_005_GC1.txt	6	0.406253	
M_A_PH_005_GC1.txt	7	0.373144	
M_A_PH_005_GC1.txt	6	0.380239	
M_A_PH_005_GC1.txt	7	0.411793	
M_A_PH_005_GC1.txt	7	0.427277	
M_A_PH_005_GC1.txt	8	0.441498	
M_A_PH_005_GC1.txt	7	0.381618	
M_A_PH_005_GC1.txt	7	0.397127	
