File	N.modules	Modularity
M_DON_GC1.txt	7	0.311000	
M_DON_GC1.txt	8	0.323055	
M_DON_GC1.txt	6	0.352066	
M_DON_GC1.txt	6	0.337831	
M_DON_GC1.txt	6	0.369090	
M_DON_GC1.txt	7	0.312549	
M_DON_GC1.txt	6	0.338814	
M_DON_GC1.txt	7	0.321339	
M_DON_GC1.txt	6	0.308247	
M_DON_GC1.txt	7	0.323836	
M_DON_GC1.txt	5	0.321968	
M_DON_GC1.txt	8	0.311352	
M_DON_GC1.txt	8	0.323772	
M_DON_GC1.txt	6	0.339980	
M_DON_GC1.txt	8	0.343568	
M_DON_GC1.txt	7	0.326413	
M_DON_GC1.txt	6	0.329635	
M_DON_GC1.txt	7	0.345204	
M_DON_GC1.txt	5	0.312106	
M_DON_GC1.txt	7	0.335360	
M_DON_GC1.txt	7	0.324271	
M_DON_GC1.txt	8	0.316200	
M_DON_GC1.txt	6	0.327358	
M_DON_GC1.txt	7	0.339367	
M_DON_GC1.txt	8	0.319280	
M_DON_GC1.txt	7	0.333384	
M_DON_GC1.txt	6	0.319369	
M_DON_GC1.txt	6	0.343041	
M_DON_GC1.txt	7	0.376204	
M_DON_GC1.txt	7	0.309657	
M_DON_GC1.txt	6	0.328460	
M_DON_GC1.txt	8	0.323548	
M_DON_GC1.txt	5	0.325400	
M_DON_GC1.txt	5	0.340525	
M_DON_GC1.txt	6	0.321898	
M_DON_GC1.txt	6	0.376610	
M_DON_GC1.txt	7	0.346235	
M_DON_GC1.txt	7	0.340605	
M_DON_GC1.txt	6	0.335534	
M_DON_GC1.txt	7	0.355380	
M_DON_GC1.txt	6	0.324362	
M_DON_GC1.txt	6	0.372832	
M_DON_GC1.txt	7	0.355752	
M_DON_GC1.txt	5	0.338567	
M_DON_GC1.txt	6	0.357232	
M_DON_GC1.txt	6	0.311421	
M_DON_GC1.txt	7	0.312477	
M_DON_GC1.txt	8	0.312065	
M_DON_GC1.txt	7	0.318258	
M_DON_GC1.txt	5	0.344907	
M_DON_GC1.txt	7	0.325323	
M_DON_GC1.txt	6	0.336547	
M_DON_GC1.txt	6	0.335018	
M_DON_GC1.txt	7	0.326054	
M_DON_GC1.txt	6	0.343960	
M_DON_GC1.txt	7	0.332447	
M_DON_GC1.txt	7	0.342652	
M_DON_GC1.txt	7	0.323209	
M_DON_GC1.txt	7	0.355895	
M_DON_GC1.txt	6	0.303014	
M_DON_GC1.txt	5	0.339693	
M_DON_GC1.txt	7	0.363215	
M_DON_GC1.txt	7	0.319689	
M_DON_GC1.txt	7	0.334130	
M_DON_GC1.txt	7	0.325239	
M_DON_GC1.txt	6	0.315787	
M_DON_GC1.txt	6	0.336672	
M_DON_GC1.txt	6	0.325366	
M_DON_GC1.txt	6	0.318151	
M_DON_GC1.txt	6	0.335078	
M_DON_GC1.txt	6	0.336020	
M_DON_GC1.txt	6	0.295919	
M_DON_GC1.txt	7	0.378914	
M_DON_GC1.txt	7	0.356300	
M_DON_GC1.txt	6	0.320680	
M_DON_GC1.txt	7	0.347108	
M_DON_GC1.txt	7	0.293759	
M_DON_GC1.txt	5	0.331506	
M_DON_GC1.txt	8	0.360455	
M_DON_GC1.txt	7	0.360957	
M_DON_GC1.txt	7	0.336602	
M_DON_GC1.txt	6	0.284875	
M_DON_GC1.txt	6	0.307505	
M_DON_GC1.txt	6	0.325797	
M_DON_GC1.txt	7	0.346873	
M_DON_GC1.txt	8	0.347575	
M_DON_GC1.txt	6	0.332184	
M_DON_GC1.txt	7	0.308991	
M_DON_GC1.txt	7	0.327591	
M_DON_GC1.txt	6	0.313927	
M_DON_GC1.txt	7	0.360027	
M_DON_GC1.txt	9	0.382845	
M_DON_GC1.txt	6	0.351625	
M_DON_GC1.txt	7	0.359386	
M_DON_GC1.txt	7	0.331920	
M_DON_GC1.txt	6	0.331385	
M_DON_GC1.txt	6	0.340126	
M_DON_GC1.txt	6	0.334659	
M_DON_GC1.txt	6	0.331152	
M_DON_GC1.txt	7	0.345704	
M_DON_GC1.txt	5	0.344167	
M_DON_GC1.txt	8	0.337848	
M_DON_GC1.txt	7	0.324509	
M_DON_GC1.txt	7	0.351642	
M_DON_GC1.txt	7	0.328820	
M_DON_GC1.txt	9	0.335045	
M_DON_GC1.txt	7	0.318714	
M_DON_GC1.txt	7	0.326790	
M_DON_GC1.txt	6	0.316356	
M_DON_GC1.txt	7	0.291432	
M_DON_GC1.txt	7	0.331695	
M_DON_GC1.txt	6	0.327603	
M_DON_GC1.txt	7	0.326202	
M_DON_GC1.txt	7	0.356544	
M_DON_GC1.txt	7	0.334343	
M_DON_GC1.txt	8	0.339427	
M_DON_GC1.txt	7	0.347044	
M_DON_GC1.txt	7	0.343615	
M_DON_GC1.txt	7	0.319193	
M_DON_GC1.txt	6	0.346102	
M_DON_GC1.txt	5	0.347343	
M_DON_GC1.txt	6	0.342561	
M_DON_GC1.txt	7	0.325435	
M_DON_GC1.txt	6	0.345284	
M_DON_GC1.txt	7	0.333772	
M_DON_GC1.txt	6	0.335119	
M_DON_GC1.txt	7	0.355372	
M_DON_GC1.txt	8	0.281601	
M_DON_GC1.txt	6	0.357918	
M_DON_GC1.txt	7	0.319765	
M_DON_GC1.txt	6	0.337958	
M_DON_GC1.txt	7	0.361822	
M_DON_GC1.txt	6	0.307750	
M_DON_GC1.txt	6	0.353835	
M_DON_GC1.txt	7	0.359883	
M_DON_GC1.txt	6	0.310281	
M_DON_GC1.txt	7	0.284822	
M_DON_GC1.txt	6	0.323545	
M_DON_GC1.txt	5	0.345325	
M_DON_GC1.txt	7	0.369816	
M_DON_GC1.txt	6	0.334394	
M_DON_GC1.txt	7	0.314535	
M_DON_GC1.txt	7	0.312943	
M_DON_GC1.txt	7	0.309555	
M_DON_GC1.txt	6	0.328031	
M_DON_GC1.txt	7	0.317416	
M_DON_GC1.txt	6	0.343937	
M_DON_GC1.txt	5	0.332245	
M_DON_GC1.txt	7	0.328030	
M_DON_GC1.txt	7	0.330565	
M_DON_GC1.txt	5	0.319826	
M_DON_GC1.txt	7	0.318289	
M_DON_GC1.txt	6	0.313524	
M_DON_GC1.txt	7	0.351722	
M_DON_GC1.txt	6	0.321506	
M_DON_GC1.txt	6	0.350082	
M_DON_GC1.txt	6	0.306815	
M_DON_GC1.txt	7	0.319728	
M_DON_GC1.txt	7	0.342184	
M_DON_GC1.txt	6	0.362672	
M_DON_GC1.txt	6	0.325485	
M_DON_GC1.txt	5	0.340394	
M_DON_GC1.txt	7	0.314719	
M_DON_GC1.txt	6	0.329068	
M_DON_GC1.txt	6	0.313750	
M_DON_GC1.txt	7	0.315467	
M_DON_GC1.txt	5	0.340971	
M_DON_GC1.txt	6	0.335003	
M_DON_GC1.txt	6	0.345020	
M_DON_GC1.txt	7	0.316482	
M_DON_GC1.txt	6	0.324490	
M_DON_GC1.txt	5	0.324607	
M_DON_GC1.txt	6	0.374698	
M_DON_GC1.txt	7	0.318242	
M_DON_GC1.txt	7	0.340640	
M_DON_GC1.txt	9	0.348995	
M_DON_GC1.txt	6	0.325370	
M_DON_GC1.txt	6	0.324719	
M_DON_GC1.txt	8	0.348143	
M_DON_GC1.txt	7	0.317045	
M_DON_GC1.txt	7	0.301009	
M_DON_GC1.txt	7	0.327073	
M_DON_GC1.txt	7	0.335529	
M_DON_GC1.txt	7	0.320626	
M_DON_GC1.txt	8	0.328402	
M_DON_GC1.txt	6	0.326449	
M_DON_GC1.txt	7	0.350137	
M_DON_GC1.txt	7	0.307424	
M_DON_GC1.txt	7	0.315135	
M_DON_GC1.txt	7	0.343521	
M_DON_GC1.txt	7	0.341011	
M_DON_GC1.txt	6	0.324111	
M_DON_GC1.txt	6	0.302798	
M_DON_GC1.txt	6	0.348349	
M_DON_GC1.txt	6	0.344531	
M_DON_GC1.txt	6	0.330308	
