File	N.modules	Modularity
M_Herb_Bluthgen2006_GC1.txt	7	0.502081	
M_Herb_Bluthgen2006_GC1.txt	9	0.517661	
M_Herb_Bluthgen2006_GC1.txt	6	0.531888	
M_Herb_Bluthgen2006_GC1.txt	6	0.491228	
M_Herb_Bluthgen2006_GC1.txt	5	0.497845	
M_Herb_Bluthgen2006_GC1.txt	8	0.523140	
M_Herb_Bluthgen2006_GC1.txt	6	0.574931	
M_Herb_Bluthgen2006_GC1.txt	8	0.462639	
M_Herb_Bluthgen2006_GC1.txt	7	0.530744	
M_Herb_Bluthgen2006_GC1.txt	7	0.552700	
M_Herb_Bluthgen2006_GC1.txt	7	0.553934	
M_Herb_Bluthgen2006_GC1.txt	7	0.514828	
M_Herb_Bluthgen2006_GC1.txt	6	0.507325	
M_Herb_Bluthgen2006_GC1.txt	6	0.457206	
M_Herb_Bluthgen2006_GC1.txt	7	0.479029	
M_Herb_Bluthgen2006_GC1.txt	6	0.507134	
M_Herb_Bluthgen2006_GC1.txt	6	0.450365	
M_Herb_Bluthgen2006_GC1.txt	8	0.580000	
M_Herb_Bluthgen2006_GC1.txt	6	0.554355	
M_Herb_Bluthgen2006_GC1.txt	7	0.605344	
M_Herb_Bluthgen2006_GC1.txt	5	0.502824	
M_Herb_Bluthgen2006_GC1.txt	6	0.495547	
M_Herb_Bluthgen2006_GC1.txt	7	0.541152	
M_Herb_Bluthgen2006_GC1.txt	8	0.432617	
M_Herb_Bluthgen2006_GC1.txt	5	0.485172	
M_Herb_Bluthgen2006_GC1.txt	5	0.520930	
M_Herb_Bluthgen2006_GC1.txt	7	0.579600	
M_Herb_Bluthgen2006_GC1.txt	6	0.562929	
M_Herb_Bluthgen2006_GC1.txt	7	0.513712	
M_Herb_Bluthgen2006_GC1.txt	6	0.557138	
M_Herb_Bluthgen2006_GC1.txt	6	0.498365	
M_Herb_Bluthgen2006_GC1.txt	6	0.629470	
M_Herb_Bluthgen2006_GC1.txt	6	0.496409	
M_Herb_Bluthgen2006_GC1.txt	6	0.459027	
M_Herb_Bluthgen2006_GC1.txt	6	0.534122	
M_Herb_Bluthgen2006_GC1.txt	6	0.393878	
M_Herb_Bluthgen2006_GC1.txt	5	0.517687	
M_Herb_Bluthgen2006_GC1.txt	5	0.522264	
M_Herb_Bluthgen2006_GC1.txt	7	0.487689	
M_Herb_Bluthgen2006_GC1.txt	4	0.412675	
M_Herb_Bluthgen2006_GC1.txt	6	0.503567	
M_Herb_Bluthgen2006_GC1.txt	6	0.493416	
M_Herb_Bluthgen2006_GC1.txt	7	0.448224	
M_Herb_Bluthgen2006_GC1.txt	5	0.516795	
M_Herb_Bluthgen2006_GC1.txt	7	0.528121	
M_Herb_Bluthgen2006_GC1.txt	7	0.525620	
M_Herb_Bluthgen2006_GC1.txt	6	0.502616	
