File	N.modules	Modularity
M_Herb_Muller1999_GC1.txt	4	0.246901	
M_Herb_Muller1999_GC1.txt	3	0.210400	
M_Herb_Muller1999_GC1.txt	4	0.203512	
M_Herb_Muller1999_GC1.txt	3	0.196597	
M_Herb_Muller1999_GC1.txt	4	0.188000	
M_Herb_Muller1999_GC1.txt	5	0.323529	
M_Herb_Muller1999_GC1.txt	3	0.375433	
M_Herb_Muller1999_GC1.txt	3	0.306250	
M_Herb_Muller1999_GC1.txt	3	0.336565	
M_Herb_Muller1999_GC1.txt	4	0.548611	
M_Herb_Muller1999_GC1.txt	3	0.318594	
M_Herb_Muller1999_GC1.txt	3	0.237240	
M_Herb_Muller1999_GC1.txt	3	0.321250	
M_Herb_Muller1999_GC1.txt	4	0.255102	
M_Herb_Muller1999_GC1.txt	4	0.278750	
M_Herb_Muller1999_GC1.txt	3	0.387346	
M_Herb_Muller1999_GC1.txt	3	0.317175	
M_Herb_Muller1999_GC1.txt	3	0.414062	
M_Herb_Muller1999_GC1.txt	3	0.415225	
M_Herb_Muller1999_GC1.txt	3	0.206994	
M_Herb_Muller1999_GC1.txt	3	0.319945	
M_Herb_Muller1999_GC1.txt	4	0.305556	
M_Herb_Muller1999_GC1.txt	3	0.224008	
M_Herb_Muller1999_GC1.txt	4	0.248299	
M_Herb_Muller1999_GC1.txt	4	0.251701	
M_Herb_Muller1999_GC1.txt	4	0.385813	
M_Herb_Muller1999_GC1.txt	4	0.193576	
M_Herb_Muller1999_GC1.txt	2	0.242604	
M_Herb_Muller1999_GC1.txt	4	0.334877	
M_Herb_Muller1999_GC1.txt	3	0.347222	
M_Herb_Muller1999_GC1.txt	3	0.208885	
M_Herb_Muller1999_GC1.txt	3	0.242911	
M_Herb_Muller1999_GC1.txt	4	0.304709	
M_Herb_Muller1999_GC1.txt	3	0.210775	
M_Herb_Muller1999_GC1.txt	3	0.245600	
M_Herb_Muller1999_GC1.txt	3	0.326250	
M_Herb_Muller1999_GC1.txt	4	0.319444	
M_Herb_Muller1999_GC1.txt	3	0.387543	
M_Herb_Muller1999_GC1.txt	4	0.192708	
M_Herb_Muller1999_GC1.txt	2	0.395000	
M_Herb_Muller1999_GC1.txt	3	0.216800	
M_Herb_Muller1999_GC1.txt	4	0.415556	
M_Herb_Muller1999_GC1.txt	3	0.333795	
M_Herb_Muller1999_GC1.txt	3	0.259549	
M_Herb_Muller1999_GC1.txt	3	0.270975	
M_Herb_Muller1999_GC1.txt	2	0.271694	
M_Herb_Muller1999_GC1.txt	3	0.370370	
M_Herb_Muller1999_GC1.txt	3	0.337370	
M_Herb_Muller1999_GC1.txt	3	0.236111	
M_Herb_Muller1999_GC1.txt	3	0.237240	
M_Herb_Muller1999_GC1.txt	4	0.322531	
M_Herb_Muller1999_GC1.txt	3	0.177170	
M_Herb_Muller1999_GC1.txt	3	0.265496	
M_Herb_Muller1999_GC1.txt	3	0.302721	
M_Herb_Muller1999_GC1.txt	3	0.332200	
M_Herb_Muller1999_GC1.txt	3	0.233459	
M_Herb_Muller1999_GC1.txt	3	0.191200	
M_Herb_Muller1999_GC1.txt	3	0.338750	
M_Herb_Muller1999_GC1.txt	2	0.191200	
M_Herb_Muller1999_GC1.txt	3	0.207465	
M_Herb_Muller1999_GC1.txt	3	0.286157	
M_Herb_Muller1999_GC1.txt	3	0.335000	
M_Herb_Muller1999_GC1.txt	4	0.451111	
M_Herb_Muller1999_GC1.txt	4	0.402344	
M_Herb_Muller1999_GC1.txt	3	0.314404	
M_Herb_Muller1999_GC1.txt	3	0.233459	
M_Herb_Muller1999_GC1.txt	4	0.290123	
M_Herb_Muller1999_GC1.txt	4	0.273750	
M_Herb_Muller1999_GC1.txt	4	0.232438	
M_Herb_Muller1999_GC1.txt	4	0.361592	
M_Herb_Muller1999_GC1.txt	3	0.264463	
M_Herb_Muller1999_GC1.txt	3	0.359568	
M_Herb_Muller1999_GC1.txt	4	0.322531	
M_Herb_Muller1999_GC1.txt	4	0.413333	
M_Herb_Muller1999_GC1.txt	3	0.232438	
M_Herb_Muller1999_GC1.txt	3	0.398438	
M_Herb_Muller1999_GC1.txt	3	0.228733	
M_Herb_Muller1999_GC1.txt	3	0.339335	
M_Herb_Muller1999_GC1.txt	3	0.296250	
M_Herb_Muller1999_GC1.txt	3	0.236295	
M_Herb_Muller1999_GC1.txt	3	0.331025	
M_Herb_Muller1999_GC1.txt	4	0.328720	
M_Herb_Muller1999_GC1.txt	3	0.378086	
M_Herb_Muller1999_GC1.txt	3	0.288750	
M_Herb_Muller1999_GC1.txt	3	0.254253	
M_Herb_Muller1999_GC1.txt	3	0.174479	
M_Herb_Muller1999_GC1.txt	4	0.300926	
M_Herb_Muller1999_GC1.txt	3	0.298186	
M_Herb_Muller1999_GC1.txt	4	0.378086	
M_Herb_Muller1999_GC1.txt	3	0.298186	
M_Herb_Muller1999_GC1.txt	3	0.209830	
M_Herb_Muller1999_GC1.txt	3	0.304752	
M_Herb_Muller1999_GC1.txt	4	0.248299	
M_Herb_Muller1999_GC1.txt	4	0.393333	
M_Herb_Muller1999_GC1.txt	3	0.345679	
M_Herb_Muller1999_GC1.txt	3	0.227891	
M_Herb_Muller1999_GC1.txt	3	0.196800	
M_Herb_Muller1999_GC1.txt	4	0.322531	
M_Herb_Muller1999_GC1.txt	3	0.314404	
M_Herb_Muller1999_GC1.txt	3	0.308642	
M_Herb_Muller1999_GC1.txt	3	0.301587	
M_Herb_Muller1999_GC1.txt	3	0.227788	
M_Herb_Muller1999_GC1.txt	3	0.322715	
M_Herb_Muller1999_GC1.txt	4	0.334877	
M_Herb_Muller1999_GC1.txt	4	0.323529	
M_Herb_Muller1999_GC1.txt	3	0.337370	
M_Herb_Muller1999_GC1.txt	3	0.218750	
M_Herb_Muller1999_GC1.txt	4	0.165600	
M_Herb_Muller1999_GC1.txt	3	0.285124	
M_Herb_Muller1999_GC1.txt	3	0.277778	
M_Herb_Muller1999_GC1.txt	3	0.200960	
M_Herb_Muller1999_GC1.txt	3	0.291383	
M_Herb_Muller1999_GC1.txt	2	0.236111	
M_Herb_Muller1999_GC1.txt	3	0.216146	
M_Herb_Muller1999_GC1.txt	3	0.387346	
M_Herb_Muller1999_GC1.txt	4	0.404297	
M_Herb_Muller1999_GC1.txt	3	0.297732	
M_Herb_Muller1999_GC1.txt	4	0.361592	
M_Herb_Muller1999_GC1.txt	3	0.345679	
M_Herb_Muller1999_GC1.txt	3	0.259298	
M_Herb_Muller1999_GC1.txt	4	0.359862	
M_Herb_Muller1999_GC1.txt	5	0.263158	
M_Herb_Muller1999_GC1.txt	3	0.236295	
M_Herb_Muller1999_GC1.txt	3	0.398750	
M_Herb_Muller1999_GC1.txt	4	0.168724	
M_Herb_Muller1999_GC1.txt	4	0.277778	
M_Herb_Muller1999_GC1.txt	3	0.313017	
M_Herb_Muller1999_GC1.txt	3	0.317175	
M_Herb_Muller1999_GC1.txt	4	0.355469	
M_Herb_Muller1999_GC1.txt	3	0.236295	
M_Herb_Muller1999_GC1.txt	3	0.351211	
M_Herb_Muller1999_GC1.txt	2	0.246901	
M_Herb_Muller1999_GC1.txt	4	0.406667	
M_Herb_Muller1999_GC1.txt	4	0.300554	
M_Herb_Muller1999_GC1.txt	3	0.319444	
M_Herb_Muller1999_GC1.txt	3	0.328798	
M_Herb_Muller1999_GC1.txt	3	0.344291	
M_Herb_Muller1999_GC1.txt	3	0.210775	
M_Herb_Muller1999_GC1.txt	3	0.306094	
M_Herb_Muller1999_GC1.txt	2	0.308390	
M_Herb_Muller1999_GC1.txt	3	0.218750	
M_Herb_Muller1999_GC1.txt	3	0.261905	
M_Herb_Muller1999_GC1.txt	4	0.330450	
M_Herb_Muller1999_GC1.txt	4	0.384766	
M_Herb_Muller1999_GC1.txt	3	0.321250	
M_Herb_Muller1999_GC1.txt	3	0.293750	
M_Herb_Muller1999_GC1.txt	4	0.297784	
M_Herb_Muller1999_GC1.txt	4	0.251033	
M_Herb_Muller1999_GC1.txt	4	0.159808	
M_Herb_Muller1999_GC1.txt	4	0.326172	
M_Herb_Muller1999_GC1.txt	3	0.326870	
M_Herb_Muller1999_GC1.txt	3	0.326870	
M_Herb_Muller1999_GC1.txt	3	0.159334	
M_Herb_Muller1999_GC1.txt	4	0.276250	
M_Herb_Muller1999_GC1.txt	5	0.271468	
M_Herb_Muller1999_GC1.txt	3	0.232438	
M_Herb_Muller1999_GC1.txt	3	0.290000	
M_Herb_Muller1999_GC1.txt	4	0.315000	
M_Herb_Muller1999_GC1.txt	3	0.275826	
M_Herb_Muller1999_GC1.txt	4	0.283750	
M_Herb_Muller1999_GC1.txt	4	0.334877	
M_Herb_Muller1999_GC1.txt	2	0.230030	
M_Herb_Muller1999_GC1.txt	3	0.143347	
M_Herb_Muller1999_GC1.txt	3	0.241021	
M_Herb_Muller1999_GC1.txt	3	0.226562	
M_Herb_Muller1999_GC1.txt	3	0.356481	
M_Herb_Muller1999_GC1.txt	3	0.289474	
M_Herb_Muller1999_GC1.txt	4	0.245000	
M_Herb_Muller1999_GC1.txt	3	0.243764	
M_Herb_Muller1999_GC1.txt	3	0.326870	
M_Herb_Muller1999_GC1.txt	3	0.331612	
M_Herb_Muller1999_GC1.txt	3	0.278750	
M_Herb_Muller1999_GC1.txt	3	0.300554	
M_Herb_Muller1999_GC1.txt	3	0.355000	
M_Herb_Muller1999_GC1.txt	3	0.285319	
M_Herb_Muller1999_GC1.txt	3	0.222117	
M_Herb_Muller1999_GC1.txt	4	0.192817	
M_Herb_Muller1999_GC1.txt	3	0.378750	
M_Herb_Muller1999_GC1.txt	3	0.264463	
M_Herb_Muller1999_GC1.txt	4	0.296250	
M_Herb_Muller1999_GC1.txt	3	0.303324	
M_Herb_Muller1999_GC1.txt	4	0.406667	
M_Herb_Muller1999_GC1.txt	3	0.265496	
M_Herb_Muller1999_GC1.txt	3	0.243802	
M_Herb_Muller1999_GC1.txt	3	0.233507	
M_Herb_Muller1999_GC1.txt	3	0.207200	
M_Herb_Muller1999_GC1.txt	3	0.325397	
M_Herb_Muller1999_GC1.txt	4	0.415816	
M_Herb_Muller1999_GC1.txt	3	0.251418	
M_Herb_Muller1999_GC1.txt	3	0.268595	
M_Herb_Muller1999_GC1.txt	4	0.188368	
M_Herb_Muller1999_GC1.txt	4	0.260771	
M_Herb_Muller1999_GC1.txt	5	0.397778	
M_Herb_Muller1999_GC1.txt	3	0.420000	
M_Herb_Muller1999_GC1.txt	3	0.356481	
M_Herb_Muller1999_GC1.txt	3	0.256198	
M_Herb_Muller1999_GC1.txt	3	0.253968	
M_Herb_Muller1999_GC1.txt	4	0.268750	
M_Herb_Muller1999_GC1.txt	3	0.290000	
M_Herb_Muller1999_GC1.txt	4	0.400391	
M_Herb_Muller1999_GC1.txt	4	0.291250	
M_Herb_Muller1999_GC1.txt	3	0.335000	
M_Herb_Muller1999_GC1.txt	3	0.252604	
M_Herb_Muller1999_GC1.txt	2	0.360111	
M_Herb_Muller1999_GC1.txt	3	0.376953	
M_Herb_Muller1999_GC1.txt	3	0.232438	
M_Herb_Muller1999_GC1.txt	3	0.277893	
M_Herb_Muller1999_GC1.txt	2	0.342105	
M_Herb_Muller1999_GC1.txt	3	0.244802	
M_Herb_Muller1999_GC1.txt	3	0.322531	
M_Herb_Muller1999_GC1.txt	3	0.278750	
M_Herb_Muller1999_GC1.txt	3	0.264172	
M_Herb_Muller1999_GC1.txt	3	0.349206	
M_Herb_Muller1999_GC1.txt	4	0.271250	
M_Herb_Muller1999_GC1.txt	4	0.214876	
M_Herb_Muller1999_GC1.txt	4	0.319444	
M_Herb_Muller1999_GC1.txt	4	0.310185	
M_Herb_Muller1999_GC1.txt	3	0.289474	
M_Herb_Muller1999_GC1.txt	3	0.252066	
M_Herb_Muller1999_GC1.txt	4	0.255102	
M_Herb_Muller1999_GC1.txt	4	0.276250	
M_Herb_Muller1999_GC1.txt	3	0.283750	
M_Herb_Muller1999_GC1.txt	3	0.367036	
M_Herb_Muller1999_GC1.txt	3	0.364198	
M_Herb_Muller1999_GC1.txt	3	0.227071	
M_Herb_Muller1999_GC1.txt	3	0.337370	
M_Herb_Muller1999_GC1.txt	3	0.292517	
M_Herb_Muller1999_GC1.txt	4	0.336420	
M_Herb_Muller1999_GC1.txt	3	0.297521	
M_Herb_Muller1999_GC1.txt	4	0.313272	
M_Herb_Muller1999_GC1.txt	4	0.223356	
M_Herb_Muller1999_GC1.txt	3	0.275826	
M_Herb_Muller1999_GC1.txt	3	0.427734	
M_Herb_Muller1999_GC1.txt	4	0.371094	
M_Herb_Muller1999_GC1.txt	4	0.266250	
M_Herb_Muller1999_GC1.txt	3	0.227788	
M_Herb_Muller1999_GC1.txt	3	0.344875	
M_Herb_Muller1999_GC1.txt	3	0.142687	
M_Herb_Muller1999_GC1.txt	3	0.378086	
M_Herb_Muller1999_GC1.txt	4	0.333910	
M_Herb_Muller1999_GC1.txt	3	0.300554	
M_Herb_Muller1999_GC1.txt	2	0.238185	
M_Herb_Muller1999_GC1.txt	3	0.257231	
M_Herb_Muller1999_GC1.txt	3	0.261905	
M_Herb_Muller1999_GC1.txt	4	0.215501	
M_Herb_Muller1999_GC1.txt	4	0.300554	
M_Herb_Muller1999_GC1.txt	4	0.271250	
M_Herb_Muller1999_GC1.txt	4	0.341049	
M_Herb_Muller1999_GC1.txt	4	0.265000	
M_Herb_Muller1999_GC1.txt	3	0.237600	
M_Herb_Muller1999_GC1.txt	3	0.342561	
M_Herb_Muller1999_GC1.txt	2	0.207465	
M_Herb_Muller1999_GC1.txt	4	0.193576	
M_Herb_Muller1999_GC1.txt	3	0.248800	
M_Herb_Muller1999_GC1.txt	3	0.314404	
M_Herb_Muller1999_GC1.txt	2	0.220800	
M_Herb_Muller1999_GC1.txt	3	0.328255	
M_Herb_Muller1999_GC1.txt	3	0.264463	
M_Herb_Muller1999_GC1.txt	3	0.223090	
M_Herb_Muller1999_GC1.txt	3	0.283750	
M_Herb_Muller1999_GC1.txt	3	0.196800	
M_Herb_Muller1999_GC1.txt	2	0.216049	
M_Herb_Muller1999_GC1.txt	3	0.308642	
M_Herb_Muller1999_GC1.txt	3	0.223090	
M_Herb_Muller1999_GC1.txt	4	0.273148	
M_Herb_Muller1999_GC1.txt	3	0.237240	
M_Herb_Muller1999_GC1.txt	2	0.308390	
M_Herb_Muller1999_GC1.txt	3	0.315000	
M_Herb_Muller1999_GC1.txt	4	0.420000	
M_Herb_Muller1999_GC1.txt	4	0.327160	
M_Herb_Muller1999_GC1.txt	3	0.182692	
M_Herb_Muller1999_GC1.txt	3	0.224008	
M_Herb_Muller1999_GC1.txt	4	0.241497	
M_Herb_Muller1999_GC1.txt	3	0.413495	
M_Herb_Muller1999_GC1.txt	3	0.235350	
M_Herb_Muller1999_GC1.txt	3	0.261905	
M_Herb_Muller1999_GC1.txt	3	0.246528	
M_Herb_Muller1999_GC1.txt	3	0.286157	
M_Herb_Muller1999_GC1.txt	5	0.273148	
M_Herb_Muller1999_GC1.txt	3	0.320416	
M_Herb_Muller1999_GC1.txt	3	0.195473	
M_Herb_Muller1999_GC1.txt	3	0.392734	
M_Herb_Muller1999_GC1.txt	4	0.322531	
M_Herb_Muller1999_GC1.txt	3	0.182692	
M_Herb_Muller1999_GC1.txt	3	0.149520	
M_Herb_Muller1999_GC1.txt	4	0.350309	
M_Herb_Muller1999_GC1.txt	3	0.369806	
M_Herb_Muller1999_GC1.txt	4	0.236961	
M_Herb_Muller1999_GC1.txt	4	0.330450	
M_Herb_Muller1999_GC1.txt	3	0.500000	
M_Herb_Muller1999_GC1.txt	2	0.203018	
M_Herb_Muller1999_GC1.txt	3	0.351801	
M_Herb_Muller1999_GC1.txt	3	0.313272	
M_Herb_Muller1999_GC1.txt	3	0.336735	
M_Herb_Muller1999_GC1.txt	5	0.264543	
M_Herb_Muller1999_GC1.txt	3	0.288750	
M_Herb_Muller1999_GC1.txt	5	0.242500	
M_Herb_Muller1999_GC1.txt	3	0.203214	
M_Herb_Muller1999_GC1.txt	3	0.232438	
M_Herb_Muller1999_GC1.txt	4	0.243750	
M_Herb_Muller1999_GC1.txt	3	0.335180	
M_Herb_Muller1999_GC1.txt	3	0.289116	
M_Herb_Muller1999_GC1.txt	4	0.322531	
M_Herb_Muller1999_GC1.txt	3	0.242188	
M_Herb_Muller1999_GC1.txt	3	0.270975	
M_Herb_Muller1999_GC1.txt	3	0.290000	
M_Herb_Muller1999_GC1.txt	2	0.308390	
M_Herb_Muller1999_GC1.txt	2	0.250000	
M_Herb_Muller1999_GC1.txt	4	0.258750	
M_Herb_Muller1999_GC1.txt	3	0.137117	
M_Herb_Muller1999_GC1.txt	3	0.195312	
M_Herb_Muller1999_GC1.txt	4	0.265000	
M_Herb_Muller1999_GC1.txt	4	0.259298	
M_Herb_Muller1999_GC1.txt	3	0.238905	
M_Herb_Muller1999_GC1.txt	4	0.266440	
M_Herb_Muller1999_GC1.txt	3	0.215200	
M_Herb_Muller1999_GC1.txt	3	0.253968	
M_Herb_Muller1999_GC1.txt	5	0.294753	
M_Herb_Muller1999_GC1.txt	3	0.222117	
M_Herb_Muller1999_GC1.txt	3	0.304709	
M_Herb_Muller1999_GC1.txt	3	0.296250	
M_Herb_Muller1999_GC1.txt	3	0.326870	
M_Herb_Muller1999_GC1.txt	4	0.453333	
M_Herb_Muller1999_GC1.txt	4	0.361592	
M_Herb_Muller1999_GC1.txt	3	0.251418	
M_Herb_Muller1999_GC1.txt	3	0.345679	
M_Herb_Muller1999_GC1.txt	3	0.422438	
M_Herb_Muller1999_GC1.txt	4	0.322531	
M_Herb_Muller1999_GC1.txt	3	0.297784	
M_Herb_Muller1999_GC1.txt	3	0.253968	
M_Herb_Muller1999_GC1.txt	4	0.257231	
M_Herb_Muller1999_GC1.txt	3	0.257231	
