File	N.modules	Modularity
M_Herb_Nakagawa2003_96_GC1.txt	5	0.366005	
M_Herb_Nakagawa2003_96_GC1.txt	6	0.342337	
M_Herb_Nakagawa2003_96_GC1.txt	7	0.321956	
M_Herb_Nakagawa2003_96_GC1.txt	7	0.380190	
M_Herb_Nakagawa2003_96_GC1.txt	7	0.373706	
M_Herb_Nakagawa2003_96_GC1.txt	6	0.364700	
M_Herb_Nakagawa2003_96_GC1.txt	6	0.364523	
M_Herb_Nakagawa2003_96_GC1.txt	5	0.324241	
M_Herb_Nakagawa2003_96_GC1.txt	6	0.349452	
M_Herb_Nakagawa2003_96_GC1.txt	5	0.376284	
M_Herb_Nakagawa2003_96_GC1.txt	7	0.369429	
M_Herb_Nakagawa2003_96_GC1.txt	6	0.348187	
M_Herb_Nakagawa2003_96_GC1.txt	6	0.342063	
M_Herb_Nakagawa2003_96_GC1.txt	4	0.368270	
M_Herb_Nakagawa2003_96_GC1.txt	6	0.392511	
M_Herb_Nakagawa2003_96_GC1.txt	6	0.400149	
M_Herb_Nakagawa2003_96_GC1.txt	5	0.378898	
M_Herb_Nakagawa2003_96_GC1.txt	5	0.370506	
M_Herb_Nakagawa2003_96_GC1.txt	6	0.352200	
M_Herb_Nakagawa2003_96_GC1.txt	6	0.355399	
M_Herb_Nakagawa2003_96_GC1.txt	7	0.333626	
M_Herb_Nakagawa2003_96_GC1.txt	6	0.372200	
M_Herb_Nakagawa2003_96_GC1.txt	5	0.323036	
M_Herb_Nakagawa2003_96_GC1.txt	7	0.359082	
M_Herb_Nakagawa2003_96_GC1.txt	6	0.399000	
M_Herb_Nakagawa2003_96_GC1.txt	6	0.375814	
M_Herb_Nakagawa2003_96_GC1.txt	6	0.371728	
M_Herb_Nakagawa2003_96_GC1.txt	6	0.380409	
M_Herb_Nakagawa2003_96_GC1.txt	6	0.342182	
M_Herb_Nakagawa2003_96_GC1.txt	5	0.370949	
M_Herb_Nakagawa2003_96_GC1.txt	5	0.313928	
M_Herb_Nakagawa2003_96_GC1.txt	5	0.366298	
M_Herb_Nakagawa2003_96_GC1.txt	5	0.394211	
M_Herb_Nakagawa2003_96_GC1.txt	6	0.320324	
M_Herb_Nakagawa2003_96_GC1.txt	7	0.359944	
M_Herb_Nakagawa2003_96_GC1.txt	5	0.337663	
M_Herb_Nakagawa2003_96_GC1.txt	6	0.364790	
M_Herb_Nakagawa2003_96_GC1.txt	6	0.317586	
M_Herb_Nakagawa2003_96_GC1.txt	6	0.309902	
M_Herb_Nakagawa2003_96_GC1.txt	7	0.421975	
M_Herb_Nakagawa2003_96_GC1.txt	6	0.383966	
M_Herb_Nakagawa2003_96_GC1.txt	6	0.337188	
M_Herb_Nakagawa2003_96_GC1.txt	6	0.299347	
M_Herb_Nakagawa2003_96_GC1.txt	6	0.434126	
M_Herb_Nakagawa2003_96_GC1.txt	5	0.376924	
M_Herb_Nakagawa2003_96_GC1.txt	7	0.353787	
M_Herb_Nakagawa2003_96_GC1.txt	5	0.334782	
M_Herb_Nakagawa2003_96_GC1.txt	6	0.372317	
M_Herb_Nakagawa2003_96_GC1.txt	6	0.325754	
M_Herb_Nakagawa2003_96_GC1.txt	7	0.344163	
M_Herb_Nakagawa2003_96_GC1.txt	5	0.329112	
M_Herb_Nakagawa2003_96_GC1.txt	6	0.312897	
M_Herb_Nakagawa2003_96_GC1.txt	6	0.390231	
M_Herb_Nakagawa2003_96_GC1.txt	8	0.338777	
M_Herb_Nakagawa2003_96_GC1.txt	5	0.288625	
