File	N.modules	Modularity
M_M_PL_060_23_GC1.txt	5	0.380510	
M_M_PL_060_23_GC1.txt	5	0.509430	
M_M_PL_060_23_GC1.txt	5	0.493609	
M_M_PL_060_23_GC1.txt	5	0.438965	
M_M_PL_060_23_GC1.txt	4	0.438246	
M_M_PL_060_23_GC1.txt	5	0.516087	
M_M_PL_060_23_GC1.txt	5	0.474200	
M_M_PL_060_23_GC1.txt	5	0.406549	
M_M_PL_060_23_GC1.txt	6	0.524600	
M_M_PL_060_23_GC1.txt	6	0.421111	
M_M_PL_060_23_GC1.txt	6	0.475925	
M_M_PL_060_23_GC1.txt	5	0.472737	
M_M_PL_060_23_GC1.txt	5	0.381543	
M_M_PL_060_23_GC1.txt	6	0.446136	
M_M_PL_060_23_GC1.txt	4	0.438650	
M_M_PL_060_23_GC1.txt	6	0.389953	
M_M_PL_060_23_GC1.txt	6	0.521449	
M_M_PL_060_23_GC1.txt	6	0.461207	
M_M_PL_060_23_GC1.txt	5	0.497355	
M_M_PL_060_23_GC1.txt	6	0.493484	
M_M_PL_060_23_GC1.txt	6	0.498923	
M_M_PL_060_23_GC1.txt	5	0.420586	
M_M_PL_060_23_GC1.txt	5	0.361208	
M_M_PL_060_23_GC1.txt	5	0.483741	
M_M_PL_060_23_GC1.txt	5	0.512311	
M_M_PL_060_23_GC1.txt	6	0.482479	
M_M_PL_060_23_GC1.txt	6	0.524029	
M_M_PL_060_23_GC1.txt	6	0.444560	
M_M_PL_060_23_GC1.txt	7	0.472051	
M_M_PL_060_23_GC1.txt	6	0.472417	
M_M_PL_060_23_GC1.txt	6	0.429589	
M_M_PL_060_23_GC1.txt	6	0.424414	
M_M_PL_060_23_GC1.txt	5	0.463516	
M_M_PL_060_23_GC1.txt	5	0.376056	
M_M_PL_060_23_GC1.txt	5	0.446788	
M_M_PL_060_23_GC1.txt	5	0.455385	
M_M_PL_060_23_GC1.txt	4	0.399524	
M_M_PL_060_23_GC1.txt	5	0.456426	
M_M_PL_060_23_GC1.txt	5	0.492397	
M_M_PL_060_23_GC1.txt	5	0.419511	
M_M_PL_060_23_GC1.txt	6	0.412420	
M_M_PL_060_23_GC1.txt	5	0.492921	
M_M_PL_060_23_GC1.txt	6	0.481718	
M_M_PL_060_23_GC1.txt	5	0.457914	
M_M_PL_060_23_GC1.txt	6	0.475480	
M_M_PL_060_23_GC1.txt	6	0.557292	
M_M_PL_060_23_GC1.txt	6	0.481994	
M_M_PL_060_23_GC1.txt	5	0.454719	
M_M_PL_060_23_GC1.txt	8	0.381538	
M_M_PL_060_23_GC1.txt	6	0.534578	
M_M_PL_060_23_GC1.txt	4	0.417576	
M_M_PL_060_23_GC1.txt	6	0.516118	
M_M_PL_060_23_GC1.txt	6	0.494638	
M_M_PL_060_23_GC1.txt	6	0.401775	
M_M_PL_060_23_GC1.txt	5	0.427336	
M_M_PL_060_23_GC1.txt	6	0.418335	
M_M_PL_060_23_GC1.txt	7	0.519204	
M_M_PL_060_23_GC1.txt	6	0.484853	
M_M_PL_060_23_GC1.txt	7	0.479489	
M_M_PL_060_23_GC1.txt	4	0.404852	
M_M_PL_060_23_GC1.txt	5	0.428166	
M_M_PL_060_23_GC1.txt	6	0.482302	
M_M_PL_060_23_GC1.txt	5	0.472354	
M_M_PL_060_23_GC1.txt	5	0.404736	
M_M_PL_060_23_GC1.txt	5	0.410583	
M_M_PL_060_23_GC1.txt	5	0.468472	
M_M_PL_060_23_GC1.txt	5	0.390622	
M_M_PL_060_23_GC1.txt	5	0.462149	
M_M_PL_060_23_GC1.txt	4	0.387378	
M_M_PL_060_23_GC1.txt	6	0.458068	
M_M_PL_060_23_GC1.txt	6	0.576796	
M_M_PL_060_23_GC1.txt	6	0.448138	
M_M_PL_060_23_GC1.txt	5	0.508059	
M_M_PL_060_23_GC1.txt	6	0.435791	
M_M_PL_060_23_GC1.txt	7	0.423306	
M_M_PL_060_23_GC1.txt	6	0.400947	
M_M_PL_060_23_GC1.txt	5	0.430897	
M_M_PL_060_23_GC1.txt	5	0.515486	
M_M_PL_060_23_GC1.txt	4	0.458449	
M_M_PL_060_23_GC1.txt	6	0.431953	
M_M_PL_060_23_GC1.txt	5	0.467251	
M_M_PL_060_23_GC1.txt	6	0.472397	
M_M_PL_060_23_GC1.txt	5	0.397727	
M_M_PL_060_23_GC1.txt	7	0.467438	
M_M_PL_060_23_GC1.txt	6	0.454865	
M_M_PL_060_23_GC1.txt	5	0.531379	
M_M_PL_060_23_GC1.txt	6	0.468019	
M_M_PL_060_23_GC1.txt	6	0.482333	
M_M_PL_060_23_GC1.txt	5	0.387651	
M_M_PL_060_23_GC1.txt	5	0.517219	
M_M_PL_060_23_GC1.txt	5	0.460898	
M_M_PL_060_23_GC1.txt	5	0.415883	
M_M_PL_060_23_GC1.txt	6	0.404024	
M_M_PL_060_23_GC1.txt	5	0.540050	
M_M_PL_060_23_GC1.txt	7	0.562934	
M_M_PL_060_23_GC1.txt	5	0.458897	
M_M_PL_060_23_GC1.txt	5	0.422406	
M_M_PL_060_23_GC1.txt	5	0.413789	
M_M_PL_060_23_GC1.txt	6	0.413254	
M_M_PL_060_23_GC1.txt	6	0.528113	
M_M_PL_060_23_GC1.txt	6	0.481225	
M_M_PL_060_23_GC1.txt	6	0.514215	
M_M_PL_060_23_GC1.txt	5	0.512759	
M_M_PL_060_23_GC1.txt	6	0.462080	
M_M_PL_060_23_GC1.txt	5	0.409170	
M_M_PL_060_23_GC1.txt	6	0.372347	
M_M_PL_060_23_GC1.txt	7	0.464923	
M_M_PL_060_23_GC1.txt	5	0.437866	
M_M_PL_060_23_GC1.txt	6	0.466706	
M_M_PL_060_23_GC1.txt	6	0.527800	
M_M_PL_060_23_GC1.txt	7	0.481718	
M_M_PL_060_23_GC1.txt	6	0.438901	
M_M_PL_060_23_GC1.txt	5	0.443185	
M_M_PL_060_23_GC1.txt	6	0.421522	
M_M_PL_060_23_GC1.txt	5	0.447222	
M_M_PL_060_23_GC1.txt	5	0.459823	
M_M_PL_060_23_GC1.txt	5	0.391200	
M_M_PL_060_23_GC1.txt	4	0.414304	
M_M_PL_060_23_GC1.txt	6	0.427304	
M_M_PL_060_23_GC1.txt	6	0.370134	
M_M_PL_060_23_GC1.txt	6	0.464620	
M_M_PL_060_23_GC1.txt	5	0.529363	
M_M_PL_060_23_GC1.txt	6	0.414201	
