File	N.modules	Modularity
M_basker_GC1.txt	3	0.160178	
M_basker_GC1.txt	4	0.164142	
M_basker_GC1.txt	4	0.195801	
M_basker_GC1.txt	4	0.210428	
M_basker_GC1.txt	4	0.168265	
M_basker_GC1.txt	4	0.205341	
M_basker_GC1.txt	4	0.205000	
M_basker_GC1.txt	4	0.231528	
M_basker_GC1.txt	2	0.210040	
M_basker_GC1.txt	3	0.174611	
M_basker_GC1.txt	4	0.223595	
M_basker_GC1.txt	3	0.178770	
M_basker_GC1.txt	4	0.221111	
M_basker_GC1.txt	4	0.191345	
M_basker_GC1.txt	4	0.214583	
M_basker_GC1.txt	3	0.204500	
M_basker_GC1.txt	3	0.248194	
M_basker_GC1.txt	4	0.154036	
M_basker_GC1.txt	5	0.159390	
M_basker_GC1.txt	4	0.177653	
M_basker_GC1.txt	4	0.183297	
M_basker_GC1.txt	3	0.193132	
M_basker_GC1.txt	3	0.227917	
M_basker_GC1.txt	4	0.227556	
M_basker_GC1.txt	3	0.180510	
M_basker_GC1.txt	3	0.250744	
M_basker_GC1.txt	3	0.229839	
M_basker_GC1.txt	3	0.199380	
M_basker_GC1.txt	3	0.223374	
M_basker_GC1.txt	3	0.231544	
M_basker_GC1.txt	3	0.210769	
M_basker_GC1.txt	4	0.169657	
M_basker_GC1.txt	4	0.206897	
M_basker_GC1.txt	3	0.268707	
M_basker_GC1.txt	3	0.204712	
M_basker_GC1.txt	3	0.184497	
M_basker_GC1.txt	4	0.212279	
M_basker_GC1.txt	4	0.188361	
M_basker_GC1.txt	3	0.180510	
M_basker_GC1.txt	3	0.169286	
M_basker_GC1.txt	4	0.219908	
M_basker_GC1.txt	3	0.241545	
M_basker_GC1.txt	4	0.234853	
M_basker_GC1.txt	3	0.152961	
M_basker_GC1.txt	3	0.241333	
M_basker_GC1.txt	4	0.185680	
M_basker_GC1.txt	4	0.211450	
M_basker_GC1.txt	4	0.169875	
M_basker_GC1.txt	4	0.201775	
M_basker_GC1.txt	4	0.177011	
M_basker_GC1.txt	4	0.257716	
M_basker_GC1.txt	4	0.198462	
M_basker_GC1.txt	3	0.184229	
M_basker_GC1.txt	3	0.182093	
M_basker_GC1.txt	3	0.196923	
M_basker_GC1.txt	3	0.199822	
M_basker_GC1.txt	3	0.211863	
M_basker_GC1.txt	4	0.135858	
M_basker_GC1.txt	4	0.251667	
M_basker_GC1.txt	4	0.218205	
M_basker_GC1.txt	3	0.200182	
M_basker_GC1.txt	3	0.175549	
M_basker_GC1.txt	3	0.200379	
M_basker_GC1.txt	4	0.238689	
M_basker_GC1.txt	3	0.179479	
M_basker_GC1.txt	4	0.183547	
M_basker_GC1.txt	4	0.186372	
M_basker_GC1.txt	4	0.207605	
M_basker_GC1.txt	4	0.216571	
M_basker_GC1.txt	4	0.211479	
M_basker_GC1.txt	5	0.228095	
M_basker_GC1.txt	3	0.188931	
M_basker_GC1.txt	4	0.177633	
M_basker_GC1.txt	3	0.189279	
M_basker_GC1.txt	3	0.170972	
M_basker_GC1.txt	4	0.224028	
M_basker_GC1.txt	3	0.190178	
M_basker_GC1.txt	4	0.196805	
M_basker_GC1.txt	4	0.182112	
M_basker_GC1.txt	3	0.165509	
M_basker_GC1.txt	5	0.207361	
M_basker_GC1.txt	4	0.213501	
M_basker_GC1.txt	3	0.245987	
M_basker_GC1.txt	3	0.179490	
M_basker_GC1.txt	4	0.232687	
M_basker_GC1.txt	3	0.195000	
M_basker_GC1.txt	5	0.254943	
M_basker_GC1.txt	4	0.186391	
M_basker_GC1.txt	4	0.166184	
M_basker_GC1.txt	3	0.196402	
M_basker_GC1.txt	3	0.167632	
M_basker_GC1.txt	4	0.191122	
M_basker_GC1.txt	4	0.186959	
M_basker_GC1.txt	4	0.206036	
M_basker_GC1.txt	4	0.262905	
M_basker_GC1.txt	4	0.163727	
M_basker_GC1.txt	4	0.187672	
M_basker_GC1.txt	4	0.157722	
M_basker_GC1.txt	3	0.214956	
M_basker_GC1.txt	4	0.235972	
M_basker_GC1.txt	4	0.231528	
M_basker_GC1.txt	3	0.189467	
M_basker_GC1.txt	3	0.205502	
M_basker_GC1.txt	4	0.201688	
M_basker_GC1.txt	4	0.171832	
M_basker_GC1.txt	3	0.202130	
M_basker_GC1.txt	3	0.203673	
M_basker_GC1.txt	4	0.206059	
M_basker_GC1.txt	4	0.145270	
M_basker_GC1.txt	3	0.193342	
M_basker_GC1.txt	3	0.175924	
M_basker_GC1.txt	4	0.202130	
M_basker_GC1.txt	3	0.189028	
M_basker_GC1.txt	4	0.237355	
M_basker_GC1.txt	4	0.187672	
M_basker_GC1.txt	4	0.231250	
M_basker_GC1.txt	4	0.218872	
M_basker_GC1.txt	3	0.223643	
M_basker_GC1.txt	3	0.205321	
M_basker_GC1.txt	3	0.207185	
M_basker_GC1.txt	5	0.192361	
M_basker_GC1.txt	4	0.248960	
M_basker_GC1.txt	3	0.150025	
M_basker_GC1.txt	3	0.222107	
M_basker_GC1.txt	4	0.188349	
M_basker_GC1.txt	4	0.228383	
M_basker_GC1.txt	4	0.239612	
M_basker_GC1.txt	4	0.167612	
M_basker_GC1.txt	3	0.160891	
M_basker_GC1.txt	4	0.237765	
M_basker_GC1.txt	3	0.154242	
M_basker_GC1.txt	4	0.171708	
M_basker_GC1.txt	3	0.184625	
M_basker_GC1.txt	3	0.209401	
M_basker_GC1.txt	3	0.159433	
M_basker_GC1.txt	3	0.245150	
M_basker_GC1.txt	3	0.154326	
M_basker_GC1.txt	3	0.195862	
M_basker_GC1.txt	3	0.178833	
M_basker_GC1.txt	3	0.180510	
M_basker_GC1.txt	4	0.204890	
M_basker_GC1.txt	4	0.176224	
M_basker_GC1.txt	3	0.213189	
M_basker_GC1.txt	4	0.216431	
M_basker_GC1.txt	3	0.146989	
M_basker_GC1.txt	3	0.174611	
M_basker_GC1.txt	3	0.188345	
M_basker_GC1.txt	5	0.224968	
M_basker_GC1.txt	4	0.210170	
M_basker_GC1.txt	4	0.190651	
M_basker_GC1.txt	4	0.232180	
M_basker_GC1.txt	3	0.231793	
M_basker_GC1.txt	3	0.168113	
M_basker_GC1.txt	5	0.231570	
M_basker_GC1.txt	3	0.210848	
M_basker_GC1.txt	3	0.231543	
M_basker_GC1.txt	3	0.168137	
M_basker_GC1.txt	3	0.230449	
M_basker_GC1.txt	3	0.182551	
M_basker_GC1.txt	3	0.210428	
M_basker_GC1.txt	4	0.160153	
M_basker_GC1.txt	4	0.165799	
M_basker_GC1.txt	4	0.217612	
M_basker_GC1.txt	4	0.170340	
M_basker_GC1.txt	4	0.210626	
M_basker_GC1.txt	4	0.188149	
M_basker_GC1.txt	3	0.259566	
M_basker_GC1.txt	3	0.225343	
M_basker_GC1.txt	4	0.175378	
M_basker_GC1.txt	4	0.184964	
M_basker_GC1.txt	3	0.176497	
M_basker_GC1.txt	3	0.172357	
M_basker_GC1.txt	3	0.195394	
M_basker_GC1.txt	4	0.122578	
M_basker_GC1.txt	4	0.161287	
M_basker_GC1.txt	3	0.188673	
M_basker_GC1.txt	3	0.254598	
M_basker_GC1.txt	3	0.240930	
M_basker_GC1.txt	4	0.165799	
M_basker_GC1.txt	3	0.201676	
M_basker_GC1.txt	3	0.208639	
M_basker_GC1.txt	4	0.168097	
M_basker_GC1.txt	4	0.215402	
M_basker_GC1.txt	4	0.252847	
