File	N.modules	Modularity
M_braunbreton_GC1.txt	3	0.138503	
M_braunbreton_GC1.txt	3	0.138503	
M_braunbreton_GC1.txt	3	0.252675	
M_braunbreton_GC1.txt	3	0.197266	
M_braunbreton_GC1.txt	3	0.232778	
M_braunbreton_GC1.txt	3	0.214880	
M_braunbreton_GC1.txt	3	0.252675	
M_braunbreton_GC1.txt	3	0.214880	
M_braunbreton_GC1.txt	3	0.375000	
M_braunbreton_GC1.txt	3	0.196777	
M_braunbreton_GC1.txt	3	0.196777	
M_braunbreton_GC1.txt	3	0.213840	
M_braunbreton_GC1.txt	3	0.165657	
M_braunbreton_GC1.txt	3	0.166522	
M_braunbreton_GC1.txt	3	0.294239	
M_braunbreton_GC1.txt	3	0.251486	
M_braunbreton_GC1.txt	3	0.252675	
M_braunbreton_GC1.txt	3	0.197754	
M_braunbreton_GC1.txt	3	0.214880	
M_braunbreton_GC1.txt	3	0.252675	
M_braunbreton_GC1.txt	3	0.181359	
M_braunbreton_GC1.txt	3	0.232778	
M_braunbreton_GC1.txt	3	0.251486	
M_braunbreton_GC1.txt	3	0.138503	
M_braunbreton_GC1.txt	3	0.151429	
M_braunbreton_GC1.txt	3	0.197754	
M_braunbreton_GC1.txt	3	0.232778	
M_braunbreton_GC1.txt	3	0.196777	
M_braunbreton_GC1.txt	3	0.232778	
M_braunbreton_GC1.txt	3	0.165657	
M_braunbreton_GC1.txt	3	0.214880	
M_braunbreton_GC1.txt	3	0.272321	
M_braunbreton_GC1.txt	3	0.251486	
M_braunbreton_GC1.txt	3	0.197754	
M_braunbreton_GC1.txt	3	0.181359	
M_braunbreton_GC1.txt	3	0.251486	
M_braunbreton_GC1.txt	3	0.272321	
M_braunbreton_GC1.txt	3	0.251486	
M_braunbreton_GC1.txt	3	0.251486	
M_braunbreton_GC1.txt	3	0.165657	
M_braunbreton_GC1.txt	2	0.259215	
M_braunbreton_GC1.txt	3	0.232778	
M_braunbreton_GC1.txt	3	0.252675	
M_braunbreton_GC1.txt	3	0.181359	
M_braunbreton_GC1.txt	3	0.214880	
M_braunbreton_GC1.txt	3	0.152245	
M_braunbreton_GC1.txt	3	0.213840	
M_braunbreton_GC1.txt	3	0.213840	
M_braunbreton_GC1.txt	3	0.197754	
M_braunbreton_GC1.txt	3	0.138503	
M_braunbreton_GC1.txt	3	0.231667	
M_braunbreton_GC1.txt	3	0.252675	
M_braunbreton_GC1.txt	2	0.147762	
M_braunbreton_GC1.txt	3	0.166090	
M_braunbreton_GC1.txt	3	0.181359	
M_braunbreton_GC1.txt	3	0.403592	
M_braunbreton_GC1.txt	3	0.295610	
M_braunbreton_GC1.txt	3	0.196777	
M_braunbreton_GC1.txt	3	0.272321	
M_braunbreton_GC1.txt	3	0.213840	
M_braunbreton_GC1.txt	3	0.197266	
M_braunbreton_GC1.txt	3	0.214360	
M_braunbreton_GC1.txt	3	0.196777	
M_braunbreton_GC1.txt	3	0.197266	
M_braunbreton_GC1.txt	3	0.295610	
M_braunbreton_GC1.txt	3	0.196777	
M_braunbreton_GC1.txt	3	0.346400	
M_braunbreton_GC1.txt	3	0.196777	
M_braunbreton_GC1.txt	3	0.252675	
M_braunbreton_GC1.txt	3	0.152245	
M_braunbreton_GC1.txt	3	0.214360	
M_braunbreton_GC1.txt	3	0.232778	
M_braunbreton_GC1.txt	3	0.295610	
M_braunbreton_GC1.txt	3	0.252081	
M_braunbreton_GC1.txt	3	0.197754	
M_braunbreton_GC1.txt	3	0.181359	
M_braunbreton_GC1.txt	3	0.232778	
M_braunbreton_GC1.txt	3	0.295610	
M_braunbreton_GC1.txt	3	0.165657	
M_braunbreton_GC1.txt	2	0.182958	
M_braunbreton_GC1.txt	3	0.152245	
M_braunbreton_GC1.txt	3	0.197754	
M_braunbreton_GC1.txt	3	0.344800	
M_braunbreton_GC1.txt	3	0.252675	
M_braunbreton_GC1.txt	3	0.214360	
M_braunbreton_GC1.txt	3	0.263393	
M_braunbreton_GC1.txt	3	0.181359	
M_braunbreton_GC1.txt	2	0.201172	
M_braunbreton_GC1.txt	2	0.166667	
M_braunbreton_GC1.txt	3	0.232778	
M_braunbreton_GC1.txt	3	0.272959	
M_braunbreton_GC1.txt	3	0.232778	
M_braunbreton_GC1.txt	3	0.165657	
M_braunbreton_GC1.txt	3	0.252675	
M_braunbreton_GC1.txt	3	0.232778	
M_braunbreton_GC1.txt	3	0.233333	
M_braunbreton_GC1.txt	3	0.152245	
M_braunbreton_GC1.txt	3	0.165657	
M_braunbreton_GC1.txt	3	0.165657	
M_braunbreton_GC1.txt	3	0.151837	
M_braunbreton_GC1.txt	3	0.165657	
M_braunbreton_GC1.txt	3	0.272321	
M_braunbreton_GC1.txt	3	0.295610	
M_braunbreton_GC1.txt	3	0.214880	
M_braunbreton_GC1.txt	3	0.232778	
M_braunbreton_GC1.txt	3	0.181359	
M_braunbreton_GC1.txt	3	0.232778	
M_braunbreton_GC1.txt	3	0.231667	
M_braunbreton_GC1.txt	3	0.138503	
M_braunbreton_GC1.txt	3	0.232778	
M_braunbreton_GC1.txt	3	0.166090	
