File	N.modules	Modularity
M_kankila_GC1.txt	3	0.034278	
M_kankila_GC1.txt	2	0.027427	
M_kankila_GC1.txt	3	0.024246	
M_kankila_GC1.txt	2	0.028864	
M_kankila_GC1.txt	2	0.025792	
M_kankila_GC1.txt	3	0.034943	
M_kankila_GC1.txt	2	0.020680	
M_kankila_GC1.txt	3	0.019838	
M_kankila_GC1.txt	3	0.028054	
M_kankila_GC1.txt	3	0.030444	
M_kankila_GC1.txt	3	0.023873	
M_kankila_GC1.txt	2	0.029805	
M_kankila_GC1.txt	2	0.031047	
M_kankila_GC1.txt	3	0.021486	
M_kankila_GC1.txt	3	0.035874	
M_kankila_GC1.txt	3	0.016810	
M_kankila_GC1.txt	2	0.028097	
M_kankila_GC1.txt	3	0.028419	
M_kankila_GC1.txt	2	0.029656	
M_kankila_GC1.txt	2	0.023514	
M_kankila_GC1.txt	3	0.023831	
M_kankila_GC1.txt	2	0.034334	
M_kankila_GC1.txt	3	0.028231	
M_kankila_GC1.txt	3	0.020572	
M_kankila_GC1.txt	2	0.029877	
M_kankila_GC1.txt	3	0.023957	
M_kankila_GC1.txt	3	0.025109	
M_kankila_GC1.txt	2	0.035225	
M_kankila_GC1.txt	3	0.024185	
M_kankila_GC1.txt	3	0.022204	
M_kankila_GC1.txt	3	0.026099	
M_kankila_GC1.txt	2	0.025759	
M_kankila_GC1.txt	3	0.025027	
M_kankila_GC1.txt	2	0.026484	
M_kankila_GC1.txt	3	0.019853	
M_kankila_GC1.txt	3	0.035713	
M_kankila_GC1.txt	3	0.025164	
M_kankila_GC1.txt	3	0.019793	
M_kankila_GC1.txt	2	0.027222	
M_kankila_GC1.txt	3	0.025957	
M_kankila_GC1.txt	3	0.024612	
M_kankila_GC1.txt	3	0.017423	
M_kankila_GC1.txt	2	0.022479	
M_kankila_GC1.txt	3	0.025570	
M_kankila_GC1.txt	2	0.023522	
M_kankila_GC1.txt	3	0.025790	
M_kankila_GC1.txt	3	0.028930	
M_kankila_GC1.txt	2	0.022984	
M_kankila_GC1.txt	3	0.018998	
M_kankila_GC1.txt	3	0.030300	
M_kankila_GC1.txt	3	0.029672	
M_kankila_GC1.txt	2	0.023412	
M_kankila_GC1.txt	2	0.024873	
M_kankila_GC1.txt	2	0.018139	
M_kankila_GC1.txt	3	0.023695	
M_kankila_GC1.txt	2	0.032544	
M_kankila_GC1.txt	3	0.020816	
M_kankila_GC1.txt	3	0.018253	
M_kankila_GC1.txt	2	0.022885	
M_kankila_GC1.txt	3	0.015283	
M_kankila_GC1.txt	3	0.020621	
M_kankila_GC1.txt	2	0.029256	
M_kankila_GC1.txt	2	0.021535	
M_kankila_GC1.txt	3	0.022216	
M_kankila_GC1.txt	2	0.033010	
M_kankila_GC1.txt	3	0.019278	
M_kankila_GC1.txt	3	0.018215	
M_kankila_GC1.txt	3	0.022233	
M_kankila_GC1.txt	2	0.030544	
M_kankila_GC1.txt	3	0.030173	
M_kankila_GC1.txt	2	0.028672	
M_kankila_GC1.txt	3	0.024874	
M_kankila_GC1.txt	3	0.017320	
M_kankila_GC1.txt	2	0.027977	
M_kankila_GC1.txt	3	0.022992	
M_kankila_GC1.txt	2	0.014353	
M_kankila_GC1.txt	2	0.028381	
M_kankila_GC1.txt	2	0.026055	
M_kankila_GC1.txt	3	0.025012	
M_kankila_GC1.txt	3	0.028990	
M_kankila_GC1.txt	2	0.031725	
M_kankila_GC1.txt	2	0.024812	
M_kankila_GC1.txt	3	0.028007	
M_kankila_GC1.txt	3	0.028657	
M_kankila_GC1.txt	3	0.022090	
M_kankila_GC1.txt	3	0.020812	
M_kankila_GC1.txt	3	0.023356	
M_kankila_GC1.txt	2	0.034318	
M_kankila_GC1.txt	3	0.022719	
M_kankila_GC1.txt	2	0.023979	
M_kankila_GC1.txt	2	0.023412	
M_kankila_GC1.txt	3	0.024537	
M_kankila_GC1.txt	3	0.019525	
M_kankila_GC1.txt	3	0.018133	
M_kankila_GC1.txt	3	0.021720	
M_kankila_GC1.txt	3	0.029429	
M_kankila_GC1.txt	3	0.018008	
M_kankila_GC1.txt	3	0.014806	
M_kankila_GC1.txt	2	0.022330	
M_kankila_GC1.txt	3	0.026855	
M_kankila_GC1.txt	2	0.031704	
M_kankila_GC1.txt	2	0.019785	
M_kankila_GC1.txt	3	0.028440	
M_kankila_GC1.txt	3	0.023501	
M_kankila_GC1.txt	3	0.025936	
M_kankila_GC1.txt	2	0.018313	
M_kankila_GC1.txt	3	0.037052	
M_kankila_GC1.txt	2	0.016849	
M_kankila_GC1.txt	3	0.024637	
M_kankila_GC1.txt	2	0.029634	
M_kankila_GC1.txt	3	0.021689	
M_kankila_GC1.txt	2	0.027882	
M_kankila_GC1.txt	3	0.020850	
M_kankila_GC1.txt	3	0.015980	
M_kankila_GC1.txt	2	0.028864	
M_kankila_GC1.txt	2	0.024479	
M_kankila_GC1.txt	3	0.028356	
M_kankila_GC1.txt	2	0.027818	
M_kankila_GC1.txt	2	0.029479	
M_kankila_GC1.txt	2	0.020516	
M_kankila_GC1.txt	2	0.023904	
M_kankila_GC1.txt	3	0.032695	
M_kankila_GC1.txt	3	0.024764	
M_kankila_GC1.txt	3	0.021485	
M_kankila_GC1.txt	3	0.032125	
M_kankila_GC1.txt	2	0.027882	
M_kankila_GC1.txt	3	0.028319	
M_kankila_GC1.txt	3	0.021866	
M_kankila_GC1.txt	2	0.030459	
M_kankila_GC1.txt	3	0.021703	
M_kankila_GC1.txt	3	0.021275	
M_kankila_GC1.txt	3	0.022348	
M_kankila_GC1.txt	2	0.028166	
M_kankila_GC1.txt	3	0.022017	
M_kankila_GC1.txt	2	0.028163	
M_kankila_GC1.txt	2	0.032010	
M_kankila_GC1.txt	3	0.033068	
M_kankila_GC1.txt	3	0.016841	
M_kankila_GC1.txt	3	0.026457	
M_kankila_GC1.txt	2	0.034115	
M_kankila_GC1.txt	3	0.015791	
M_kankila_GC1.txt	2	0.019620	
M_kankila_GC1.txt	2	0.030990	
M_kankila_GC1.txt	2	0.031871	
M_kankila_GC1.txt	3	0.016121	
M_kankila_GC1.txt	3	0.032330	
M_kankila_GC1.txt	3	0.026272	
M_kankila_GC1.txt	2	0.029240	
M_kankila_GC1.txt	2	0.026626	
M_kankila_GC1.txt	3	0.029269	
M_kankila_GC1.txt	3	0.023075	
M_kankila_GC1.txt	3	0.026626	
M_kankila_GC1.txt	3	0.021645	
M_kankila_GC1.txt	2	0.026625	
M_kankila_GC1.txt	2	0.022755	
M_kankila_GC1.txt	2	0.018454	
M_kankila_GC1.txt	2	0.030193	
M_kankila_GC1.txt	2	0.034763	
M_kankila_GC1.txt	2	0.023084	
M_kankila_GC1.txt	3	0.029236	
M_kankila_GC1.txt	3	0.030259	
M_kankila_GC1.txt	2	0.024346	
M_kankila_GC1.txt	3	0.029941	
M_kankila_GC1.txt	2	0.029002	
M_kankila_GC1.txt	2	0.030544	
M_kankila_GC1.txt	2	0.022167	
M_kankila_GC1.txt	3	0.026645	
M_kankila_GC1.txt	2	0.028552	
M_kankila_GC1.txt	3	0.023443	
M_kankila_GC1.txt	2	0.018313	
M_kankila_GC1.txt	3	0.016171	
M_kankila_GC1.txt	2	0.026272	
M_kankila_GC1.txt	3	0.029382	
M_kankila_GC1.txt	3	0.024405	
M_kankila_GC1.txt	4	0.020395	
M_kankila_GC1.txt	2	0.028616	
M_kankila_GC1.txt	2	0.030330	
M_kankila_GC1.txt	3	0.022984	
M_kankila_GC1.txt	3	0.022264	
M_kankila_GC1.txt	3	0.021647	
M_kankila_GC1.txt	3	0.020045	
M_kankila_GC1.txt	3	0.018032	
M_kankila_GC1.txt	3	0.030501	
M_kankila_GC1.txt	4	0.015539	
M_kankila_GC1.txt	3	0.030473	
M_kankila_GC1.txt	3	0.021713	
M_kankila_GC1.txt	2	0.029303	
M_kankila_GC1.txt	3	0.030133	
M_kankila_GC1.txt	3	0.028309	
M_kankila_GC1.txt	2	0.016791	
M_kankila_GC1.txt	3	0.026807	
M_kankila_GC1.txt	2	0.024008	
M_kankila_GC1.txt	3	0.019131	
M_kankila_GC1.txt	2	0.028470	
M_kankila_GC1.txt	3	0.028113	
M_kankila_GC1.txt	3	0.023555	
M_kankila_GC1.txt	2	0.028670	
M_kankila_GC1.txt	2	0.021424	
M_kankila_GC1.txt	2	0.017166	
M_kankila_GC1.txt	3	0.020012	
M_kankila_GC1.txt	2	0.023798	
M_kankila_GC1.txt	3	0.024029	
M_kankila_GC1.txt	3	0.023142	
M_kankila_GC1.txt	2	0.027174	
M_kankila_GC1.txt	2	0.025649	
M_kankila_GC1.txt	3	0.022718	
M_kankila_GC1.txt	3	0.019598	
M_kankila_GC1.txt	3	0.026272	
M_kankila_GC1.txt	3	0.020572	
M_kankila_GC1.txt	3	0.029285	
M_kankila_GC1.txt	3	0.037352	
M_kankila_GC1.txt	3	0.033420	
M_kankila_GC1.txt	3	0.032080	
M_kankila_GC1.txt	3	0.020150	
M_kankila_GC1.txt	2	0.027155	
M_kankila_GC1.txt	2	0.028163	
M_kankila_GC1.txt	3	0.027712	
M_kankila_GC1.txt	3	0.025022	
M_kankila_GC1.txt	3	0.023459	
M_kankila_GC1.txt	2	0.029479	
M_kankila_GC1.txt	3	0.025936	
M_kankila_GC1.txt	3	0.028606	
M_kankila_GC1.txt	3	0.025610	
M_kankila_GC1.txt	3	0.026304	
M_kankila_GC1.txt	2	0.026626	
M_kankila_GC1.txt	2	0.023904	
M_kankila_GC1.txt	3	0.020777	
M_kankila_GC1.txt	3	0.015906	
M_kankila_GC1.txt	3	0.018522	
M_kankila_GC1.txt	2	0.025945	
M_kankila_GC1.txt	3	0.022176	
M_kankila_GC1.txt	2	0.032095	
M_kankila_GC1.txt	3	0.022264	
M_kankila_GC1.txt	3	0.027565	
M_kankila_GC1.txt	2	0.016234	
M_kankila_GC1.txt	2	0.029983	
M_kankila_GC1.txt	3	0.024167	
M_kankila_GC1.txt	2	0.026964	
M_kankila_GC1.txt	2	0.033266	
M_kankila_GC1.txt	2	0.025447	
