File	N.modules	Modularity
M_langley_GC1.txt	4	0.258598	
M_langley_GC1.txt	6	0.292553	
M_langley_GC1.txt	4	0.308465	
M_langley_GC1.txt	4	0.328505	
M_langley_GC1.txt	4	0.269524	
M_langley_GC1.txt	5	0.301200	
M_langley_GC1.txt	5	0.323272	
M_langley_GC1.txt	5	0.300217	
M_langley_GC1.txt	5	0.273585	
M_langley_GC1.txt	4	0.272133	
M_langley_GC1.txt	5	0.314954	
M_langley_GC1.txt	5	0.312926	
M_langley_GC1.txt	4	0.289817	
M_langley_GC1.txt	5	0.265859	
M_langley_GC1.txt	5	0.325260	
M_langley_GC1.txt	5	0.331713	
M_langley_GC1.txt	6	0.231304	
M_langley_GC1.txt	6	0.262713	
M_langley_GC1.txt	5	0.300079	
M_langley_GC1.txt	4	0.311306	
M_langley_GC1.txt	5	0.302123	
M_langley_GC1.txt	5	0.295627	
M_langley_GC1.txt	5	0.274819	
M_langley_GC1.txt	5	0.270897	
M_langley_GC1.txt	5	0.274394	
M_langley_GC1.txt	6	0.275162	
M_langley_GC1.txt	4	0.334380	
M_langley_GC1.txt	6	0.343308	
M_langley_GC1.txt	4	0.273696	
M_langley_GC1.txt	6	0.271299	
M_langley_GC1.txt	5	0.315662	
M_langley_GC1.txt	5	0.266122	
M_langley_GC1.txt	4	0.302635	
M_langley_GC1.txt	5	0.293524	
M_langley_GC1.txt	5	0.298096	
M_langley_GC1.txt	5	0.249952	
M_langley_GC1.txt	5	0.243104	
M_langley_GC1.txt	4	0.295850	
M_langley_GC1.txt	5	0.266821	
M_langley_GC1.txt	5	0.245801	
M_langley_GC1.txt	4	0.312307	
M_langley_GC1.txt	4	0.272924	
M_langley_GC1.txt	4	0.273441	
M_langley_GC1.txt	5	0.283963	
M_langley_GC1.txt	4	0.263082	
M_langley_GC1.txt	5	0.259708	
M_langley_GC1.txt	5	0.293606	
M_langley_GC1.txt	3	0.287350	
M_langley_GC1.txt	5	0.300031	
M_langley_GC1.txt	5	0.301065	
M_langley_GC1.txt	5	0.309487	
M_langley_GC1.txt	4	0.290950	
M_langley_GC1.txt	4	0.293147	
M_langley_GC1.txt	4	0.284674	
M_langley_GC1.txt	5	0.290122	
M_langley_GC1.txt	5	0.252786	
M_langley_GC1.txt	4	0.288907	
M_langley_GC1.txt	5	0.266736	
M_langley_GC1.txt	4	0.239864	
M_langley_GC1.txt	5	0.239187	
M_langley_GC1.txt	4	0.272731	
M_langley_GC1.txt	4	0.335000	
M_langley_GC1.txt	4	0.275657	
M_langley_GC1.txt	5	0.364198	
M_langley_GC1.txt	5	0.284048	
M_langley_GC1.txt	5	0.263081	
M_langley_GC1.txt	4	0.346421	
M_langley_GC1.txt	5	0.281601	
M_langley_GC1.txt	4	0.264082	
M_langley_GC1.txt	5	0.233139	
M_langley_GC1.txt	4	0.244813	
M_langley_GC1.txt	4	0.269850	
M_langley_GC1.txt	5	0.254583	
M_langley_GC1.txt	6	0.247085	
M_langley_GC1.txt	4	0.267710	
M_langley_GC1.txt	5	0.294454	
M_langley_GC1.txt	5	0.310901	
M_langley_GC1.txt	5	0.279612	
M_langley_GC1.txt	5	0.248532	
M_langley_GC1.txt	4	0.293176	
M_langley_GC1.txt	4	0.260245	
M_langley_GC1.txt	5	0.315119	
M_langley_GC1.txt	4	0.255959	
M_langley_GC1.txt	4	0.271315	
M_langley_GC1.txt	5	0.310730	
M_langley_GC1.txt	3	0.306039	
M_langley_GC1.txt	4	0.301196	
M_langley_GC1.txt	5	0.276043	
M_langley_GC1.txt	6	0.239091	
M_langley_GC1.txt	5	0.237869	
M_langley_GC1.txt	5	0.263997	
M_langley_GC1.txt	6	0.340878	
M_langley_GC1.txt	4	0.303911	
M_langley_GC1.txt	5	0.281445	
M_langley_GC1.txt	4	0.243480	
M_langley_GC1.txt	4	0.311100	
M_langley_GC1.txt	5	0.253468	
M_langley_GC1.txt	5	0.291721	
M_langley_GC1.txt	5	0.266226	
M_langley_GC1.txt	5	0.333944	
M_langley_GC1.txt	5	0.247483	
M_langley_GC1.txt	4	0.310600	
M_langley_GC1.txt	4	0.281553	
M_langley_GC1.txt	4	0.310819	
M_langley_GC1.txt	5	0.293746	
M_langley_GC1.txt	5	0.314038	
M_langley_GC1.txt	4	0.211151	
M_langley_GC1.txt	5	0.303934	
M_langley_GC1.txt	5	0.308960	
M_langley_GC1.txt	4	0.276964	
M_langley_GC1.txt	6	0.285576	
M_langley_GC1.txt	6	0.305643	
M_langley_GC1.txt	4	0.317226	
M_langley_GC1.txt	4	0.342548	
M_langley_GC1.txt	5	0.259939	
M_langley_GC1.txt	4	0.312250	
M_langley_GC1.txt	5	0.262517	
M_langley_GC1.txt	5	0.287969	
M_langley_GC1.txt	5	0.292912	
M_langley_GC1.txt	5	0.360277	
M_langley_GC1.txt	4	0.274343	
M_langley_GC1.txt	5	0.262928	
M_langley_GC1.txt	5	0.232264	
M_langley_GC1.txt	5	0.291136	
M_langley_GC1.txt	5	0.262727	
M_langley_GC1.txt	5	0.348857	
M_langley_GC1.txt	5	0.221747	
M_langley_GC1.txt	4	0.247626	
M_langley_GC1.txt	4	0.298597	
M_langley_GC1.txt	5	0.287963	
M_langley_GC1.txt	4	0.254029	
M_langley_GC1.txt	4	0.252992	
M_langley_GC1.txt	5	0.374654	
M_langley_GC1.txt	5	0.273068	
M_langley_GC1.txt	4	0.269580	
M_langley_GC1.txt	4	0.321713	
M_langley_GC1.txt	5	0.270366	
M_langley_GC1.txt	5	0.255651	
M_langley_GC1.txt	5	0.312621	
M_langley_GC1.txt	4	0.275788	
M_langley_GC1.txt	5	0.344497	
M_langley_GC1.txt	5	0.273993	
M_langley_GC1.txt	6	0.263602	
M_langley_GC1.txt	4	0.340029	
M_langley_GC1.txt	5	0.289568	
M_langley_GC1.txt	5	0.278350	
M_langley_GC1.txt	4	0.270195	
M_langley_GC1.txt	4	0.290952	
M_langley_GC1.txt	4	0.308794	
M_langley_GC1.txt	4	0.234025	
M_langley_GC1.txt	5	0.242480	
M_langley_GC1.txt	5	0.279748	
M_langley_GC1.txt	5	0.337514	
M_langley_GC1.txt	4	0.282766	
M_langley_GC1.txt	5	0.234726	
M_langley_GC1.txt	5	0.292400	
M_langley_GC1.txt	4	0.286250	
M_langley_GC1.txt	5	0.288152	
M_langley_GC1.txt	4	0.300600	
M_langley_GC1.txt	5	0.269705	
M_langley_GC1.txt	3	0.277430	
M_langley_GC1.txt	4	0.254925	
M_langley_GC1.txt	4	0.289001	
M_langley_GC1.txt	5	0.307078	
M_langley_GC1.txt	4	0.323841	
M_langley_GC1.txt	4	0.332053	
M_langley_GC1.txt	5	0.300213	
M_langley_GC1.txt	6	0.261595	
M_langley_GC1.txt	5	0.272120	
M_langley_GC1.txt	5	0.278738	
M_langley_GC1.txt	4	0.299660	
M_langley_GC1.txt	4	0.352395	
M_langley_GC1.txt	4	0.272149	
M_langley_GC1.txt	5	0.292275	
M_langley_GC1.txt	5	0.285097	
M_langley_GC1.txt	5	0.247909	
M_langley_GC1.txt	4	0.258922	
M_langley_GC1.txt	5	0.260631	
M_langley_GC1.txt	6	0.248100	
M_langley_GC1.txt	5	0.306417	
M_langley_GC1.txt	4	0.285634	
M_langley_GC1.txt	5	0.268289	
M_langley_GC1.txt	4	0.277767	
M_langley_GC1.txt	5	0.344202	
M_langley_GC1.txt	5	0.313094	
M_langley_GC1.txt	5	0.319796	
M_langley_GC1.txt	4	0.295525	
M_langley_GC1.txt	4	0.275765	
M_langley_GC1.txt	4	0.312853	
M_langley_GC1.txt	5	0.291476	
M_langley_GC1.txt	4	0.232401	
M_langley_GC1.txt	4	0.307764	
M_langley_GC1.txt	4	0.317588	
M_langley_GC1.txt	5	0.274720	
M_langley_GC1.txt	4	0.286608	
M_langley_GC1.txt	5	0.322292	
M_langley_GC1.txt	5	0.318899	
