File	N.modules	Modularity
M_quiberoni_GC1.txt	4	0.219150	
M_quiberoni_GC1.txt	5	0.295562	
M_quiberoni_GC1.txt	5	0.218573	
M_quiberoni_GC1.txt	4	0.254606	
M_quiberoni_GC1.txt	4	0.252338	
M_quiberoni_GC1.txt	4	0.231270	
M_quiberoni_GC1.txt	4	0.216122	
M_quiberoni_GC1.txt	4	0.259281	
M_quiberoni_GC1.txt	5	0.222418	
M_quiberoni_GC1.txt	4	0.230695	
M_quiberoni_GC1.txt	6	0.201200	
M_quiberoni_GC1.txt	5	0.194693	
M_quiberoni_GC1.txt	3	0.229922	
M_quiberoni_GC1.txt	3	0.270619	
M_quiberoni_GC1.txt	3	0.269408	
M_quiberoni_GC1.txt	4	0.215780	
M_quiberoni_GC1.txt	3	0.260558	
M_quiberoni_GC1.txt	4	0.253188	
M_quiberoni_GC1.txt	4	0.218868	
M_quiberoni_GC1.txt	4	0.258200	
M_quiberoni_GC1.txt	3	0.251618	
M_quiberoni_GC1.txt	5	0.214643	
M_quiberoni_GC1.txt	4	0.215379	
M_quiberoni_GC1.txt	4	0.219012	
M_quiberoni_GC1.txt	5	0.247904	
M_quiberoni_GC1.txt	4	0.225550	
M_quiberoni_GC1.txt	5	0.211330	
M_quiberoni_GC1.txt	5	0.255271	
M_quiberoni_GC1.txt	4	0.214778	
M_quiberoni_GC1.txt	5	0.261359	
M_quiberoni_GC1.txt	5	0.226190	
M_quiberoni_GC1.txt	4	0.212172	
M_quiberoni_GC1.txt	5	0.214294	
M_quiberoni_GC1.txt	4	0.228164	
M_quiberoni_GC1.txt	3	0.230178	
M_quiberoni_GC1.txt	5	0.252318	
M_quiberoni_GC1.txt	5	0.231950	
M_quiberoni_GC1.txt	4	0.254559	
M_quiberoni_GC1.txt	5	0.204625	
M_quiberoni_GC1.txt	4	0.238786	
M_quiberoni_GC1.txt	3	0.303045	
M_quiberoni_GC1.txt	4	0.221268	
M_quiberoni_GC1.txt	4	0.264119	
