File	N.modules	Modularity
M_10_littlecolorado_GC1.txt	6	0.412807	
M_10_littlecolorado_GC1.txt	6	0.350659	
M_10_littlecolorado_GC1.txt	5	0.395833	
M_10_littlecolorado_GC1.txt	5	0.375052	
M_10_littlecolorado_GC1.txt	5	0.369513	
M_10_littlecolorado_GC1.txt	4	0.404934	
M_10_littlecolorado_GC1.txt	5	0.379287	
M_10_littlecolorado_GC1.txt	5	0.309443	
M_10_littlecolorado_GC1.txt	4	0.369917	
M_10_littlecolorado_GC1.txt	5	0.352709	
M_10_littlecolorado_GC1.txt	5	0.361517	
M_10_littlecolorado_GC1.txt	6	0.290694	
M_10_littlecolorado_GC1.txt	5	0.389600	
M_10_littlecolorado_GC1.txt	5	0.331083	
M_10_littlecolorado_GC1.txt	5	0.373800	
M_10_littlecolorado_GC1.txt	4	0.293701	
M_10_littlecolorado_GC1.txt	3	0.308960	
M_10_littlecolorado_GC1.txt	5	0.394314	
M_10_littlecolorado_GC1.txt	6	0.339339	
M_10_littlecolorado_GC1.txt	5	0.449136	
M_10_littlecolorado_GC1.txt	4	0.387860	
M_10_littlecolorado_GC1.txt	5	0.403499	
M_10_littlecolorado_GC1.txt	4	0.355340	
M_10_littlecolorado_GC1.txt	6	0.384215	
M_10_littlecolorado_GC1.txt	7	0.421684	
M_10_littlecolorado_GC1.txt	7	0.366679	
M_10_littlecolorado_GC1.txt	6	0.410156	
M_10_littlecolorado_GC1.txt	5	0.398600	
M_10_littlecolorado_GC1.txt	6	0.425079	
M_10_littlecolorado_GC1.txt	5	0.303333	
M_10_littlecolorado_GC1.txt	5	0.378086	
M_10_littlecolorado_GC1.txt	6	0.336025	
M_10_littlecolorado_GC1.txt	5	0.406250	
M_10_littlecolorado_GC1.txt	5	0.385236	
M_10_littlecolorado_GC1.txt	5	0.420326	
M_10_littlecolorado_GC1.txt	6	0.363130	
M_10_littlecolorado_GC1.txt	5	0.378600	
M_10_littlecolorado_GC1.txt	6	0.433827	
M_10_littlecolorado_GC1.txt	4	0.363471	
M_10_littlecolorado_GC1.txt	4	0.459357	
M_10_littlecolorado_GC1.txt	4	0.314583	
M_10_littlecolorado_GC1.txt	5	0.342875	
M_10_littlecolorado_GC1.txt	6	0.421441	
M_10_littlecolorado_GC1.txt	5	0.397465	
M_10_littlecolorado_GC1.txt	5	0.498750	
M_10_littlecolorado_GC1.txt	5	0.372197	
M_10_littlecolorado_GC1.txt	4	0.359394	
M_10_littlecolorado_GC1.txt	6	0.441116	
M_10_littlecolorado_GC1.txt	6	0.318047	
M_10_littlecolorado_GC1.txt	4	0.421314	
M_10_littlecolorado_GC1.txt	5	0.437717	
M_10_littlecolorado_GC1.txt	5	0.343967	
M_10_littlecolorado_GC1.txt	6	0.377219	
M_10_littlecolorado_GC1.txt	5	0.352996	
M_10_littlecolorado_GC1.txt	5	0.355070	
M_10_littlecolorado_GC1.txt	4	0.382175	
M_10_littlecolorado_GC1.txt	5	0.392144	
M_10_littlecolorado_GC1.txt	5	0.311539	
M_10_littlecolorado_GC1.txt	5	0.367934	
M_10_littlecolorado_GC1.txt	6	0.337562	
M_10_littlecolorado_GC1.txt	5	0.352705	
M_10_littlecolorado_GC1.txt	5	0.479506	
M_10_littlecolorado_GC1.txt	5	0.391712	
M_10_littlecolorado_GC1.txt	5	0.425600	
M_10_littlecolorado_GC1.txt	4	0.425758	
M_10_littlecolorado_GC1.txt	6	0.320310	
M_10_littlecolorado_GC1.txt	5	0.375817	
M_10_littlecolorado_GC1.txt	5	0.416701	
M_10_littlecolorado_GC1.txt	6	0.326646	
M_10_littlecolorado_GC1.txt	5	0.410123	
M_10_littlecolorado_GC1.txt	6	0.300981	
M_10_littlecolorado_GC1.txt	5	0.389421	
M_10_littlecolorado_GC1.txt	4	0.342474	
M_10_littlecolorado_GC1.txt	5	0.421007	
M_10_littlecolorado_GC1.txt	5	0.375000	
M_10_littlecolorado_GC1.txt	5	0.378678	
M_10_littlecolorado_GC1.txt	4	0.352997	
M_10_littlecolorado_GC1.txt	5	0.352041	
M_10_littlecolorado_GC1.txt	5	0.348463	
M_10_littlecolorado_GC1.txt	5	0.455813	
M_10_littlecolorado_GC1.txt	5	0.419421	
M_10_littlecolorado_GC1.txt	5	0.452977	
M_10_littlecolorado_GC1.txt	4	0.407084	
M_10_littlecolorado_GC1.txt	5	0.356711	
M_10_littlecolorado_GC1.txt	5	0.374260	
M_10_littlecolorado_GC1.txt	5	0.330796	
M_10_littlecolorado_GC1.txt	6	0.449383	
M_10_littlecolorado_GC1.txt	4	0.317331	
M_10_littlecolorado_GC1.txt	6	0.301653	
