File	N.modules	Modularity
M_14_lebsko_GC1.txt	5	0.373047	
M_14_lebsko_GC1.txt	4	0.364187	
M_14_lebsko_GC1.txt	4	0.296399	
M_14_lebsko_GC1.txt	4	0.341049	
M_14_lebsko_GC1.txt	5	0.348183	
M_14_lebsko_GC1.txt	4	0.335102	
M_14_lebsko_GC1.txt	4	0.292242	
M_14_lebsko_GC1.txt	5	0.302104	
M_14_lebsko_GC1.txt	3	0.325139	
M_14_lebsko_GC1.txt	3	0.398023	
M_14_lebsko_GC1.txt	4	0.288438	
M_14_lebsko_GC1.txt	4	0.303670	
M_14_lebsko_GC1.txt	3	0.388672	
M_14_lebsko_GC1.txt	4	0.325260	
M_14_lebsko_GC1.txt	4	0.408429	
M_14_lebsko_GC1.txt	4	0.306706	
M_14_lebsko_GC1.txt	4	0.248855	
M_14_lebsko_GC1.txt	4	0.389807	
M_14_lebsko_GC1.txt	5	0.421556	
M_14_lebsko_GC1.txt	3	0.345714	
M_14_lebsko_GC1.txt	4	0.382324	
M_14_lebsko_GC1.txt	4	0.340000	
M_14_lebsko_GC1.txt	4	0.399908	
M_14_lebsko_GC1.txt	4	0.408429	
M_14_lebsko_GC1.txt	4	0.441701	
M_14_lebsko_GC1.txt	4	0.357551	
M_14_lebsko_GC1.txt	4	0.290723	
M_14_lebsko_GC1.txt	4	0.361224	
M_14_lebsko_GC1.txt	4	0.351074	
M_14_lebsko_GC1.txt	4	0.357910	
M_14_lebsko_GC1.txt	4	0.423443	
M_14_lebsko_GC1.txt	3	0.298130	
M_14_lebsko_GC1.txt	5	0.338384	
M_14_lebsko_GC1.txt	4	0.344082	
M_14_lebsko_GC1.txt	4	0.390571	
M_14_lebsko_GC1.txt	4	0.303506	
M_14_lebsko_GC1.txt	4	0.356834	
M_14_lebsko_GC1.txt	5	0.348183	
M_14_lebsko_GC1.txt	5	0.341263	
M_14_lebsko_GC1.txt	4	0.419738	
M_14_lebsko_GC1.txt	4	0.466716	
M_14_lebsko_GC1.txt	4	0.466716	
M_14_lebsko_GC1.txt	4	0.314596	
M_14_lebsko_GC1.txt	4	0.367056	
M_14_lebsko_GC1.txt	4	0.294872	
M_14_lebsko_GC1.txt	4	0.337597	
M_14_lebsko_GC1.txt	5	0.338668	
M_14_lebsko_GC1.txt	4	0.396667	
M_14_lebsko_GC1.txt	5	0.425078	
M_14_lebsko_GC1.txt	5	0.339533	
M_14_lebsko_GC1.txt	3	0.319598	
M_14_lebsko_GC1.txt	4	0.278437	
M_14_lebsko_GC1.txt	4	0.284352	
M_14_lebsko_GC1.txt	4	0.386719	
