File	N.modules	Modularity
M_19_lakeerie_GC1.txt	10	0.358611	
M_19_lakeerie_GC1.txt	12	0.355505	
M_19_lakeerie_GC1.txt	11	0.368704	
M_19_lakeerie_GC1.txt	10	0.372666	
M_19_lakeerie_GC1.txt	10	0.363402	
M_19_lakeerie_GC1.txt	8	0.371458	
M_19_lakeerie_GC1.txt	10	0.359151	
M_19_lakeerie_GC1.txt	10	0.360109	
M_19_lakeerie_GC1.txt	11	0.351578	
M_19_lakeerie_GC1.txt	9	0.366702	
M_19_lakeerie_GC1.txt	12	0.380528	
M_19_lakeerie_GC1.txt	10	0.357125	
M_19_lakeerie_GC1.txt	10	0.361252	
M_19_lakeerie_GC1.txt	11	0.355711	
M_19_lakeerie_GC1.txt	8	0.360894	
M_19_lakeerie_GC1.txt	10	0.361585	
M_19_lakeerie_GC1.txt	10	0.377063	
M_19_lakeerie_GC1.txt	9	0.359609	
M_19_lakeerie_GC1.txt	10	0.372246	
M_19_lakeerie_GC1.txt	9	0.365954	
M_19_lakeerie_GC1.txt	10	0.370570	
M_19_lakeerie_GC1.txt	11	0.357426	
M_19_lakeerie_GC1.txt	12	0.374519	
M_19_lakeerie_GC1.txt	11	0.355725	
M_19_lakeerie_GC1.txt	10	0.376155	
M_19_lakeerie_GC1.txt	9	0.378380	
M_19_lakeerie_GC1.txt	12	0.352131	
M_19_lakeerie_GC1.txt	10	0.346632	
M_19_lakeerie_GC1.txt	11	0.358364	
M_19_lakeerie_GC1.txt	9	0.351010	
M_19_lakeerie_GC1.txt	10	0.368976	
M_19_lakeerie_GC1.txt	11	0.367677	
M_19_lakeerie_GC1.txt	9	0.351123	
M_19_lakeerie_GC1.txt	10	0.369458	
M_19_lakeerie_GC1.txt	9	0.364767	
M_19_lakeerie_GC1.txt	10	0.368902	
M_19_lakeerie_GC1.txt	9	0.362618	
M_19_lakeerie_GC1.txt	10	0.372844	
M_19_lakeerie_GC1.txt	10	0.360724	
M_19_lakeerie_GC1.txt	12	0.373854	
M_19_lakeerie_GC1.txt	12	0.379240	
M_19_lakeerie_GC1.txt	10	0.341795	
M_19_lakeerie_GC1.txt	10	0.365590	
M_19_lakeerie_GC1.txt	12	0.378654	
M_19_lakeerie_GC1.txt	10	0.369465	
M_19_lakeerie_GC1.txt	11	0.369025	
M_19_lakeerie_GC1.txt	10	0.366751	
M_19_lakeerie_GC1.txt	9	0.365468	
M_19_lakeerie_GC1.txt	11	0.362548	
M_19_lakeerie_GC1.txt	10	0.362930	
M_19_lakeerie_GC1.txt	10	0.350424	
M_19_lakeerie_GC1.txt	11	0.370395	
M_19_lakeerie_GC1.txt	12	0.359943	
M_19_lakeerie_GC1.txt	9	0.340383	
M_19_lakeerie_GC1.txt	9	0.368677	
M_19_lakeerie_GC1.txt	10	0.352791	
M_19_lakeerie_GC1.txt	11	0.357494	
M_19_lakeerie_GC1.txt	10	0.368531	
M_19_lakeerie_GC1.txt	11	0.356847	
M_19_lakeerie_GC1.txt	11	0.373328	
M_19_lakeerie_GC1.txt	11	0.362516	
M_19_lakeerie_GC1.txt	10	0.363393	
M_19_lakeerie_GC1.txt	10	0.357415	
M_19_lakeerie_GC1.txt	13	0.370990	
M_19_lakeerie_GC1.txt	10	0.357495	
M_19_lakeerie_GC1.txt	9	0.363242	
M_19_lakeerie_GC1.txt	10	0.365463	
M_19_lakeerie_GC1.txt	11	0.361663	
M_19_lakeerie_GC1.txt	10	0.362130	
M_19_lakeerie_GC1.txt	10	0.363773	
M_19_lakeerie_GC1.txt	12	0.363541	
M_19_lakeerie_GC1.txt	12	0.371091	
M_19_lakeerie_GC1.txt	11	0.370067	
M_19_lakeerie_GC1.txt	9	0.365009	
M_19_lakeerie_GC1.txt	8	0.365550	
M_19_lakeerie_GC1.txt	11	0.354293	
M_19_lakeerie_GC1.txt	11	0.348968	
M_19_lakeerie_GC1.txt	10	0.357678	
M_19_lakeerie_GC1.txt	11	0.363312	
M_19_lakeerie_GC1.txt	9	0.362667	
M_19_lakeerie_GC1.txt	9	0.358099	
M_19_lakeerie_GC1.txt	11	0.374314	
M_19_lakeerie_GC1.txt	11	0.348167	
M_19_lakeerie_GC1.txt	10	0.372310	
M_19_lakeerie_GC1.txt	11	0.370194	
M_19_lakeerie_GC1.txt	11	0.365063	
M_19_lakeerie_GC1.txt	11	0.357463	
M_19_lakeerie_GC1.txt	11	0.355787	
M_19_lakeerie_GC1.txt	9	0.367258	
M_19_lakeerie_GC1.txt	10	0.356139	
M_19_lakeerie_GC1.txt	10	0.368808	
M_19_lakeerie_GC1.txt	10	0.366986	
M_19_lakeerie_GC1.txt	10	0.337618	
M_19_lakeerie_GC1.txt	10	0.361612	
M_19_lakeerie_GC1.txt	10	0.346668	
M_19_lakeerie_GC1.txt	10	0.375653	
M_19_lakeerie_GC1.txt	9	0.365118	
M_19_lakeerie_GC1.txt	10	0.350393	
M_19_lakeerie_GC1.txt	10	0.363756	
M_19_lakeerie_GC1.txt	12	0.369236	
M_19_lakeerie_GC1.txt	11	0.355535	
M_19_lakeerie_GC1.txt	11	0.362466	
M_19_lakeerie_GC1.txt	13	0.358382	
M_19_lakeerie_GC1.txt	10	0.356993	
M_19_lakeerie_GC1.txt	10	0.355381	
M_19_lakeerie_GC1.txt	10	0.360911	
M_19_lakeerie_GC1.txt	11	0.360495	
M_19_lakeerie_GC1.txt	11	0.375439	
M_19_lakeerie_GC1.txt	9	0.379179	
M_19_lakeerie_GC1.txt	11	0.358933	
M_19_lakeerie_GC1.txt	10	0.364506	
M_19_lakeerie_GC1.txt	10	0.345925	
M_19_lakeerie_GC1.txt	10	0.365802	
M_19_lakeerie_GC1.txt	10	0.346337	
M_19_lakeerie_GC1.txt	9	0.355381	
M_19_lakeerie_GC1.txt	10	0.353199	
M_19_lakeerie_GC1.txt	9	0.355936	
M_19_lakeerie_GC1.txt	10	0.356788	
M_19_lakeerie_GC1.txt	10	0.373600	
M_19_lakeerie_GC1.txt	10	0.352371	
M_19_lakeerie_GC1.txt	11	0.355013	
M_19_lakeerie_GC1.txt	10	0.371462	
M_19_lakeerie_GC1.txt	11	0.352214	
M_19_lakeerie_GC1.txt	10	0.359269	
M_19_lakeerie_GC1.txt	10	0.358070	
M_19_lakeerie_GC1.txt	12	0.366762	
M_19_lakeerie_GC1.txt	10	0.355535	
M_19_lakeerie_GC1.txt	10	0.374785	
M_19_lakeerie_GC1.txt	11	0.358942	
M_19_lakeerie_GC1.txt	9	0.373303	
M_19_lakeerie_GC1.txt	10	0.359478	
M_19_lakeerie_GC1.txt	11	0.364317	
M_19_lakeerie_GC1.txt	11	0.354172	
M_19_lakeerie_GC1.txt	10	0.363555	
M_19_lakeerie_GC1.txt	9	0.339813	
M_19_lakeerie_GC1.txt	10	0.356752	
M_19_lakeerie_GC1.txt	11	0.366120	
M_19_lakeerie_GC1.txt	11	0.356340	
M_19_lakeerie_GC1.txt	10	0.372882	
M_19_lakeerie_GC1.txt	10	0.374430	
M_19_lakeerie_GC1.txt	10	0.378790	
M_19_lakeerie_GC1.txt	9	0.363823	
M_19_lakeerie_GC1.txt	11	0.362674	
M_19_lakeerie_GC1.txt	9	0.365671	
M_19_lakeerie_GC1.txt	11	0.351044	
M_19_lakeerie_GC1.txt	9	0.363509	
M_19_lakeerie_GC1.txt	8	0.357656	
M_19_lakeerie_GC1.txt	9	0.370888	
M_19_lakeerie_GC1.txt	10	0.377801	
M_19_lakeerie_GC1.txt	9	0.352144	
M_19_lakeerie_GC1.txt	9	0.360000	
M_19_lakeerie_GC1.txt	13	0.356417	
M_19_lakeerie_GC1.txt	9	0.368837	
M_19_lakeerie_GC1.txt	10	0.360014	
M_19_lakeerie_GC1.txt	10	0.368088	
M_19_lakeerie_GC1.txt	13	0.370282	
M_19_lakeerie_GC1.txt	11	0.363791	
M_19_lakeerie_GC1.txt	10	0.350872	
M_19_lakeerie_GC1.txt	10	0.374607	
M_19_lakeerie_GC1.txt	10	0.367683	
M_19_lakeerie_GC1.txt	11	0.359909	
M_19_lakeerie_GC1.txt	10	0.377790	
M_19_lakeerie_GC1.txt	11	0.367710	
M_19_lakeerie_GC1.txt	12	0.356750	
M_19_lakeerie_GC1.txt	10	0.364967	
M_19_lakeerie_GC1.txt	11	0.353444	
M_19_lakeerie_GC1.txt	9	0.365030	
M_19_lakeerie_GC1.txt	12	0.352230	
M_19_lakeerie_GC1.txt	9	0.361136	
M_19_lakeerie_GC1.txt	12	0.355894	
M_19_lakeerie_GC1.txt	9	0.350130	
M_19_lakeerie_GC1.txt	12	0.362384	
M_19_lakeerie_GC1.txt	10	0.365748	
M_19_lakeerie_GC1.txt	11	0.353222	
M_19_lakeerie_GC1.txt	10	0.370996	
M_19_lakeerie_GC1.txt	11	0.348041	
M_19_lakeerie_GC1.txt	11	0.347491	
M_19_lakeerie_GC1.txt	10	0.366755	
M_19_lakeerie_GC1.txt	9	0.364238	
M_19_lakeerie_GC1.txt	11	0.355799	
