File	N.modules	Modularity
M_Herb_Coley2006_GC1.txt	9	0.641879	
M_Herb_Coley2006_GC1.txt	8	0.658580	
M_Herb_Coley2006_GC1.txt	7	0.545144	
M_Herb_Coley2006_GC1.txt	8	0.581314	
M_Herb_Coley2006_GC1.txt	8	0.560692	
M_Herb_Coley2006_GC1.txt	7	0.526472	
M_Herb_Coley2006_GC1.txt	11	0.695239	
M_Herb_Coley2006_GC1.txt	9	0.584667	
M_Herb_Coley2006_GC1.txt	8	0.617729	
M_Herb_Coley2006_GC1.txt	8	0.641490	
M_Herb_Coley2006_GC1.txt	7	0.584488	
M_Herb_Coley2006_GC1.txt	7	0.653061	
M_Herb_Coley2006_GC1.txt	8	0.628533	
M_Herb_Coley2006_GC1.txt	11	0.624578	
M_Herb_Coley2006_GC1.txt	8	0.566655	
M_Herb_Coley2006_GC1.txt	8	0.644694	
M_Herb_Coley2006_GC1.txt	11	0.570079	
M_Herb_Coley2006_GC1.txt	9	0.604318	
M_Herb_Coley2006_GC1.txt	9	0.636863	
M_Herb_Coley2006_GC1.txt	10	0.603395	
M_Herb_Coley2006_GC1.txt	9	0.564272	
M_Herb_Coley2006_GC1.txt	8	0.557258	
M_Herb_Coley2006_GC1.txt	9	0.540572	
M_Herb_Coley2006_GC1.txt	8	0.528982	
M_Herb_Coley2006_GC1.txt	9	0.579555	
M_Herb_Coley2006_GC1.txt	8	0.564494	
M_Herb_Coley2006_GC1.txt	8	0.592038	
M_Herb_Coley2006_GC1.txt	8	0.537952	
M_Herb_Coley2006_GC1.txt	7	0.603053	
M_Herb_Coley2006_GC1.txt	9	0.588287	
M_Herb_Coley2006_GC1.txt	9	0.583333	
M_Herb_Coley2006_GC1.txt	7	0.583121	
M_Herb_Coley2006_GC1.txt	11	0.655762	
M_Herb_Coley2006_GC1.txt	8	0.621020	
M_Herb_Coley2006_GC1.txt	9	0.582812	
M_Herb_Coley2006_GC1.txt	7	0.578822	
M_Herb_Coley2006_GC1.txt	9	0.567969	
M_Herb_Coley2006_GC1.txt	8	0.656122	
M_Herb_Coley2006_GC1.txt	7	0.595885	
M_Herb_Coley2006_GC1.txt	7	0.626429	
M_Herb_Coley2006_GC1.txt	7	0.545329	
M_Herb_Coley2006_GC1.txt	10	0.634191	
M_Herb_Coley2006_GC1.txt	8	0.595556	
M_Herb_Coley2006_GC1.txt	8	0.570035	
M_Herb_Coley2006_GC1.txt	7	0.597065	
M_Herb_Coley2006_GC1.txt	9	0.652033	
M_Herb_Coley2006_GC1.txt	9	0.584531	
M_Herb_Coley2006_GC1.txt	9	0.634388	
M_Herb_Coley2006_GC1.txt	7	0.630387	
M_Herb_Coley2006_GC1.txt	8	0.596065	
M_Herb_Coley2006_GC1.txt	10	0.694904	
M_Herb_Coley2006_GC1.txt	9	0.608978	
M_Herb_Coley2006_GC1.txt	9	0.653006	
M_Herb_Coley2006_GC1.txt	10	0.686851	
M_Herb_Coley2006_GC1.txt	7	0.565525	
M_Herb_Coley2006_GC1.txt	8	0.568984	
M_Herb_Coley2006_GC1.txt	9	0.652594	
M_Herb_Coley2006_GC1.txt	10	0.643457	
M_Herb_Coley2006_GC1.txt	9	0.554478	
M_Herb_Coley2006_GC1.txt	8	0.573689	
M_Herb_Coley2006_GC1.txt	7	0.545638	
M_Herb_Coley2006_GC1.txt	8	0.657449	
M_Herb_Coley2006_GC1.txt	8	0.562067	
M_Herb_Coley2006_GC1.txt	9	0.568178	
M_Herb_Coley2006_GC1.txt	7	0.550473	
M_Herb_Coley2006_GC1.txt	8	0.566875	
M_Herb_Coley2006_GC1.txt	9	0.597334	
M_Herb_Coley2006_GC1.txt	7	0.605367	
M_Herb_Coley2006_GC1.txt	8	0.564653	
M_Herb_Coley2006_GC1.txt	11	0.581867	
M_Herb_Coley2006_GC1.txt	9	0.675429	
M_Herb_Coley2006_GC1.txt	10	0.641462	
M_Herb_Coley2006_GC1.txt	7	0.562187	
M_Herb_Coley2006_GC1.txt	7	0.548651	
M_Herb_Coley2006_GC1.txt	7	0.606098	
M_Herb_Coley2006_GC1.txt	8	0.590401	
M_Herb_Coley2006_GC1.txt	8	0.541344	
M_Herb_Coley2006_GC1.txt	10	0.612178	
M_Herb_Coley2006_GC1.txt	8	0.533518	
M_Herb_Coley2006_GC1.txt	7	0.572579	
M_Herb_Coley2006_GC1.txt	8	0.597126	
M_Herb_Coley2006_GC1.txt	6	0.528651	
M_Herb_Coley2006_GC1.txt	7	0.651229	
M_Herb_Coley2006_GC1.txt	7	0.551765	
M_Herb_Coley2006_GC1.txt	9	0.638044	
M_Herb_Coley2006_GC1.txt	10	0.665405	
M_Herb_Coley2006_GC1.txt	9	0.528982	
M_Herb_Coley2006_GC1.txt	7	0.579104	
M_Herb_Coley2006_GC1.txt	9	0.524983	
M_Herb_Coley2006_GC1.txt	12	0.596644	
M_Herb_Coley2006_GC1.txt	7	0.610756	
M_Herb_Coley2006_GC1.txt	8	0.590461	
M_Herb_Coley2006_GC1.txt	8	0.636188	
M_Herb_Coley2006_GC1.txt	9	0.676882	
M_Herb_Coley2006_GC1.txt	9	0.584977	
M_Herb_Coley2006_GC1.txt	10	0.665549	
M_Herb_Coley2006_GC1.txt	7	0.522743	
M_Herb_Coley2006_GC1.txt	8	0.552548	
M_Herb_Coley2006_GC1.txt	8	0.575773	
M_Herb_Coley2006_GC1.txt	8	0.602060	
M_Herb_Coley2006_GC1.txt	8	0.498642	
M_Herb_Coley2006_GC1.txt	9	0.576831	
M_Herb_Coley2006_GC1.txt	9	0.597608	
M_Herb_Coley2006_GC1.txt	6	0.575991	
M_Herb_Coley2006_GC1.txt	9	0.662653	
M_Herb_Coley2006_GC1.txt	9	0.604089	
M_Herb_Coley2006_GC1.txt	9	0.603057	
M_Herb_Coley2006_GC1.txt	9	0.611063	
M_Herb_Coley2006_GC1.txt	9	0.572245	
M_Herb_Coley2006_GC1.txt	8	0.532897	
M_Herb_Coley2006_GC1.txt	9	0.664144	
M_Herb_Coley2006_GC1.txt	7	0.469444	
M_Herb_Coley2006_GC1.txt	8	0.619613	
M_Herb_Coley2006_GC1.txt	9	0.675429	
M_Herb_Coley2006_GC1.txt	9	0.609678	
M_Herb_Coley2006_GC1.txt	8	0.630015	
M_Herb_Coley2006_GC1.txt	8	0.657112	
M_Herb_Coley2006_GC1.txt	8	0.589813	
M_Herb_Coley2006_GC1.txt	9	0.592293	
M_Herb_Coley2006_GC1.txt	9	0.628472	
M_Herb_Coley2006_GC1.txt	9	0.561048	
M_Herb_Coley2006_GC1.txt	7	0.610222	
M_Herb_Coley2006_GC1.txt	7	0.650494	
M_Herb_Coley2006_GC1.txt	10	0.633878	
M_Herb_Coley2006_GC1.txt	8	0.625091	
M_Herb_Coley2006_GC1.txt	8	0.557894	
M_Herb_Coley2006_GC1.txt	8	0.605161	
M_Herb_Coley2006_GC1.txt	9	0.626929	
M_Herb_Coley2006_GC1.txt	11	0.621613	
M_Herb_Coley2006_GC1.txt	10	0.723194	
M_Herb_Coley2006_GC1.txt	10	0.604241	
M_Herb_Coley2006_GC1.txt	9	0.510635	
M_Herb_Coley2006_GC1.txt	9	0.654379	
M_Herb_Coley2006_GC1.txt	8	0.622299	
M_Herb_Coley2006_GC1.txt	7	0.627822	
M_Herb_Coley2006_GC1.txt	9	0.582476	
M_Herb_Coley2006_GC1.txt	10	0.605273	
M_Herb_Coley2006_GC1.txt	9	0.568178	
M_Herb_Coley2006_GC1.txt	8	0.679178	
M_Herb_Coley2006_GC1.txt	10	0.661951	
M_Herb_Coley2006_GC1.txt	9	0.668166	
M_Herb_Coley2006_GC1.txt	10	0.604456	
M_Herb_Coley2006_GC1.txt	9	0.618882	
M_Herb_Coley2006_GC1.txt	8	0.598437	
M_Herb_Coley2006_GC1.txt	10	0.674242	
M_Herb_Coley2006_GC1.txt	6	0.514571	
M_Herb_Coley2006_GC1.txt	8	0.713013	
M_Herb_Coley2006_GC1.txt	9	0.529721	
M_Herb_Coley2006_GC1.txt	11	0.618330	
M_Herb_Coley2006_GC1.txt	9	0.529896	
M_Herb_Coley2006_GC1.txt	8	0.648897	
M_Herb_Coley2006_GC1.txt	10	0.654628	
M_Herb_Coley2006_GC1.txt	8	0.574249	
M_Herb_Coley2006_GC1.txt	9	0.679867	
M_Herb_Coley2006_GC1.txt	9	0.638163	
M_Herb_Coley2006_GC1.txt	7	0.560950	
M_Herb_Coley2006_GC1.txt	7	0.506828	
M_Herb_Coley2006_GC1.txt	9	0.626833	
M_Herb_Coley2006_GC1.txt	8	0.614562	
M_Herb_Coley2006_GC1.txt	8	0.608047	
M_Herb_Coley2006_GC1.txt	11	0.637156	
M_Herb_Coley2006_GC1.txt	8	0.549916	
M_Herb_Coley2006_GC1.txt	10	0.590114	
M_Herb_Coley2006_GC1.txt	7	0.552593	
M_Herb_Coley2006_GC1.txt	9	0.617787	
M_Herb_Coley2006_GC1.txt	8	0.542871	
M_Herb_Coley2006_GC1.txt	7	0.566852	
M_Herb_Coley2006_GC1.txt	12	0.619213	
M_Herb_Coley2006_GC1.txt	8	0.558198	
M_Herb_Coley2006_GC1.txt	9	0.551314	
M_Herb_Coley2006_GC1.txt	9	0.617330	
M_Herb_Coley2006_GC1.txt	7	0.551142	
M_Herb_Coley2006_GC1.txt	9	0.625821	
M_Herb_Coley2006_GC1.txt	9	0.608000	
M_Herb_Coley2006_GC1.txt	9	0.573882	
M_Herb_Coley2006_GC1.txt	6	0.504951	
M_Herb_Coley2006_GC1.txt	7	0.546306	
M_Herb_Coley2006_GC1.txt	8	0.596318	
M_Herb_Coley2006_GC1.txt	9	0.578032	
M_Herb_Coley2006_GC1.txt	8	0.579380	
M_Herb_Coley2006_GC1.txt	8	0.488207	
M_Herb_Coley2006_GC1.txt	7	0.546770	
M_Herb_Coley2006_GC1.txt	8	0.648183	
M_Herb_Coley2006_GC1.txt	9	0.711640	
M_Herb_Coley2006_GC1.txt	8	0.682367	
M_Herb_Coley2006_GC1.txt	7	0.510102	
M_Herb_Coley2006_GC1.txt	9	0.672653	
