File	N.modules	Modularity
M_Herb_Futuyma1979_GC1.txt	5	0.168411	
M_Herb_Futuyma1979_GC1.txt	4	0.146308	
M_Herb_Futuyma1979_GC1.txt	5	0.156774	
M_Herb_Futuyma1979_GC1.txt	3	0.157019	
M_Herb_Futuyma1979_GC1.txt	5	0.152771	
M_Herb_Futuyma1979_GC1.txt	4	0.152343	
M_Herb_Futuyma1979_GC1.txt	4	0.154392	
M_Herb_Futuyma1979_GC1.txt	5	0.169619	
M_Herb_Futuyma1979_GC1.txt	4	0.166970	
M_Herb_Futuyma1979_GC1.txt	5	0.164311	
M_Herb_Futuyma1979_GC1.txt	4	0.153850	
M_Herb_Futuyma1979_GC1.txt	5	0.146656	
M_Herb_Futuyma1979_GC1.txt	5	0.154289	
M_Herb_Futuyma1979_GC1.txt	4	0.151100	
M_Herb_Futuyma1979_GC1.txt	4	0.144450	
M_Herb_Futuyma1979_GC1.txt	4	0.158626	
M_Herb_Futuyma1979_GC1.txt	4	0.164006	
M_Herb_Futuyma1979_GC1.txt	5	0.151404	
M_Herb_Futuyma1979_GC1.txt	5	0.153357	
M_Herb_Futuyma1979_GC1.txt	6	0.164643	
M_Herb_Futuyma1979_GC1.txt	4	0.156010	
M_Herb_Futuyma1979_GC1.txt	4	0.148041	
M_Herb_Futuyma1979_GC1.txt	5	0.157963	
M_Herb_Futuyma1979_GC1.txt	5	0.156549	
M_Herb_Futuyma1979_GC1.txt	4	0.143819	
M_Herb_Futuyma1979_GC1.txt	4	0.152519	
M_Herb_Futuyma1979_GC1.txt	4	0.165132	
M_Herb_Futuyma1979_GC1.txt	5	0.150421	
M_Herb_Futuyma1979_GC1.txt	4	0.157212	
M_Herb_Futuyma1979_GC1.txt	5	0.178491	
M_Herb_Futuyma1979_GC1.txt	5	0.150406	
M_Herb_Futuyma1979_GC1.txt	5	0.160014	
M_Herb_Futuyma1979_GC1.txt	5	0.154057	
M_Herb_Futuyma1979_GC1.txt	3	0.160075	
M_Herb_Futuyma1979_GC1.txt	5	0.158602	
M_Herb_Futuyma1979_GC1.txt	4	0.159919	
M_Herb_Futuyma1979_GC1.txt	3	0.165264	
M_Herb_Futuyma1979_GC1.txt	5	0.158058	
M_Herb_Futuyma1979_GC1.txt	4	0.158426	
M_Herb_Futuyma1979_GC1.txt	5	0.138834	
M_Herb_Futuyma1979_GC1.txt	4	0.179062	
M_Herb_Futuyma1979_GC1.txt	4	0.152446	
M_Herb_Futuyma1979_GC1.txt	4	0.166436	
M_Herb_Futuyma1979_GC1.txt	5	0.160444	
M_Herb_Futuyma1979_GC1.txt	5	0.177086	
M_Herb_Futuyma1979_GC1.txt	4	0.158694	
M_Herb_Futuyma1979_GC1.txt	4	0.152007	
M_Herb_Futuyma1979_GC1.txt	5	0.142571	
M_Herb_Futuyma1979_GC1.txt	4	0.170537	
M_Herb_Futuyma1979_GC1.txt	5	0.150514	
M_Herb_Futuyma1979_GC1.txt	5	0.145015	
M_Herb_Futuyma1979_GC1.txt	4	0.151878	
M_Herb_Futuyma1979_GC1.txt	4	0.163250	
M_Herb_Futuyma1979_GC1.txt	4	0.148296	
M_Herb_Futuyma1979_GC1.txt	4	0.160801	
M_Herb_Futuyma1979_GC1.txt	4	0.166114	
M_Herb_Futuyma1979_GC1.txt	5	0.147869	
M_Herb_Futuyma1979_GC1.txt	4	0.153445	
M_Herb_Futuyma1979_GC1.txt	5	0.165790	
M_Herb_Futuyma1979_GC1.txt	4	0.175075	
M_Herb_Futuyma1979_GC1.txt	4	0.161064	
M_Herb_Futuyma1979_GC1.txt	5	0.158808	
M_Herb_Futuyma1979_GC1.txt	4	0.155231	
M_Herb_Futuyma1979_GC1.txt	5	0.177954	
M_Herb_Futuyma1979_GC1.txt	5	0.161241	
M_Herb_Futuyma1979_GC1.txt	4	0.161931	
M_Herb_Futuyma1979_GC1.txt	4	0.159256	
M_Herb_Futuyma1979_GC1.txt	4	0.157559	
M_Herb_Futuyma1979_GC1.txt	4	0.157024	
M_Herb_Futuyma1979_GC1.txt	4	0.161030	
M_Herb_Futuyma1979_GC1.txt	4	0.153506	
M_Herb_Futuyma1979_GC1.txt	5	0.153596	
M_Herb_Futuyma1979_GC1.txt	3	0.153258	
M_Herb_Futuyma1979_GC1.txt	3	0.159107	
M_Herb_Futuyma1979_GC1.txt	4	0.154183	
M_Herb_Futuyma1979_GC1.txt	4	0.161229	
M_Herb_Futuyma1979_GC1.txt	5	0.165903	
M_Herb_Futuyma1979_GC1.txt	4	0.162468	
M_Herb_Futuyma1979_GC1.txt	4	0.158491	
M_Herb_Futuyma1979_GC1.txt	5	0.151353	
M_Herb_Futuyma1979_GC1.txt	5	0.151094	
M_Herb_Futuyma1979_GC1.txt	4	0.174752	
M_Herb_Futuyma1979_GC1.txt	5	0.158630	
M_Herb_Futuyma1979_GC1.txt	6	0.131426	
M_Herb_Futuyma1979_GC1.txt	5	0.156666	
M_Herb_Futuyma1979_GC1.txt	4	0.161234	
M_Herb_Futuyma1979_GC1.txt	5	0.144392	
M_Herb_Futuyma1979_GC1.txt	5	0.146661	
M_Herb_Futuyma1979_GC1.txt	4	0.142813	
M_Herb_Futuyma1979_GC1.txt	5	0.146893	
M_Herb_Futuyma1979_GC1.txt	5	0.158020	
M_Herb_Futuyma1979_GC1.txt	4	0.147475	
M_Herb_Futuyma1979_GC1.txt	4	0.164270	
M_Herb_Futuyma1979_GC1.txt	5	0.148269	
M_Herb_Futuyma1979_GC1.txt	5	0.150189	
M_Herb_Futuyma1979_GC1.txt	5	0.158789	
M_Herb_Futuyma1979_GC1.txt	4	0.157463	
M_Herb_Futuyma1979_GC1.txt	6	0.156634	
M_Herb_Futuyma1979_GC1.txt	5	0.165333	
M_Herb_Futuyma1979_GC1.txt	4	0.152368	
M_Herb_Futuyma1979_GC1.txt	4	0.172031	
M_Herb_Futuyma1979_GC1.txt	4	0.166098	
M_Herb_Futuyma1979_GC1.txt	4	0.146587	
M_Herb_Futuyma1979_GC1.txt	4	0.166199	
M_Herb_Futuyma1979_GC1.txt	4	0.156035	
M_Herb_Futuyma1979_GC1.txt	6	0.159241	
M_Herb_Futuyma1979_GC1.txt	4	0.144584	
M_Herb_Futuyma1979_GC1.txt	5	0.136243	
M_Herb_Futuyma1979_GC1.txt	4	0.154131	
M_Herb_Futuyma1979_GC1.txt	4	0.143850	
M_Herb_Futuyma1979_GC1.txt	4	0.159353	
M_Herb_Futuyma1979_GC1.txt	4	0.156564	
M_Herb_Futuyma1979_GC1.txt	6	0.150253	
M_Herb_Futuyma1979_GC1.txt	5	0.156217	
M_Herb_Futuyma1979_GC1.txt	5	0.151560	
M_Herb_Futuyma1979_GC1.txt	5	0.143449	
M_Herb_Futuyma1979_GC1.txt	5	0.146763	
M_Herb_Futuyma1979_GC1.txt	4	0.168473	
M_Herb_Futuyma1979_GC1.txt	4	0.155206	
M_Herb_Futuyma1979_GC1.txt	6	0.168224	
M_Herb_Futuyma1979_GC1.txt	5	0.146495	
M_Herb_Futuyma1979_GC1.txt	5	0.156850	
M_Herb_Futuyma1979_GC1.txt	4	0.164010	
