File	N.modules	Modularity
M_M_PL_003_GC1.txt	8	0.595003	
M_M_PL_003_GC1.txt	9	0.558177	
M_M_PL_003_GC1.txt	7	0.530796	
M_M_PL_003_GC1.txt	7	0.472650	
M_M_PL_003_GC1.txt	6	0.481228	
M_M_PL_003_GC1.txt	8	0.496667	
M_M_PL_003_GC1.txt	8	0.573281	
M_M_PL_003_GC1.txt	6	0.532368	
M_M_PL_003_GC1.txt	8	0.577225	
M_M_PL_003_GC1.txt	9	0.622975	
M_M_PL_003_GC1.txt	10	0.551904	
M_M_PL_003_GC1.txt	7	0.526424	
M_M_PL_003_GC1.txt	7	0.544744	
M_M_PL_003_GC1.txt	9	0.489928	
M_M_PL_003_GC1.txt	9	0.594489	
M_M_PL_003_GC1.txt	7	0.589563	
M_M_PL_003_GC1.txt	8	0.498439	
M_M_PL_003_GC1.txt	7	0.509038	
M_M_PL_003_GC1.txt	10	0.652893	
M_M_PL_003_GC1.txt	10	0.524429	
M_M_PL_003_GC1.txt	7	0.541384	
M_M_PL_003_GC1.txt	7	0.564089	
M_M_PL_003_GC1.txt	9	0.522422	
M_M_PL_003_GC1.txt	8	0.495623	
M_M_PL_003_GC1.txt	7	0.573203	
M_M_PL_003_GC1.txt	7	0.527671	
M_M_PL_003_GC1.txt	6	0.483450	
M_M_PL_003_GC1.txt	7	0.490194	
M_M_PL_003_GC1.txt	11	0.585745	
M_M_PL_003_GC1.txt	7	0.508979	
M_M_PL_003_GC1.txt	9	0.468860	
M_M_PL_003_GC1.txt	7	0.588359	
M_M_PL_003_GC1.txt	5	0.570224	
M_M_PL_003_GC1.txt	9	0.602839	
M_M_PL_003_GC1.txt	7	0.539005	
M_M_PL_003_GC1.txt	8	0.645510	
M_M_PL_003_GC1.txt	7	0.511299	
M_M_PL_003_GC1.txt	8	0.576953	
M_M_PL_003_GC1.txt	6	0.549513	
M_M_PL_003_GC1.txt	7	0.522724	
M_M_PL_003_GC1.txt	8	0.539239	
M_M_PL_003_GC1.txt	8	0.532516	
M_M_PL_003_GC1.txt	7	0.510783	
M_M_PL_003_GC1.txt	8	0.562854	
M_M_PL_003_GC1.txt	7	0.546173	
M_M_PL_003_GC1.txt	8	0.596222	
M_M_PL_003_GC1.txt	7	0.517268	
M_M_PL_003_GC1.txt	8	0.510397	
M_M_PL_003_GC1.txt	7	0.518660	
M_M_PL_003_GC1.txt	7	0.513780	
M_M_PL_003_GC1.txt	7	0.502407	
M_M_PL_003_GC1.txt	7	0.510768	
M_M_PL_003_GC1.txt	8	0.546574	
M_M_PL_003_GC1.txt	9	0.522141	
M_M_PL_003_GC1.txt	8	0.558499	
M_M_PL_003_GC1.txt	6	0.548120	
M_M_PL_003_GC1.txt	7	0.566928	
M_M_PL_003_GC1.txt	8	0.457049	
M_M_PL_003_GC1.txt	9	0.635161	
M_M_PL_003_GC1.txt	8	0.553041	
M_M_PL_003_GC1.txt	9	0.519198	
M_M_PL_003_GC1.txt	8	0.557993	
M_M_PL_003_GC1.txt	6	0.501908	
M_M_PL_003_GC1.txt	9	0.545115	
M_M_PL_003_GC1.txt	10	0.565171	
M_M_PL_003_GC1.txt	8	0.498927	
M_M_PL_003_GC1.txt	7	0.501718	
M_M_PL_003_GC1.txt	7	0.541730	
M_M_PL_003_GC1.txt	8	0.510290	
M_M_PL_003_GC1.txt	8	0.509850	
M_M_PL_003_GC1.txt	7	0.542103	
M_M_PL_003_GC1.txt	7	0.526256	
M_M_PL_003_GC1.txt	7	0.516476	
M_M_PL_003_GC1.txt	5	0.522352	
M_M_PL_003_GC1.txt	8	0.589250	
M_M_PL_003_GC1.txt	7	0.525370	
M_M_PL_003_GC1.txt	8	0.518298	
M_M_PL_003_GC1.txt	7	0.484375	
M_M_PL_003_GC1.txt	6	0.517442	
M_M_PL_003_GC1.txt	6	0.525961	
M_M_PL_003_GC1.txt	7	0.513961	
M_M_PL_003_GC1.txt	7	0.508030	
