File	N.modules	Modularity
M_M_SD_023_GC1.txt	4	0.289966	
M_M_SD_023_GC1.txt	5	0.251354	
M_M_SD_023_GC1.txt	5	0.410927	
M_M_SD_023_GC1.txt	3	0.285431	
M_M_SD_023_GC1.txt	5	0.330449	
M_M_SD_023_GC1.txt	4	0.345914	
M_M_SD_023_GC1.txt	5	0.322813	
M_M_SD_023_GC1.txt	5	0.258523	
M_M_SD_023_GC1.txt	5	0.329640	
M_M_SD_023_GC1.txt	4	0.302104	
M_M_SD_023_GC1.txt	4	0.356834	
M_M_SD_023_GC1.txt	5	0.315760	
M_M_SD_023_GC1.txt	5	0.301304	
M_M_SD_023_GC1.txt	4	0.319453	
M_M_SD_023_GC1.txt	5	0.274093	
M_M_SD_023_GC1.txt	5	0.299169	
M_M_SD_023_GC1.txt	3	0.251770	
M_M_SD_023_GC1.txt	5	0.358796	
M_M_SD_023_GC1.txt	4	0.291383	
M_M_SD_023_GC1.txt	3	0.333423	
M_M_SD_023_GC1.txt	5	0.263951	
M_M_SD_023_GC1.txt	3	0.277893	
M_M_SD_023_GC1.txt	5	0.376691	
M_M_SD_023_GC1.txt	4	0.281767	
M_M_SD_023_GC1.txt	3	0.376735	
M_M_SD_023_GC1.txt	5	0.264738	
M_M_SD_023_GC1.txt	4	0.317817	
M_M_SD_023_GC1.txt	4	0.291205	
M_M_SD_023_GC1.txt	5	0.421956	
M_M_SD_023_GC1.txt	4	0.305055	
M_M_SD_023_GC1.txt	4	0.327087	
M_M_SD_023_GC1.txt	3	0.318594	
M_M_SD_023_GC1.txt	4	0.348784	
M_M_SD_023_GC1.txt	5	0.283462	
M_M_SD_023_GC1.txt	3	0.398148	
M_M_SD_023_GC1.txt	5	0.292980	
M_M_SD_023_GC1.txt	4	0.299375	
M_M_SD_023_GC1.txt	4	0.295713	
M_M_SD_023_GC1.txt	4	0.325115	
M_M_SD_023_GC1.txt	4	0.263115	
M_M_SD_023_GC1.txt	4	0.343837	
M_M_SD_023_GC1.txt	4	0.329717	
M_M_SD_023_GC1.txt	3	0.246600	
M_M_SD_023_GC1.txt	4	0.261883	
M_M_SD_023_GC1.txt	4	0.349441	
M_M_SD_023_GC1.txt	5	0.291791	
M_M_SD_023_GC1.txt	5	0.311637	
M_M_SD_023_GC1.txt	4	0.292813	
M_M_SD_023_GC1.txt	4	0.285423	
M_M_SD_023_GC1.txt	3	0.323959	
M_M_SD_023_GC1.txt	4	0.398438	
M_M_SD_023_GC1.txt	3	0.259753	
M_M_SD_023_GC1.txt	4	0.222607	
M_M_SD_023_GC1.txt	3	0.233173	
M_M_SD_023_GC1.txt	4	0.337370	
M_M_SD_023_GC1.txt	4	0.303419	
M_M_SD_023_GC1.txt	5	0.352158	
