File	N.modules	Modularity
M_sullivan_GC1.txt	5	0.327758	
M_sullivan_GC1.txt	7	0.363329	
M_sullivan_GC1.txt	5	0.340476	
M_sullivan_GC1.txt	6	0.309110	
M_sullivan_GC1.txt	6	0.346778	
M_sullivan_GC1.txt	6	0.335555	
M_sullivan_GC1.txt	7	0.370724	
M_sullivan_GC1.txt	6	0.352438	
M_sullivan_GC1.txt	5	0.310104	
M_sullivan_GC1.txt	6	0.328547	
M_sullivan_GC1.txt	5	0.312250	
M_sullivan_GC1.txt	7	0.329077	
M_sullivan_GC1.txt	6	0.351986	
M_sullivan_GC1.txt	5	0.368699	
M_sullivan_GC1.txt	6	0.342069	
M_sullivan_GC1.txt	6	0.320862	
M_sullivan_GC1.txt	6	0.358242	
M_sullivan_GC1.txt	6	0.315638	
M_sullivan_GC1.txt	5	0.333260	
M_sullivan_GC1.txt	6	0.292237	
M_sullivan_GC1.txt	5	0.380325	
M_sullivan_GC1.txt	6	0.317689	
M_sullivan_GC1.txt	6	0.325651	
M_sullivan_GC1.txt	6	0.358181	
M_sullivan_GC1.txt	7	0.337071	
M_sullivan_GC1.txt	6	0.336024	
M_sullivan_GC1.txt	5	0.367711	
M_sullivan_GC1.txt	5	0.326787	
M_sullivan_GC1.txt	6	0.323349	
M_sullivan_GC1.txt	7	0.352875	
M_sullivan_GC1.txt	6	0.357584	
M_sullivan_GC1.txt	6	0.340664	
M_sullivan_GC1.txt	6	0.342024	
M_sullivan_GC1.txt	6	0.372929	
M_sullivan_GC1.txt	7	0.321611	
M_sullivan_GC1.txt	5	0.319758	
M_sullivan_GC1.txt	5	0.315395	
M_sullivan_GC1.txt	7	0.324622	
M_sullivan_GC1.txt	4	0.347930	
M_sullivan_GC1.txt	7	0.363631	
M_sullivan_GC1.txt	6	0.345531	
M_sullivan_GC1.txt	6	0.353157	
M_sullivan_GC1.txt	6	0.343723	
M_sullivan_GC1.txt	6	0.307843	
M_sullivan_GC1.txt	6	0.291446	
M_sullivan_GC1.txt	6	0.338123	
M_sullivan_GC1.txt	7	0.319514	
M_sullivan_GC1.txt	6	0.328958	
M_sullivan_GC1.txt	6	0.310671	
M_sullivan_GC1.txt	5	0.335386	
M_sullivan_GC1.txt	7	0.342229	
M_sullivan_GC1.txt	6	0.347724	
M_sullivan_GC1.txt	6	0.312771	
M_sullivan_GC1.txt	6	0.354894	
M_sullivan_GC1.txt	6	0.332332	
M_sullivan_GC1.txt	5	0.341629	
M_sullivan_GC1.txt	5	0.309453	
