Node	Module
R1	1
C1	4
C2	4
C3	4
C4	1
C5	1
C6	1
C7	1
C8	3
C9	1
C11	3
C12	2
C13	2
C17	1
C18	1
C19	1
C20	1
C21	3
C24	1
C27	1
C32	1
C37	1
C69	1
C73	1
R2	5
C14	2
C23	2
C26	3
C29	3
C34	2
C40	3
C53	5
C74	5
C75	5
C77	5
C82	5
C90	5
C92	5
R3	2
C10	2
C15	2
C16	3
C22	2
C33	2
C38	2
C39	3
C45	2
C46	2
C48	2
C49	2
C52	2
C56	2
C61	2
C64	2
R4	1
C60	1
C83	1
C93	1
R5	1
R6	3
C30	3
C35	3
C36	3
C42	3
C44	3
R7	1
R8	2
C50	2
C54	2
C63	2
C65	2
C76	2
C89	2
R9	2
C31	2
C41	2
C51	2
C62	2
C66	2
C85	2
C86	2
C88	2
R10	1
C70	1
C71	1
C72	1
R11	3
R12	0
C55	0
C57	0
C67	0
C79	0
C81	0
C94	0
R13	3
C68	3
C95	3
R14	3
R15	1
C58	1
R16	1
R17	2
C43	2
C91	2
R18	1
R19	2
C59	2
C84	2
C87	2
R20	1
R21	2
C25	4
C28	4
R22	2
C47	4
C78	2
R23	4
R24	1
R25	3
R26	2
R27	1
R28	4
R29	1
R30	3
R31	2
R32	4
R33	2
R34	2
C80	2
R35	2
R36	4
R37	4
R38	4
R39	2
R40	4
R41	1
R42	1
R43	4
R44	2
R45	4
R46	4
R47	3
R48	2
R49	4
R50	2
R51	4
R52	2
