Node	Module
R1	3
C1	7
C2	7
C3	7
C5	8
C8	3
C10	3
C13	3
C20	3
C25	3
C41	3
C56	3
C57	3
C61	3
C80	3
C112	3
C128	3
C131	3
C133	3
C183	3
C189	3
R2	2
C4	7
C11	2
C17	2
C24	2
C34	2
C37	7
C75	2
C126	2
C149	2
C168	2
C169	2
C174	2
C190	2
C192	2
R3	2
C14	2
C16	2
C22	2
C32	2
C44	6
C65	2
C71	2
C72	2
C120	2
C161	2
C191	2
R4	8
C6	6
C7	8
C12	8
C23	8
C26	8
C27	8
C39	8
C48	8
C74	8
C142	8
C143	8
C147	8
C166	8
R5	3
C42	3
C54	4
C55	3
C82	3
C87	3
C95	3
C103	3
C141	3
C180	3
C182	3
R6	3
C40	3
C45	3
C47	2
C50	4
C85	3
C97	3
C125	3
C136	3
C140	3
C179	3
C185	3
R7	2
C9	0
C43	2
C69	2
C101	2
C165	2
C188	2
R8	3
C59	3
C81	6
C111	3
C114	3
R9	8
C15	8
C21	8
C62	8
C67	8
C78	8
C79	8
C94	8
C117	8
C130	8
C155	8
C157	8
R10	2
C83	2
C91	2
C104	2
C164	2
R11	8
C49	8
C51	8
C58	8
C60	8
C90	8
C124	8
R12	8
C96	8
C132	8
C152	8
C153	8
R13	1
C18	8
C129	1
C144	1
C145	1
C146	1
C148	1
C150	1
C158	1
C171	1
C193	1
R14	0
C19	0
C28	0
C29	0
C30	0
C31	0
C68	0
C194	0
C195	0
C196	0
R15	4
C86	4
C116	4
C127	4
C154	4
C156	4
C176	4
R16	6
C53	6
C107	6
C123	6
C138	6
R17	7
C73	7
C110	7
C167	7
R18	8
R19	8
C93	8
C105	8
R20	7
C33	7
C35	7
C70	7
C162	7
R21	6
C77	6
C98	6
C121	6
C187	6
R22	0
C118	0
C160	0
R23	8
C66	5
C172	8
C186	8
R24	6
C46	6
C108	6
R25	7
R26	7
C163	7
R27	7
C178	7
C181	7
R28	2
R29	3
C89	3
C92	3
R30	0
R31	7
C99	7
C106	7
C109	7
R32	7
C36	7
C173	7
R33	7
C84	7
R34	2
C184	2
R35	2
R36	3
R37	5
C52	5
C63	5
C64	5
C134	5
C137	5
C159	5
R38	4
C102	4
C119	4
C122	4
C135	4
R39	7
R40	7
R41	7
R42	7
R43	6
R44	8
R45	8
R46	7
R47	8
C38	8
R48	8
R49	7
C76	7
R50	7
R51	7
C113	7
C175	7
R52	5
R53	7
C139	7
R54	7
R55	4
C88	4
C100	4
C115	4
R56	8
R57	3
C170	3
R58	7
C151	7
R59	7
C177	7
R60	8
R61	7
R62	7
R63	7
R64	8
R65	7
R66	7
R67	7
R68	3
