Node	Module
R1	4
C1	1
C2	7
C3	7
C4	4
C5	4
C6	7
C7	1
C8	7
C12	5
C13	1
C14	0
C17	1
C20	8
C21	4
C23	4
C25	3
C27	4
C30	4
C33	4
C35	4
C38	4
C42	4
C43	7
C48	1
C50	3
C54	4
C56	8
C60	4
C61	4
C66	4
C74	6
C78	0
C83	8
C87	8
C92	4
C93	4
C98	3
C100	8
C102	4
C109	6
C112	6
C114	4
C116	4
C120	7
C129	4
C139	2
C141	6
C142	8
C143	2
C144	4
C148	4
C149	5
C152	4
C171	4
C172	4
C188	4
C199	4
C229	4
C233	4
C262	4
C282	4
C283	4
C290	4
C301	4
R2	6
C11	1
C15	5
C22	5
C26	5
C31	6
C34	1
C39	3
C41	1
C47	5
C51	8
C52	5
C57	6
C64	1
C76	6
C81	6
C82	6
C91	6
C118	6
C122	6
C133	6
C134	6
C135	6
C138	2
C140	6
C146	5
C157	6
C167	6
C170	6
C184	6
C192	6
C201	6
C210	6
C212	6
C216	6
C224	6
C225	6
C237	6
C238	6
C241	6
C242	6
C244	6
C245	6
C246	6
C248	6
C249	6
C250	6
C251	6
C252	6
C255	6
C272	6
C274	6
C288	6
C293	6
C294	6
C297	6
R3	1
C9	1
C16	1
C36	4
C72	1
C73	2
C137	1
R4	1
C18	5
C63	1
C68	2
C101	2
C190	1
C260	1
R5	5
C40	5
C45	5
C75	5
C79	5
C80	5
C115	0
C127	5
C168	5
C175	5
C183	5
C198	5
C206	5
C211	5
C215	5
C268	5
C277	5
C279	5
C303	5
R6	3
C10	3
C19	7
C28	7
C37	3
C53	8
C71	3
C86	3
C99	3
C179	3
C205	3
C221	3
R7	1
C94	1
C123	1
C227	1
R8	4
C55	4
C77	8
C131	7
C162	4
R9	8
C24	3
C96	8
C103	8
C104	8
C106	8
C108	8
C169	8
C173	8
C220	8
C223	8
C228	8
C264	8
C265	8
C266	8
C278	8
R10	1
C32	1
C59	3
C90	1
C156	1
C186	1
C204	1
C259	1
R11	1
C67	0
C177	1
C275	1
R12	8
C49	8
C121	8
C128	8
C130	8
C213	8
C230	8
C253	8
R13	1
C88	1
C111	1
C263	1
R14	5
C62	5
C105	5
C214	5
C217	5
C232	5
C247	5
C256	5
R15	1
C58	1
C69	2
C145	1
C181	1
C200	1
C299	1
C302	1
R16	7
C70	7
C107	7
C285	7
R17	4
C44	4
C258	4
R18	1
C126	3
C161	1
C182	1
C196	1
C295	1
R19	6
C113	6
C270	6
C286	6
C292	6
R20	5
C29	5
C65	5
C185	5
C284	5
R21	7
C307	7
R22	1
C151	1
C195	1
C226	1
C231	1
C276	1
C305	1
R23	1
C150	0
R24	2
C46	2
C234	2
C240	2
C269	2
R25	7
C89	7
C117	7
C155	7
C159	7
C273	7
C281	7
C298	7
R26	7
C296	7
R27	3
C97	3
R28	0
C174	0
C194	0
C254	0
R29	5
C85	5
R30	4
C158	4
C164	4
C176	4
R31	1
C160	1
R32	7
C207	7
R33	7
C280	7
R34	7
C261	7
C300	7
R35	1
R36	8
C178	8
C197	8
R37	3
C84	3
C95	3
R38	3
R39	3
C222	3
C236	3
C243	3
C304	3
R40	3
C208	3
R41	8
R42	1
C110	1
C218	1
R43	0
C219	0
C289	0
R44	4
R45	7
C191	7
R46	2
C153	2
C154	2
C163	2
C203	2
R47	7
R48	4
C235	4
R49	4
R50	0
C119	0
C132	0
C267	0
R51	1
R52	2
C125	2
C209	2
C271	2
R53	4
R54	7
R55	3
R56	2
C193	2
R57	3
C166	3
R58	1
R59	1
C136	1
C187	1
R60	7
R61	0
C147	0
C180	0
R62	1
R63	1
R64	5
R65	7
R66	7
C202	7
R67	1
R68	8
C291	8
C306	8
R69	7
R70	6
C165	6
C239	6
C287	6
R71	1
R72	1
R73	1
C189	1
R74	7
R75	7
R76	0
R77	0
C308	0
R78	1
R79	0
R80	7
R81	7
R82	7
R83	3
C257	3
R84	6
C124	6
R85	0
R86	5
R87	7
R88	7
R89	8
R90	3
R91	0
R92	0
R93	6
R94	7
R95	1
R96	4
R97	5
R98	5
R99	3
R100	1
R101	3
R102	1
R103	3
R104	1
R105	1
R106	3
