Node	Module
R1	3
C1	4
C2	5
C3	4
C4	5
C5	3
C6	0
C7	1
C8	4
C9	4
C10	5
C11	4
C13	4
C14	4
C15	5
C16	5
C17	5
C18	4
C19	3
C21	5
C22	5
C24	3
C25	3
C26	4
C27	3
C28	3
C29	3
C30	3
C33	3
C36	4
C37	3
C38	1
C39	5
C41	3
C42	3
C45	3
C48	3
C54	4
C62	3
C67	3
C68	2
C71	3
C83	3
C85	3
C86	3
C87	3
R2	3
C12	5
C20	5
C35	3
C55	3
C58	0
R3	3
C47	0
C50	3
R4	3
C23	1
C31	4
C57	3
C65	3
C73	5
R5	5
C69	5
C74	5
R6	5
C52	5
R7	5
R8	5
C44	5
R9	5
R10	5
R11	0
C61	0
C76	0
C81	0
R12	4
C46	1
R13	4
C70	4
R14	0
C34	4
C40	0
C43	0
C75	0
R15	4
C51	0
C66	4
R16	2
C56	2
C60	2
C64	2
C77	2
C82	2
C84	2
R17	0
C32	0
C88	0
R18	4
R19	4
R20	4
C49	1
R21	3
C80	3
R22	4
R23	4
R24	4
C53	4
C78	4
C79	4
R25	4
R26	4
R27	5
R28	0
R29	1
C59	1
C72	1
R30	1
R31	1
C63	1
R32	1
R33	2
