"Sp"	"MDim"
"Psettodes_erumei"	1
"Sardinella_fimbriata"	1
"Eusphyra_blochii"	1
"Chirocentrus_nudus"	1
"Harpadon_neherius"	1
"Pampus_argenteus"	1
"Parastromateus_niger"	1
"Scomberomorus_guttatus"	1
"Solea_elongata"	1
"Trichiurus_lepturus"	1
"Aetobatus_narinari"	1
"Bagarius_bagarius"	1
"Clarias_batrachus"	1
"Glossogobius_giuris"	1
"Heteropneustes_fossilis"	1
"Johnius_borneensis"	1
"Mystus_vittatus"	1
"Nandus_nandus"	1
"Ompok_bimaculatus"	1
"Ompok_pabda"	1
"Polynemus_paradiseus"	1
"Scoliodon_laticaudus"	1
"Tachysurus_sp."	1
"Upeneus_sulphureus"	1
"Ascaridida_gen._sp."	2
"Capillaria_sp."	2
"Raphidascaris_sp."	2
"Quimperia_sp."	2
"Quimperiidae_gen._sp"	2
"Camallanus_dollfusi"	2
"Lecithocladium_excisum"	2
"Lecithocladium_sp."	2
"Hemiuridae_gen._sp."	2
"Pricea_multae"	2
"Contracaecum_sp."	2
"Terranova_sp."	2
"Pseudanisakis_sp."	2
"Porrocaecum_trichiuri"	2
"Cucullanus_sp."	2
"Neoechinorhynchus_sp."	2
"Cymothoidae_gen._sp"	2
