"Sp"	"MDim"
"Rutilus_rutilus"	1
"Carassius_carassius"	1
"Abramis_brama"	1
"Alburnus_alburnus"	1
"Blicca_bjoerkna"	1
"Esox_lucius"	1
"Perca_fluviatilis"	1
"Scardinius_erythrophthalmus"	1
"Gymnocephalus_cernuus"	1
"Tinca_tinca"	1
"Gobio_gobio_gobio"	1
"Vimba_vimba"	1
"Anguilla_anguilla"	1
"Cyprinus_carpio_carpio"	1
"Lota_lota"	1
"Sander_lucioperca"	1
"Leuciscus_idus"	1
"Aspius_aspius"	1
"Leuciscus_cephalus"	1
"Gasterosteus_aculeatus"	1
"Leuciscus_leuciscus"	1
"Coregonus_albula"	1
"Coregonus_lavaretus"	1
"Osmerus_eperlanus_spirinchus"	1
"Silurus_glanis"	1
"Leucaspius_delineatus"	1
"Osmerus_eperlanus"	1
"Carassius_auratus_auratus"	1
"Lampetra_fluviatilis"	1
"Pelecus_cultratus"	1
"Coregonus_peled"	1
"Pungitius_pungitius"	1
"Zoarces_viviparus"	1
"Alburnoides_bipunctatus"	1
"Cobitis_taenia"	1
"Gadus_morhua_callarias"	1
"Phoxinus_phoxinus"	1
"Platichthys_flesus_trachurus"	1
"Psetta_maxima"	1
"Salmo_salar"	1
"Salmo_trutta_morpha_fario"	1
"Triglopsis_quadricornis"	1
"Alosa_fallax_fallax"	1
"Belone_belone"	1
"Clupea_harengus_membras"	1
"Cottus_gobio"	1
"Salmo_trutta"	1
"Taurulus_bubalis"	1
"Diplostomum_spathaceum"	2
"Tylodelphys_clavata"	2
"Argulus_foliaceus"	2
"Ergasilus_sieboldi"	2
"Piscicola_geometra"	2
"Raphidascaris_acus"	2
"Ichthyocotylurus_platycephalus"	2
"Acanthocephalus_anguillae"	2
"Paracoenogonimus_ovatus"	2
"Acanthocephalus_lucii"	2
"Bucephalus_polymorphus"	2
"Diplozoon_paradoxum"	2
"Myxobolus_muelleri"	2
"Posthodiplostomum_cuticola"	2
"Allocreadium_isoporum"	2
"Myxobolus_ellipsoides"	2
"Zschokkella_nova"	2
"Myxobolus_bramae"	2
"Myxobolus_dispar"	2
"Sphaerostomum_bramae"	2
"Neoechinorhynchus_rutili"	2
"Ichthyocotylurus_variegatus"	2
"Myxobolus_oviformis"	2
"Phyllodistomum_folium"	2
"Triaenophorus_nodulosus"	2
"Proteocephalus_longicollis"	2
"Camallanus_(Camallanus)_lacustris"	2
"Posthodiplostomum_brevicaudatum"	2
"Diphyllobothrium_ditremum"	2
"Ergasilus_briani"	2
"Myxobolus_cycloides"	2
"Dactylogyrus_sphyrna"	2
"Acanthocephalus_clavula"	2
"Chloromyxum_fluviatile"	2
"Myxobolus_carassii"	2
"Myxobolus_macrocapsularis"	2
"Neodiplostomulum_sp."	2
"Ornithodiplostomum_scardinii"	2
"Azygia_lucii"	2
"Bunodera_luciopercae"	2
"Dactylogyrus_anchoratus"	2
"Dactylogyrus_cornu"	2
"Proteocephalus_percae"	2
"Proteocephalus_torulosus"	2
"Hemiclepsis_marginata"	2
"Henneguya_psorospermica"	2
"Myxobolus_anurum"	2
"Ichthyocotylurus_erraticus"	2
"Phyllodistomum_megalorchis"	2
"Phyllodistomum_pseudofolium"	2
"Dactylogyrus_crassus"	2
"Dactylogyrus_crucifer"	2
"Dactylogyrus_vastator"	2
"Khawia_dubius"	2
"Proteocephalus_sp."	2
"Achtheres_percarum"	2
"Myxidium_giardi"	2
"Myxidium_lieberkuehni"	2
"Myxidium_pfeifferi"	2
"Chloromyxum_dubium"	2
"Chloromyxum_mucronatum"	2
"Henneguya_lobosa"	2
"Henneguya_oviperda"	2
"Myxobolus_gigas"	2
"Myxobolus_permagnus"	2
"Myxobolus_rotundus"	2
"Myxobolus_thelohanellus"	2
"Thelohanellus_pyriformis"	2
"Asymphylodora_tincae"	2
"Parasymphylodora__markewitschi"	2
"Gyrodactylus_gobii"	2
"Gyrodactylus_markakulensis"	2
"Ancyrocephalus_percae"	2
"Dactylogyrus_amphibothrium"	2
"Dactylogyrus_difformis"	2
"Dactylogyrus_formosus"	2
"Dactylogyrus_fraternus"	2
"Dactylogyrus_intermedius"	2
"Dactylogyrus_m?cr?canthus"	2
"Dactylogyrus_minor"	2
"Dactylogyrus_nanus"	2
"Dactylogyrus_parvus"	2
"Dactylogyrus_wegeneri"	2
"Tetraonchus_monenteron"	2
"Bothriocephalus_claviceps"	2
"Lernaea_cyprinacea"	2
