"Sp"	"MDim"
"Pseudopercis_numida"	1
"Micropogonias_furnieri"	1
"Pseudopercis_semifasciata"	1
"Dactylopterus_volitans"	1
"Mugil_platanus"	1
"Pinguipes_brasilianus"	1
"Euthynnus_alletteratus"	1
"Balistes_capriscus"	1
"Orthopristis_ruber"	1
"Prionotus_punctatus"	1
"Selene_setapinnis"	1
"Trichiurus_lepturus"	1
"Urophycis_brasiliensis"	1
"Menticirrhus_americanus"	1
"Umbrina_canosai"	1
"Caranx_hippos"	1
"Haemulon_steindachneri"	1
"Merluccius_hubbsi"	1
"Cynoscion_guatucupa"	1
"Oligoplites_palometa"	1
"Aspistor_luniscutis"	1
"Caranx_latus"	1
"Lophius_gastrophysus"	1
"Genidens_barbus"	1
"Tylosurus_acus_acus"	1
"Urophycis_mystacea"	1
"Paralichthys_isosceles"	1
"Paralonchurus_brasiliensis"	1
"Balistes_vetula"	1
"Macrodon_ancylodon"	1
"Mullus_argentinae"	1
"Oligoplites_saliens"	1
"Oligoplites_saurus"	1
"Archosargus_rhomboidalis"	1
"Parona_signata"	1
"Aluterus_monoceros"	1
"Gymnothorax_moringa"	1
"Uraspis_secunda"	1
"Peprilus_parus"	1
"Scolex_polymorphus"	2
"Lecithochirium_microstomum"	2
"Raphidascaris_sp."	2
"Contracaecum_sp."	2
"Parahemiurus_merus"	2
"Hysterothylacium_sp."	2
"Callitetrarhynchus_gracilis"	2
"Pseudoterranova_sp."	2
"Bucephalus_varicus"	2
"Anisakis_sp."	2
"Corynosoma_australe"	2
"Caligus_haemulonis"	2
"Hirudinea"	2
"Piscicolidae_gen._sp."	2
"Aponurus__laguncula"	2
"Aponurus_pyriformis"	2
"Gnathia_sp."	2
"Serrasentis_sp."	2
"Progrillotia_dollfusi"	2
"Caligus_robustus"	2
"Prosorhynchus_osakii"	2
"Encotyllabe_spari"	2
"Cucullanus_sp."	2
"Polymorphus_sp."	2
"Lobatostoma_ringens"	2
"Leurodera_decora"	2
"Manteria_brachydera"	2
"Hargicola_oligoplites"	2
"Procamallanus_macaensis"	2
"Dollfusentis_chandleri"	2
"Rhadinorhynchus_pristis"	2
"Trypanorhinca_sp."	2
"Caligus_balistae"	2
"Caligus_bonito"	2
"Caligus_praetextus"	2
"Didymozoidae_gen_sp.2"	2
"Hemiuridae_gen._sp._2"	2
"Proctoeces_sp.1"	2
"Tergestia_pectinata"	2
"Encotyllabe_sp._2"	2
"Metacamopia_oligoplites"	2
"Microcotyle_pseudopercis"	2
"Probursata_brasiliensis"	2
"Cucullanus_carioca"	2
"Paracapillaria_argentinensis"	2
"Terranova_sp."	2
"Gorgorhynchus_sp.2"	2
"Heterosentis_brasiliensis"	2
"Neobrachiella_chevreuxii"	2
"Phyllobothriidae_gen._sp."	2
"Prolecitha_brasiliensis"	2
"Pterobothrium_crassicolle"	2
"Bomolochus_paucus"	2
"Caligus_rufimac"	2
"Caligus_sepetibensis"	2
"Clavellopsis_sp."	2
"Ergasilus_youngi"	2
"Lepeophtheirus_bagri"	2
"Lepeophtheirus_monacanthus"	2
"Lernanthropus_giganteus"	2
"Lernanthropus_rathbuni"	2
"Metacaligus_uruguayensis"	2
"Tuxophorus_caligodes"	2
"Tuxophorus_sp."	2
"Choanodera_sp."	2
"Dinosoma_clupeola"	2
"Diphtherostomum_brusinae"	2
"Gonocercella_atlantica"	2
"Hypocreadium_biminensis"	2
"Immature_trematoda_sp.4"	2
"Lasiotocus_longovatus"	2
"Lecithochirium_parvum"	2
"Opecoeloides_elongatus"	2
"Opecoeloides_sp.7"	2
"Opecoeloides_stenosomae"	2
"Peracreadium_annahoineffae"	2
"Pleorchis_americanus"	2
"Pseudoacanthostomum_floridensis"	2
"Pseudopecoeloides_elongatus"	2
"Sclerodistomum_prevesiculatum"	2
"Stephanostomum_ganhensis"	2
"Stephanostomum_sp.2"	2
"Tormopsolus_brasiliensis"	2
"Xystretum_pulchrum"	2
"Cemocotylella_elongata"	2
"Cynoscionicola_jamaicencis"	2
"Diplectanum_squamatum"	2
"Hargicotyle_louisianensis"	2
"Pseudempleurosoma_gibsoni"	2
"Pseudomazocraes_selene"	2
"Capillaria_sp."	2
"Cucullanus_pulcherrimus"	2
"Cucullanus_travassosi"	2
"Dychelyne_scianidicola"	2
"Dychelyne_sp.1"	2
"Hysterothylacium_sp_2"	2
"Philometra_sp."	2
"Procamallanus_pereirai"	2
"Procamallanus_sp.4"	2
"Acanthocephala_gen._sp."	2
"Floridosentis_mugilis"	2
"Gorgorhynchus_sp.1"	2
"Rhadinorhynchus_sp."	2
"Lobatostoma_sp."	2
"Argulus_sp.1"	2
"Argulus_sp.2"	2
"Argulus_sp.3"	2
"Argulus_sp.4"	2
"Dolops_sp."	2
"Anonchocephalus_sp."	2
"Clestobothrium_crassiceps"	2
"Grillotia_sp."	2
"Heteronybelinia_sp."	2
"Lacistorhynchus_sp."	2
"Neobothriocephalus_sp."	2
"Neobrachiella_exilis"	2
"Neobrachiella_insidiosa_lageniformis"	2
"Nominoscolex_arandaregoi"	2
"Pseudophyllidea_gen._sp."	2
"Pterobothrium_heteracanthum"	2
"Pterobothrium_sp."	2
"Scolex_sp.2"	2
"Tetraphyllidea_gen._sp.1"	2
"Acantochondria_sp."	2
"Blias_prionoti"	2
"Bomolochidae_gen._sp."	2
"Bomolochus_nitidus"	2
"Bomolochus_sp.1"	2
"Bomolochus_sp.2"	2
"Caligodes_laciniatus"	2
"Caligu_pelamydis"	2
"Caligus_longipedis"	2
"Caligus_malabaricus"	2
"Caligus_mutabilis"	2
"Caligus_sp._7"	2
"Caligus_sp.1"	2
"Caligus_sp.2"	2
"Caligus_sp.3"	2
"Caligus_sp.4"	2
"Caligus_sp.5"	2
"Caligus_sp.6"	2
"Chondracanthus_sp."	2
"Clavellotis_dilatata"	2
"Colobomatus_sp.1"	2
"Colobomatus_sp.2"	2
"Ergasilus_lizae"	2
"Ergasilus_versicolor"	2
"Gauchergasilus_euripedesi"	2
"Hatschekia__sp."	2
"Lernaeenicus_longiventris"	2
"Lernaeenicus_sp."	2
"Lernanthropus_cynoscicola"	2
"Lernanthropus_leydi"	2
"Lernanthropus_tylossuri"	2
"Metacalligus_rufus"	2
"Naobranchia_lizae"	2
"Pseudocycnus_appendiculatus"	2
"Taeniacanthus_balistae"	2
"Taeniastrotos_brasiliensis"	2
"Therodamas_sp."	2
"Acanthocolpoides_pauloi"	2
"Acanthocolpoides_sp."	2
"Accacladium_serpentulus"	2
"Aponurus_elongatus"	2
"Ascocotyle_longa"	2
"Brachyphallus_sp."	2
"Cardicola_brasiliensis"	2
"Derogenes_varicus"	2
"Dicrogaster_fastigata"	2
"Didimocystis_thynni"	2
"Didymozoidae_gen_sp.1"	2
"Didymozoidae_gen_sp.10"	2
"Didymozoidae_gen_sp.11"	2
"Didymozoidae_gen_sp.12"	2
"Didymozoidae_gen_sp.13"	2
"Didymozoidae_gen_sp.14"	2
"Didymozoidae_gen_sp.15"	2
"Didymozoidae_gen_sp.16"	2
"Didymozoidae_gen_sp.17"	2
"Didymozoidae_gen_sp.3"	2
"Didymozoidae_gen_sp.4"	2
"Didymozoidae_gen_sp.5"	2
"Didymozoidae_gen_sp.6"	2
"Didymozoidae_gen_sp.7"	2
"Didymozoidae_gen_sp.8"	2
"Didymozoidae_gen_sp.9"	2
"Digenea_gen._sp._1"	2
"Digenea_gen._sp._2"	2
"Dinurus_scombri"	2
"Dinurus_sp.1"	2
"Dinurus_sp.2"	2
"Diplangus_paxillus"	2
"Diplomonorchis_leiostomi"	2
"Diplomonorchis_sp."	2
"Elytrophalloides_oatesi"	2
"Genolopa_ampullacea"	2
"Genolopa_mugilis"	2
"Gonocercella_sp."	2
"Hemiuridae_ge._sp.1"	2
"Hemiurideo_gen_sp._3"	2
"Hemiurinae_gen_sp._4"	2
"Hymenocotta_manteri"	2
"Hysterolecitha_brasiliensis"	2
"Hysterolecitha_sp."	2
"Immature_trematoda_sp._1"	2
"Immature_trematoda_sp.2"	2
"Immature_trematoda_sp.3"	2
"Immature_trematoda_sp.5"	2
"Lecithaster_helodes"	2
"Lecithochirium_sp.1"	2
"Lecithochirium_sp.2"	2
"Lecithochirium_sp.3"	2
"Lecithochirium_sp.4"	2
"Lecithocladium_sp.1"	2
"Lecithocladium_sp.2"	2
"Lecithaster_sp."	2
"Leucodera_sp."	2
"Lobatozoum_multisacculatum"	2
"Maccallumtrema_sp."	2
"Megasolena_hysterospina"	2
"Multitestis_(Multitestis)_incontans"	2
"Neolebouria_georgenascimentoi"	2
"Opechona_sp.1"	2
"Opechona_sp.2"	2
"Opecoeloides_adsphaericus"	2
"Opecoeloides_pedicathedrae"	2
"Opecoeloides_polynemi"	2
"Opecoeloides_sp._2"	2
"Opecoeloides_sp.1"	2
"Opecoeloides_sp.3"	2
"Opecoeloides_sp.4"	2
"Opecoeloides_sp.5"	2
"Opecoeloides_sp.6"	2
"Opecoeloides_sp.8"	2
"Opecoelus_sp."	2
"Pachycreadium_gastrocotylum"	2
"Parantorchis_sp."	2
"Phyllodistomum_mugilis"	2
"Podocotyle__sp.1"	2
"Podocotyle_sp.2"	2
"Podocotyle_sp.3"	2
"Postmonorchis_orthopristis"	2
"Proctoeces_sp.2"	2
"Proctoeces_sp.3"	2
"Prosorhynchus_australis"	2
"Prosorhynchus_sp."	2
"Pseudopecoelina_sp."	2
"Rhipidocotyle_pentagonum"	2
"Rhipidocotyle_sp."	2
"Saccocoelioides_beauforti"	2
"Saturnius_maurepasi"	2
"Schikhobalotrema_acuta"	2
"Sclerodistomum_sp."	2
"Stephanostomum_sp.1"	2
"Stephanostomum_sp.3"	2
"Tergestia_selenei"	2
"Tetrochetus_aluterae"	2
"Tetrochetus_sp."	2
"Trematoda_sp."	2
"Varelacreptotrema_travassosi"	2
"Anilocra_laticauda"	2
"Cymothoidae_gen._sp.1"	2
"Cymothoidae_gen._sp.2"	2
"Cymothoidae_gen._sp.3"	2
"Cymothoidae_gen._sp.4"	2
"Isopoda_sp.1"	2
"Isopoda_sp.2"	2
"Isopoda_sp.3"	2
"Isopoda_sp.4"	2
"Rocinela_signata"	2
"Allopyragraphorus_hippos"	2
"Allopyragraphorus_sp.1"	2
"Allopyragraphorus_sp.2"	2
"Anoplodiscus_longivaginatus"	2
"Anthocotyle_merluccii"	2
"Axine_sp."	2
"Axinoides_sp."	2
"Benedenia"	2
"Bravocotyle_sp."	2
"Caballerocotyla"	2
"Capsalidae_gen._sp._2"	2
"Capsalidae_gen._sp.1"	2
"Cemocotyle_carangis"	2
"Cemocotyle_noveboracensis"	2
