"Sp"	"MDim"
"Microtus_arvalis"	1
"Clethrionomys_centralis"	1
"Spermophilus_undulatus"	1
"Apodemus_uralensis"	1
"Apodemus_agrarius"	1
"Sorex_araneus"	1
"Sicista_tianshanica"	1
"Dryomys_nitedula"	1
"Arvicola_terrestris"	1
"Neomys_fodiens"	1
"Cricetulus_migratorius"	1
"Cricetus_cricetus"	1
"Spermophilus_erythrogenys"	1
"Ctenophthalmus_assimilis"	2
"Neopsylla_mana"	2
"Megabothris_rectangulatus"	2
"Citellophilus_tesquorum"	2
"Amphipsylla_rossica"	2
"Hystrichopsylla_talpae"	2
"Nosopsyllus_consimilis"	2
"Pectinoctenus_nemorosa"	2
"Frontopsylla_elata"	2
"Frontopsylla_protera"	2
"Amalaraeus_penicilliger"	2
"Neopsylla_teratura"	2
"Palaeopsylla_soricis"	2
"Frontopsylla_elatoides"	2
"Ceratophyllus_sciurorum"	2
"Ctenophthalmus_arvalis"	2
"Amphipsylla_sibirica"	2
"Frontopsylla_ornata"	2
"Amphipsylla_primaris"	2
"Corrodopsylla_birulai"	2
"Rhadinopsylla_angusta"	2
