"Sp"	"MDim"
"Heteractis_crispa"	1
"Entacmaea_quadricolor"	1
"Heteractis_magnifica"	1
"Stichodactyla_mertensii"	1
"Heteractis_aurora"	1
"Stichodactyla_gigantea"	1
"Stichodactyla_haddoni"	1
"Macrodactyla_doreensis"	1
"Heteractis_malu"	1
"Cryptodendrum_adhaesivum"	1
"Amphiprion_clarkii"	2
"Amphiprion_akindynos"	2
"Amphiprion_chrysopterus"	2
"Amphiprion_chrysogaster"	2
"Amphiprion_bicinctus"	2
"Amphiprion_tricinctus"	2
"Amphiprion_perideraion"	2
"Amphiprion_allardi"	2
"Amphiprion_melanopus"	2
"Amphiprion_ocellaris"	2
"Amphiprion_percula"	2
"Amphiprion_leucokranos"	2
"Amphiprion_polymnus"	2
"Amphiprion_omanensis"	2
"Amphiprion_rubrocinctus"	2
"Amphiprion_sandaracinos"	2
"Amphiprion_akallopisos"	2
"Amphiprion_ephippium"	2
"Amphiprion_frenatus"	2
"Amphiprion_fuscocaudatus"	2
"Amphiprion_latezonatus"	2
"Amphiprion_latifasciatus"	2
"Amphiprion_mccullochi"	2
"Amphiprion_nigripes"	2
"Amphiprion_sebae"	2
"Premnas_biaculeatus"	2
