"Sp"	"MDim"
"Nephrosperma_vanhoutteanum"	1
"Northea_hornei"	1
"Dillenia_ferruginea"	1
"Craterispermum_microdon"	1
"Erythroxylum_sechellarum"	1
"Syzygium_wrightii"	1
"Paragenipa_wrightii"	1
"Diospyros_seychellarum"	1
"Memecylon_eleagni"	1
"Soulamea_terminaloides"	1
"Excoecaria_benthiamiana"	1
"Apis_mellifera"	2
"Lasioglossum_mahense"	2
"Nectarinia_dussumieri"	2
"Rhiparida_seychellensis"	2
"Unidentified_sp1_M_PL_107"	2
"Hemipyrellia_germana"	2
"Neophyllomyza_approximatonervis"	2
"Tricimba_seychellensis"	2
"Phelsuma_sp1_M_PL_107"	2
"Unidentified_sp3_M_PL_107"	2
"Lygistorrhina_sp1_M_PL_107"	2
"Hemipyrellia_sp1_M_PL_107"	2
"Mabuya_sechellensis"	2
"Scaptodrosophila_sp1_M_PL_107"	2
"Dichaetomyia_fasciculifera"	2
"Melanostoma_annulipes"	2
"Unidentified_sp2_M_PL_107"	2
"Unidentified_sp4_M_PL_107"	2
