"Sp"	"MDim"
"Psychotria_hoffmannseggiana"	1
"Psychotria_marginata"	1
"Psychotria_acuminata"	1
"Psychotria_deflexa"	1
"Psychotria_horizontalis"	1
"Psychotria_limonensis"	1
"Psychotria_poeppigiana"	1
"Psychotria_emetica"	1
"Psychotria_psychotrifolia"	1
"Psychotria_brachybotrya"	1
"Psychotria_pittieri"	1
"Psychotria_racemosa"	1
"Psychotria_grandis"	1
"Pipra_mentalis"	2
"Pipra_coronata"	2
"Catharus_ustulatus"	2
"Manacus_vitellinus"	2
"Catharus_fuscescens"	2
"Catharus_minimus"	2
"Habia_fuscicauda"	2
"Schiffornis_turdinus"	2
"Empidonax_virescens"	2
"Mionectes_oleagineus"	2
"Trogon_rufus"	2
