"Sideroxylon_puberulum"	"Psiadia_terebinthina"	"Psidium_cattleianum"	"Helichrysum_proteoides"	"Stillingia_lineata"	"Grangeria_borbonica"	"Antidesma_madagascariense"	"Labourdonnaisia_callophylloides"	"Olea_lancea"	"Euodia_obtusifolia"	"Warneckea_trinervis"	"Homalanthus_populifolius"	"Phyllanthus_phillyreifolius"	"Wikstroemia_indica"	"Badula_platiphylla"	"Eugenia_orbiculata"	"Euodia_chapelieri"	"Gaertnera_sp1_M_PL_078"	"Apis_mellifera"	"Chaetocnema_sp1_M_PL_078"	"Villa_unifasciata"	"Pachycerina_crinicornis"	"Musca_domestica"	"Chrysomya_megacephala"	"Technomyrmex_albipes"	"Cerambycidae_sp1_M_PL_078"	"Stomorhina_lunata"	"Dysauxes_florida"	"Lygaeidae_sp1_M_PL_078"	"Pelecophora_intemipta"	"Scolia_carniflex"
"Sideroxylon_puberulum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0.05	0	0	0	0	0	0	0
"Psiadia_terebinthina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0142857142857143	0	0.0142857142857143	0	0	0	0.0142857142857143	0.0142857142857143	0.0142857142857143	0	0.0142857142857143	0	0.0142857142857143
"Psidium_cattleianum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0.05	0	0	0	0	0	0	0	0	0	0
"Helichrysum_proteoides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0.02	0.02	0	0	0	0.02	0	0	0
"Stillingia_lineata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0.05	0	0	0	0	0	0	0	0	0
"Grangeria_borbonica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.025	0	0	0.025	0	0	0	0.025	0	0	0	0
"Antidesma_madagascariense"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.025	0.025	0	0	0.025	0	0	0	0	0	0
"Labourdonnaisia_callophylloides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.025	0	0.025	0	0	0	0	0	0	0	0.025	0
"Olea_lancea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0
"Euodia_obtusifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0
"Warneckea_trinervis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0
"Homalanthus_populifolius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0
"Phyllanthus_phillyreifolius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0
"Wikstroemia_indica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0
"Badula_platiphylla"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0
"Eugenia_orbiculata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0
"Euodia_chapelieri"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0
