"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"C1"	"C2"	"C3"	"C4"
"R1"	0	0	0	0	0	0	0	0.025	0.025	0.025	0.025
"R2"	0	0	0	0	0	0	0	0.025	0.025	0.025	0.025
"R3"	0	0	0	0	0	0	0	0	0.0333333333333333	0.0333333333333333	0.0333333333333333
"R4"	0	0	0	0	0	0	0	0.025	0.025	0.025	0.025
"R5"	0	0	0	0	0	0	0	0	0	0.05	0.05
"R6"	0	0	0	0	0	0	0	0.0333333333333333	0.0333333333333333	0.0333333333333333	0
"R7"	0	0	0	0	0	0	0	0	0	0	0.1
"C1"	0.025	0.025	0	0.025	0	0.025	0	0	0	0	0
"C2"	0.02	0.02	0.02	0.02	0	0.02	0	0	0	0	0
"C3"	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0	0	0	0	0
"C4"	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0	0.0166666666666667	0	0	0	0
