"Claytonia_virginica"	"Erythronium_umbilicatum"	"Stellaria_pubera"	"Thalictrum_thalictroides"	"Cardamine_angustata_angustata"	"Hepatica_americana"	"Sangiunaria_canadensis"	"Tiarella_cordifolia_collina"	"Aesculus_sylvatica"	"Viola_papilionacea"	"Uvularia_sessilifolia"	"Podophyllum_peltatum"	"Trillium_catesbei"	"Bombylius_major"	"Andrena_erigeniae"	"Andrena_nigrihirta"	"Andrena_tridens"	"Apis_mellifera"	"Nomada_sp1_M_PL_025"	"Bombus_bimaculatus"	"Gonia_sp1_M_PL_025"	"Halictid_sp1_M_PL_025"	"Dialictus_abanci"	"Hylema_platura"	"Osmia_conjucta"	"Nomada_perplexa"	"Andrena_carlini"	"Platycheirus_obscurus"	"Osmia_sp1_M_PL_025"	"Nomada_pygmaea"	"Andrena_nasonii"	"Evylaeus_macoupinensis"	"Osmia_lignaria"	"Augochlora_pura"	"Toxomerous_geminatus"	"Ceratina_calcarata"	"Dialictus_cressonii"	"Euchlo_creusa_lotta"	"Xylocopa_virginica_virginica"	"Osmia_atriventris"	"Andrena_violae"	"Bombus_pennsylvanicus"	"Ephemoropsis_laboriosa"	"Nomada_luteola"	"Andrena_arabis"	"Andrena_ziziaeformis"	"Augochorella_striata"	"Lycaenopsis_argiolus"	"Unidentified_sp1_M_PL_025"	"Andrena_ceanothi"	"Andrena_dunningi"	"Andrena_imatrix"	"Andrena_personata"	"Lassioglossum_fuscipenne"	"Nomada_bishopii"	"Nomada_sayi"	"Osmia_simillima"
"Claytonia_virginica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0	0	0	0	0	0	0.0166666666666667	0.0166666666666667	0.0166666666666667	0	0.0166666666666667	0	0.0166666666666667	0	0	0	0	0
"Erythronium_umbilicatum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0357142857142857	0	0.0357142857142857	0.0357142857142857	0.0357142857142857	0.0357142857142857	0	0	0	0.0357142857142857	0	0.0357142857142857	0.0357142857142857	0.0357142857142857	0	0.0357142857142857	0	0	0	0.0357142857142857	0.0357142857142857	0	0	0	0	0.0357142857142857	0	0	0	0	0	0	0	0.0357142857142857	0	0	0	0	0	0	0	0	0	0
"Stellaria_pubera"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0238095238095238	0.0238095238095238	0.0238095238095238	0	0	0.0238095238095238	0	0.0238095238095238	0	0.0238095238095238	0	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0	0	0.0238095238095238	0.0238095238095238	0.0238095238095238	0	0	0	0.0238095238095238	0	0	0	0.0238095238095238	0	0	0	0	0	0	0	0	0.0238095238095238	0	0.0238095238095238	0.0238095238095238	0
"Thalictrum_thalictroides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0	0	0	0.05	0	0.05	0.05	0.05	0	0	0	0	0.05	0.05	0	0	0.05	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cardamine_angustata_angustata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0208333333333333	0	0	0	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0208333333333333	0	0.0208333333333333	0.0208333333333333	0	0	0	0.0208333333333333	0.0208333333333333	0	0	0.0208333333333333	0	0	0.0208333333333333	0	0	0	0.0208333333333333	0	0.0208333333333333	0	0	0.0208333333333333	0	0	0
"Hepatica_americana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0416666666666667	0	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0	0	0.0416666666666667	0	0	0	0	0.0416666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sangiunaria_canadensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0714285714285714	0	0	0	0.0714285714285714	0	0.0714285714285714	0	0	0	0	0	0	0.0714285714285714	0	0	0	0	0	0	0	0.0714285714285714	0	0.0714285714285714	0	0.0714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tiarella_cordifolia_collina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0714285714285714	0	0	0	0.0714285714285714	0	0.0714285714285714	0	0	0	0	0.0714285714285714	0	0	0	0	0	0	0.0714285714285714	0	0	0	0	0.0714285714285714	0	0	0	0	0	0.0714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aesculus_sylvatica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viola_papilionacea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
