"Euphorbia_obtusifolia"	"Parolinea_intermedia"	"Argyranthemum_frutescencs"	"Convolvulus_sp1_M_PL_050"	"Euphorbia_canariensis"	"Lavandula_buchii"	"Plocama_pendula"	"Echium_bonnetii"	"Periploca_laevigata"	"Ceballosia_fruticosa"	"Echium_aculeatum"	"Fagonia_albiflora"	"Lotus_sp1_M_PL_050"	"Noechamaelea_pulverulenta"	"Lasioglossum_evylaeus"	"Camponotus_rufoglaucus"	"Eucera_gracilipes"	"Sphecodes_marginatus"	"Unidentified_sp1_M_PL_050"	"Unidentified_sp2_M_PL_050"	"Amegilla_quadrifasciata"	"Amegilla_sp1_M_PL_050"	"Anthophora_orotavae"	"Hylaeus_sp1_M_PL_050"	"Unidentified_sp3_M_PL_050"	"Unidentified_sp4_M_PL_050"	"Amegilla_canifrons"	"Apis_mellifera"	"Lucilia_sp1_M_PL_050"	"Unidentified_sp5_M_PL_050"	"Unidentified_sp6_M_PL_050"	"Unidentified_sp7_M_PL_050"	"Unidentified_sp8_M_PL_050"	"Unidentified_sp9_M_PL_050"	"Anthophora_alluardii"	"Gallotia_galloti"	"Unidentified_sp10_M_PL_050"	"Unidentified_sp11_M_PL_050"	"Unidentified_sp12_M_PL_050"	"Unidentified_sp13_M_PL_050"	"Unidentified_sp14_M_PL_050"	"Unidentified_sp15_M_PL_050"	"Unidentified_sp16_M_PL_050"	"Unidentified_sp17_M_PL_050"	"Unidentified_sp18_M_PL_050"	"Unidentified_sp19_M_PL_050"	"Unidentified_sp20_M_PL_050"	"Unidentified_sp21_M_PL_050"	"Unidentified_sp22_M_PL_050"
"Euphorbia_obtusifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0294117647058824	0.0294117647058824	0	0.0294117647058824	0.0294117647058824	0.0294117647058824	0	0	0	0.0294117647058824	0	0.0294117647058824	0	0	0	0	0	0.0294117647058824	0	0	0	0	0.0294117647058824	0	0	0.0294117647058824	0.0294117647058824	0	0.0294117647058824	0	0.0294117647058824	0.0294117647058824	0.0294117647058824	0.0294117647058824	0.0294117647058824
"Parolinea_intermedia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0454545454545455	0	0.0454545454545455	0.0454545454545455	0.0454545454545455	0	0	0.0454545454545455	0.0454545454545455	0	0.0454545454545455	0	0.0454545454545455	0.0454545454545455	0	0.0454545454545455	0	0	0	0.0454545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Argyranthemum_frutescencs"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0.05	0	0.05	0.05	0	0	0	0	0.05	0	0	0	0	0.05	0	0	0.05	0	0	0	0	0.05	0	0	0	0.05	0	0.05	0	0	0	0	0
"Convolvulus_sp1_M_PL_050"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0.05	0.05	0.05	0	0	0.05	0	0	0.05	0	0	0	0	0	0.05	0	0.05	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0
"Euphorbia_canariensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0.0625	0	0	0.0625	0.0625	0	0	0	0.0625	0	0.0625	0	0	0.0625	0	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lavandula_buchii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0.0625	0.0625	0	0	0.0625	0.0625	0.0625	0	0	0	0.0625	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Plocama_pendula"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0833333333333333	0.0833333333333333	0	0.0833333333333333	0	0	0	0	0	0.0833333333333333	0	0	0	0.0833333333333333	0	0	0	0	0	0.0833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Echium_bonnetii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0.1	0	0	0	0.1	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Periploca_laevigata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0.125	0	0	0	0	0	0.125	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ceballosia_fruticosa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Echium_aculeatum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Fagonia_albiflora"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lotus_sp1_M_PL_050"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Noechamaelea_pulverulenta"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_evylaeus"	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Camponotus_rufoglaucus"	0.0714285714285714	0	0	0.0714285714285714	0.0714285714285714	0	0.0714285714285714	0	0.0714285714285714	0	0.0714285714285714	0	0	0.0714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eucera_gracilipes"	0	0.0714285714285714	0.0714285714285714	0.0714285714285714	0	0.0714285714285714	0	0.0714285714285714	0	0	0	0.0714285714285714	0.0714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sphecodes_marginatus"	0.0833333333333333	0.0833333333333333	0	0.0833333333333333	0	0.0833333333333333	0.0833333333333333	0	0	0.0833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_050"	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp2_M_PL_050"	0.125	0	0.125	0	0.125	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amegilla_quadrifasciata"	0	0	0	0	0	0.166666666666667	0	0.166666666666667	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amegilla_sp1_M_PL_050"	0	0.166666666666667	0	0.166666666666667	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthophora_orotavae"	0	0.166666666666667	0	0	0	0.166666666666667	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hylaeus_sp1_M_PL_050"	0.166666666666667	0	0	0	0.166666666666667	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp3_M_PL_050"	0	0.166666666666667	0.166666666666667	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp4_M_PL_050"	0.166666666666667	0	0	0	0.166666666666667	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amegilla_canifrons"	0	0.25	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lucilia_sp1_M_PL_050"	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp5_M_PL_050"	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp6_M_PL_050"	0	0	0	0.25	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp7_M_PL_050"	0.25	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp8_M_PL_050"	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp9_M_PL_050"	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
