"Psidium_cattleianum"	"Memecylon_eleagni"	"Cinnamomum_verum"	"Ochna_kirkii"	"Premna_serratifolia"	"Erythroxylum_sechellarum"	"Apis_mellifera"	"Ornidia_obesa"	"Xylocopa_caffra"	"Lasioglossum_mahense"	"Neavella_albipectus"	"Megachile_seychellensis"	"Parasarcophaga_hirticeps"	"Polistes_olivaceus"	"Chalcidoma_disjunctum"	"Eristalinus_vicarians"	"Hemipyrellia_sp1_M_PL_110"	"Cratopus_aurostriatus"	"Dichaetomyia_fasciculifera"
"Psidium_cattleianum"	0	0	0	0	0	0	0.1	0.1	0.1	0	0	0	0	0	0.1	0	0.1	0	0
"Memecylon_eleagni"	0	0	0	0	0	0	0.125	0	0	0.125	0.125	0	0	0	0.125	0	0	0	0
"Cinnamomum_verum"	0	0	0	0	0	0	0.0714285714285714	0.0714285714285714	0	0	0	0	0.0714285714285714	0.0714285714285714	0	0.0714285714285714	0	0.0714285714285714	0.0714285714285714
"Ochna_kirkii"	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0
"Premna_serratifolia"	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0.166666666666667	0	0	0	0	0.166666666666667	0	0
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.166666666666667	0.166666666666667	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ornidia_obesa"	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Xylocopa_caffra"	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0	0.25	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neavella_albipectus"	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megachile_seychellensis"	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Parasarcophaga_hirticeps"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Polistes_olivaceus"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chalcidoma_disjunctum"	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eristalinus_vicarians"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_sp1_M_PL_110"	0.25	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cratopus_aurostriatus"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dichaetomyia_fasciculifera"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
