"Hamelia_versicolor"	"Vitex_mollis"	"Combretum_farinosum"	"Ipomoea_bracteata"	"Mirabilis_sp1_M_PL_065"	"Ipomoea_wolcottiana"	"Opuntia_excelsa"	"Nopalea_karwinskiana"	"Ceiba_aesculifolia"	"Caesalpinia_pulcherrima"	"Cordia_seleriana"	"Psittacanthus_calyculatus"	"Tillandsia_bartramii"	"Pithecellobium_mangens"	"Tillandsia_paucifolia"	"Tillandsia_dasyrifolia"	"Groton_suberosus"	"Justicia_mexicana"	"Erythrina_lanata"	"Ipomoea_quamoclit"	"Tabebuia_donnell-smithii"	"Amazilia_rutila"	"Chlorostilbon_canivetii"	"Cynanthus_latirostris"	"Heliomaster_constantii"	"Archilochus_colubris"
"Hamelia_versicolor"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0.225	0.225	0.225	0
"Vitex_mollis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.45	0	0	0
"Combretum_farinosum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0.3	0	0
"Ipomoea_bracteata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0.225	0.225	0.225
"Mirabilis_sp1_M_PL_065"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0
"Ipomoea_wolcottiana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0.3	0	0.3
"Opuntia_excelsa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0	0.3	0
"Nopalea_karwinskiana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0.45	0
"Ceiba_aesculifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0.3	0.3	0
"Caesalpinia_pulcherrima"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0
"Cordia_seleriana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.45	0	0	0
"Psittacanthus_calyculatus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0.45
"Tillandsia_bartramii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0
"Pithecellobium_mangens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0
"Tillandsia_paucifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0.3	0.3	0
"Tillandsia_dasyrifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0
"Groton_suberosus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0
"Justicia_mexicana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0.45	0	0
"Erythrina_lanata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0
"Ipomoea_quamoclit"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0.3	0	0
"Tabebuia_donnell-smithii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0
"Amazilia_rutila"	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0	0.0529411764705882	0	0	0	0	0	0
"Chlorostilbon_canivetii"	0.128571428571429	0.128571428571429	0.128571428571429	0	0	0	0.128571428571429	0	0	0	0.128571428571429	0	0	0.128571428571429	0	0	0	0	0	0.128571428571429	0	0	0	0	0	0
"Cynanthus_latirostris"	0.1	0	0.1	0.1	0.1	0.1	0	0	0.1	0	0	0	0	0	0.1	0	0	0.1	0	0.1	0	0	0	0	0	0
"Heliomaster_constantii"	0.1125	0	0	0.1125	0	0	0.1125	0.1125	0.1125	0	0	0	0	0	0.1125	0	0	0	0.1125	0	0.1125	0	0	0	0	0
"Archilochus_colubris"	0	0	0	0.3	0	0.3	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
