"Microtus_arvalis"	"Apodemus_sylvaticus"	"Prometheomys_schaposchnikowi"	"Apodemus_mystacinus"	"Microtus_majori"	"Dryomys_nitedula"	"Cricetulus_migratorius"	"Sorex_araneus"	"Chionomys_nivalis"	"Myoxus_glis"	"Ctenophthalmus_proximus"	"Ctenophthalmus_hypanis"	"Ctenophthalmus_inornatus"	"Megabothris_turbidus"	"Ctenophthalmus_shovi"	"Amphipsylla_rossica"	"Myoxopsylla_jordani"	"Nosopsyllus_fasciatus"	"Leptopsylla_segnis"	"Leptopsylla_taschenbergi"	"Hystrichopsylla_talpae"	"Amphipsylla_georgica"	"Hystrichopsylla_satunini"	"Rhadinopsylla_integella"	"Ceratophyllus_sciurorum"	"Amalaraeus_penicilliger"	"Ctenophthalmus_euxinicus"	"Palaeopsylla_caucasica"
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0	0.000364963503649635	0.0478102189781022	0.00164233576642336	0.0215328467153285	0.00656934306569343	0.0191605839416058	0	0	0	0	0.00237226277372263	0	0	0	0	0.000547445255474453	0	0
"Apodemus_sylvaticus"	0	0	0	0	0	0	0	0	0	0	0.0614942528735632	0.00153256704980843	0.000574712643678161	0.00766283524904215	0.00862068965517242	0.000766283524904215	0.000766283524904215	0.00574712643678161	0.00363984674329502	0.0053639846743295	0.000574712643678161	0.000383141762452107	0.000957854406130268	0.000574712643678161	0.000766283524904215	0	0	0.000574712643678161
"Prometheomys_schaposchnikowi"	0	0	0	0	0	0	0	0	0	0	0	0.00229007633587786	0.0950381679389313	0.000763358778625954	0	0.00190839694656489	0	0	0	0	0	0	0	0	0	0	0	0
"Apodemus_mystacinus"	0	0	0	0	0	0	0	0	0	0	0.0578125	0.00234375	0	0.00234375	0.01015625	0	0.0015625	0.01171875	0.00859375	0	0	0	0.003125	0	0	0	0.00234375	0
"Microtus_majori"	0	0	0	0	0	0	0	0	0	0	0.0259615384615385	0.00384615384615385	0	0.0259615384615385	0.0326923076923077	0.00288461538461538	0	0	0.00384615384615385	0	0.00192307692307692	0	0.00288461538461538	0	0	0	0	0
"Dryomys_nitedula"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00232558139534884	0	0	0.0976744186046512	0	0	0	0	0	0	0	0	0	0	0
"Cricetulus_migratorius"	0	0	0	0	0	0	0	0	0	0	0	0.00851063829787234	0.00851063829787234	0.0340425531914894	0	0.0212765957446809	0	0	0	0	0	0.0276595744680851	0	0	0	0	0	0
"Sorex_araneus"	0	0	0	0	0	0	0	0	0	0	0.06875	0	0	0	0.01875	0	0	0	0.0125	0	0	0	0	0	0	0	0	0
"Chionomys_nivalis"	0	0	0	0	0	0	0	0	0	0	0	0.0181818181818182	0.0272727272727273	0.0181818181818182	0	0.0181818181818182	0	0	0	0	0	0	0	0.0181818181818182	0	0	0	0
"Myoxus_glis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0
