"Microtus_arvalis"	"Lagurus_lagurus"	"Marmota_bobak"	"Arvicola_terrestris"	"Allocricetulus_eversmanni"	"Apodemus_uralensis"	"Microtus_gregalis"	"Spermophilus_major"	"Sorex_araneus"	"Clethrionomys_glareolus"	"Microtus_oeconomus"	"Spermophilus_pygmaeus"	"Allactaga_major"	"Cricetus_cricetus"	"Spermophilus_fulvus"	"Micromys_minutus"	"Ctenophthalmus_breviatus"	"Ctenophthalmus_assimilis"	"Citellophilus_tesquorum"	"Neopsylla_pleskei"	"Frontopsylla_elata"	"Oropsylla_ilovaiskii"	"Amalaraeus_penicilliger"	"Peromyscopsylla_bidentata"	"Corrodopsylla_birulai"	"Mesopsylla_hebes"	"Amphipsylla_prima"	"Frontopsylla_semura"	"Palaeopsylla_soricis"	"Leptopsylla_segnis"	"Neopsylla_setosa"	"Oropsylla_silantiewi"	"Amphipsylla_kalabukhovi"	"Amphipsylla_kuznetzovi"
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0266949152542373	0.0241525423728814	0.00974576271186441	0.026271186440678	0.00974576271186441	0	0	0.00254237288135593	0	0	0	0	0	0	0	0	0	0.000847457627118644
"Lagurus_lagurus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.073469387755102	0.00204081632653061	0.0142857142857143	0.00204081632653061	0	0	0	0	0	0	0.00816326530612245	0	0	0	0	0	0	0
"Marmota_bobak"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0315789473684211	0	0.0631578947368421	0	0	0	0	0	0	0	0	0	0	0	0	0.00526315789473684	0	0
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0148648648648649	0.0662162162162162	0.0027027027027027	0.00945945945945946	0.00675675675675676	0	0	0	0	0	0	0	0	0	0	0	0	0
"Allocricetulus_eversmanni"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0293103448275862	0.0103448275862069	0.0172413793103448	0.0310344827586207	0	0	0	0	0	0	0	0.00862068965517242	0	0	0	0	0.00344827586206897	0
"Apodemus_uralensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0236363636363636	0.0345454545454545	0.0127272727272727	0.0163636363636364	0.00909090909090909	0	0	0.00363636363636364	0	0	0	0	0	0	0	0	0	0
"Microtus_gregalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00784313725490196	0.0627450980392157	0	0.00588235294117647	0.0117647058823529	0	0.0117647058823529	0	0	0	0	0	0	0	0	0	0	0
"Spermophilus_major"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.026	0	0	0.054	0	0	0	0	0	0	0	0	0	0	0	0
"Sorex_araneus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00512820512820513	0.0435897435897436	0	0	0	0	0	0	0.0333333333333333	0	0	0	0.017948717948718	0	0	0	0	0
"Clethrionomys_glareolus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00606060606060606	0	0.0181818181818182	0.00606060606060606	0	0.0333333333333333	0.0242424242424242	0	0	0.00606060606060606	0	0	0.00606060606060606	0	0	0	0
