"Arvicola_terrestris"	"Sorex_araneus"	"Clethrionomys_rutilus"	"Microtus_gregalis"	"Lagurus_lagurus"	"Apodemus_agrarius"	"Neomys_fodiens"	"Sicista_betulina"	"Microtus_agrestis"	"Talpa_europaea"	"Myospalax_aspalax"	"Spermophilus_erythrogenys"	"Microtus_oeconomus"	"Phodopus_campbelli"	"Tamias_sibiricus"	"Clethrionomys_glareolus"	"Cricetus_cricetus"	"Microtus_arvalis"	"Myopus_schisticolor"	"Cricetulus_barabensis"	"Clethrionomys_rufocanus"	"Micromys_minutus"	"Sicista_subtilis"	"Pteromys_volans"	"Sciurus_vulgaris"	"Ctenophthalmus_assimilis"	"Megabothris_walkeri"	"Palaeopsylla_soricis"	"Amalaraeus_penicilliger"	"Corrodopsylla_birulai"	"Megabothris_rectangulatus"	"Megabothris_turbidus"	"Hystrichopsylla_talpae"	"Ctenophthalmus_arvalis"	"Amphipsylla_sibirica"	"Ctenophthalmus_dilatatus"	"Ceratophyllus_indages"	"Pectinoctenus_pavlovskii"	"Frontopsylla_elata"	"Citellophilus_tesquorum"	"Leptopsylla_sicistae"	"Peromyscopsylla_silvatica"	"Megabothris_calcarifer"	"Neopsylla_pleskei"	"Amphipsylla_kuznetzovi"	"Peromyscopsylla_bidentata"	"Neopsylla_acanthina"	"Neopsylla_mana"	"Ctenophthalmus_pisticus"	"Tarsopsylla_octodecimdentata"	"Amphipsylla_vinogradovi"	"Oropsylla_ilovaiskii"	"Ctenophthalmus_uncinatus"	"Amphipsylla_prima"	"Catallagia_dacenkoi"	"Rhadinopsylla_integella"
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0255167958656331	0.0488372093023256	0.000193798449612403	0.00878552971576227	0.00142118863049096	0.000258397932816538	0.0060077519379845	0.000193798449612403	0.000710594315245478	0.00626614987080103	0	0	0.000645994832041344	0	0	0	0	0	0.000258397932816538	0.000193798449612403	0.000258397932816538	0.000129198966408269	0.000193798449612403	0	0	0	0	0	0.000129198966408269	0	0
"Sorex_araneus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00964630225080386	0.00112540192926045	0.0596463022508039	0.00401929260450161	0.0168810289389068	0.00176848874598071	0.00176848874598071	0.00176848874598071	0.000643086816720257	0.000643086816720257	0	0	0	0.00112540192926045	0.000321543408360129	0	0	0.000321543408360129	0	0	0.000321543408360129	0	0	0	0	0	0	0	0	0	0
"Clethrionomys_rutilus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0222916666666667	0.0025	0.0120833333333333	0.02	0.003125	0.0152083333333333	0.001875	0.00708333333333333	0.000416666666666667	0.000833333333333333	0	0.000625	0	0.00229166666666667	0.00104166666666667	0	0.00875	0.000416666666666667	0	0.00104166666666667	0	0	0	0	0	0	0	0	0	0.000416666666666667	0
"Microtus_gregalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0551075268817204	0.00752688172043011	0.0021505376344086	0.00430107526881721	0.00134408602150538	0.00564516129032258	0.0032258064516129	0.00510752688172043	0	0	0	0	0	0.00591397849462366	0	0	0.000806451612903226	0.00268817204301075	0.0032258064516129	0.00295698924731183	0	0	0	0	0	0	0	0	0	0	0
"Lagurus_lagurus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00421052631578947	0	0	0	0	0	0	0	0.0552631578947368	0	0	0	0.02	0	0.0178947368421053	0	0.00105263157894737	0	0.00157894736842105	0	0	0	0	0	0	0	0	0	0	0	0
"Apodemus_agrarius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0471590909090909	0.00681818181818182	0	0.00681818181818182	0.00738636363636364	0.00511363636363636	0.00625	0.00681818181818182	0	0.00284090909090909	0	0	0	0.00340909090909091	0	0	0	0	0	0	0.00625	0	0.00113636363636364	0	0	0	0	0	0	0	0
"Neomys_fodiens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0138686131386861	0.00291970802919708	0.0343065693430657	0	0.0423357664233577	0	0	0.00437956204379562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00218978102189781	0	0	0	0	0	0	0	0
"Sicista_betulina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00859375	0	0.0046875	0.00546875	0.0015625	0.003125	0.01015625	0.01953125	0	0	0	0	0	0.00546875	0	0.0390625	0	0	0	0	0	0	0.00234375	0	0	0	0	0	0	0	0
"Microtus_agrestis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0287037037037037	0.0138888888888889	0	0.00648148148148148	0.00740740740740741	0.0138888888888889	0	0.0111111111111111	0	0	0	0	0	0	0	0	0	0.0166666666666667	0.00185185185185185	0	0	0	0	0	0	0	0	0	0	0	0
"Talpa_europaea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069811320754717	0	0.0169811320754717	0.00660377358490566	0	0.00377358490566038	0	0	0	0	0	0	0	0.00283018867924528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Myospalax_aspalax"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002
"Spermophilus_erythrogenys"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00681818181818182	0	0	0.0784090909090909	0	0	0.0102272727272727	0	0	0	0	0	0	0	0	0	0	0	0.00454545454545455	0	0	0	0
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0245614035087719	0.0263157894736842	0	0.00526315789473684	0.00701754385964912	0.00526315789473684	0	0.0087719298245614	0	0	0	0	0	0.00350877192982456	0	0	0.0087719298245614	0.0105263157894737	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phodopus_campbelli"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00754716981132075	0	0	0	0	0	0	0	0	0	0	0	0.0490566037735849	0.00754716981132075	0.0113207547169811	0	0	0	0.0245283018867925	0	0	0	0	0	0	0	0	0	0	0	0
"Tamias_sibiricus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00769230769230769	0	0	0	0	0	0	0	0	0	0	0.0461538461538462	0	0	0	0	0	0	0	0	0	0.025	0	0.0211538461538462	0	0	0	0	0	0	0
"Clethrionomys_glareolus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0.0166666666666667	0	0.0214285714285714	0.00952380952380952	0.00476190476190476	0.00714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00714285714285714	0	0	0
"Cricetus_cricetus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0131578947368421	0.00526315789473684	0.0105263157894737	0.0289473684210526	0	0	0	0.00526315789473684	0	0.0105263157894737	0	0	0	0	0	0	0	0	0.0184210526315789	0	0	0	0.00789473684210526	0	0	0	0	0	0	0	0
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0.0105263157894737	0	0	0	0	0	0.00789473684210526	0	0.00789473684210526	0	0	0.0131578947368421	0	0	0	0	0	0	0.0105263157894737	0	0	0	0	0
"Myopus_schisticolor"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0181818181818182	0	0.0454545454545455	0	0	0	0	0	0	0	0	0	0	0	0.0363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cricetulus_barabensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0105263157894737	0	0.0105263157894737	0	0	0.0368421052631579	0	0	0	0	0.0210526315789474	0.0105263157894737	0	0	0	0	0	0	0	0	0	0	0	0.0105263157894737	0	0	0	0	0
"Clethrionomys_rufocanus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0117647058823529	0	0	0	0.0705882352941177	0	0.0176470588235294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Micromys_minutus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0.025	0	0	0	0.0166666666666667	0	0	0	0	0	0	0.0166666666666667	0	0	0	0	0	0	0.0166666666666667	0	0	0	0	0	0	0	0	0	0
"Sicista_subtilis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0222222222222222	0	0	0	0	0	0	0.0444444444444444	0	0	0	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pteromys_volans"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0
