"Myospalax_myospalax"	"Spermophilus_erythrogenys"	"Cricetulus_migratorius"	"Apodemus_uralensis"	"Microtus_arvalis"	"Marmota_baibacina"	"Alticola_strelzowi"	"Ellobius_talpinus"	"Sicista_tianshanica"	"Arvicola_terrestris"	"Microtus_oeconomus"	"Dryomys_nitedula"	"Allactaga_major"	"Clethrionomys_rufocanus"	"Apodemus_agrarius"	"Allactaga_elater"	"Microtus_gregalis"	"Allocricetulus_eversmanni"	"Alticola_argentatus"	"Cricetus_cricetus"	"Sicista_subtilis"	"Ctenophthalmus_dilatatus"	"Citellophilus_ullus"	"Oropsylla_silantiewi"	"Frontopsylla_elata"	"Amphipsylla_schelkovnikovi"	"Ctenophthalmus_assimilis"	"Pectinoctenus_nemorosa"	"Megabothris_rectangulatus"	"Amphipsylla_dumalis"	"Amphipsylla_primaris"	"Neopsylla_democratica"	"Neopsylla_mana"	"Amphipsylla_anceps"	"Leptopsylla_sicistae"	"Ceratophyllus_sciurorum"	"Ctenophthalmus_arvalis"	"Frontopsylla_ornata"	"Neopsylla_setosa"	"Amalaraeus_penicilliger"	"Hystrichopsylla_talpae"	"Mesopsylla_hebes"	"Leptopsylla_nana"	"Rhadinopsylla_ioffi"	"Amphipsylla_rossica"	"Callopsylla_caspia"	"Frontopsylla_elatoides"	"Mesopsylla_lenis"	"Pectinoctenus_lauta"	"Mesopsylla_eucta"	"Nosopsyllus_consimilis"	"Oropsylla_ilovaiskii"	"Paraneopsylla_ioffi"
"Myospalax_myospalax"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.096304347826087	0	0	0	0	0	0	0	0	0	0.000652173913043478	0.000652173913043478	0	0	0	0	0	0	0	0	0	0	0.00239130434782609	0	0	0	0	0	0	0	0	0
"Spermophilus_erythrogenys"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0800699300699301	0	0	0	0	0	0	0	0	0.0118881118881119	0	0	0	0	0.00524475524475524	0	0.000699300699300699	0	0	0	0	0	0	0	0.00104895104895105	0	0	0	0	0.00104895104895105	0
"Cricetulus_migratorius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0109289617486339	0.0316939890710383	0.00273224043715847	0	0	0	0.00327868852459016	0.00655737704918033	0.0087431693989071	0.019672131147541	0	0	0.00327868852459016	0	0	0	0.00109289617486339	0	0.00601092896174863	0	0	0	0.00163934426229508	0	0.00273224043715847	0	0.00163934426229508	0	0
"Apodemus_uralensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0191176470588235	0	0.00661764705882353	0.0419117647058824	0.00147058823529412	0	0	0	0.0117647058823529	0.00367647058823529	0.00147058823529412	0	0	0.00955882352941177	0	0.00147058823529412	0	0	0	0	0.00147058823529412	0	0	0	0	0	0	0	0.00147058823529412
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0666666666666667	0	0.00512820512820513	0	0.00598290598290598	0	0.00854700854700855	0	0	0	0	0	0	0	0	0	0.0102564102564103	0	0	0	0	0	0.00341880341880342	0	0	0	0	0	0	0	0
"Marmota_baibacina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Alticola_strelzowi"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0106666666666667	0	0	0	0.0133333333333333	0	0.0573333333333333	0	0.00666666666666667	0	0	0	0	0	0	0.00266666666666667	0	0	0	0	0	0.00933333333333333	0	0	0	0	0	0	0
"Ellobius_talpinus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00363636363636364	0	0	0.0963636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sicista_tianshanica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00740740740740741	0	0.0037037037037037	0	0	0	0	0	0.0666666666666667	0	0	0.0166666666666667	0	0	0.00555555555555556	0	0	0	0	0	0	0	0	0	0	0	0
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0317073170731707	0	0.0487804878048781	0	0	0	0	0	0	0	0	0	0	0.0195121951219512	0	0	0	0	0	0	0	0	0	0	0	0	0
