"Leucanthemum_vulgare"	"Lotus_corniculatus"	"Lathyrus_pratensis"	"Vicia_cracca"	"Hypochoeris_radicata"	"Ranunculus_acris"	"Trifolium_dubium"	"Prunella_vulgaris"	"Achillea_millefolium"	"Centaurea_nigra"	"Trifolium_repens"	"Vicia_sativa"	"Lychnis_flos-cuculi"	"Plantago_lanceolata"	"Trifolium_pratense"	"Cirsium_arvense"	"Taraxacum_officinale"	"Bombus_terrestris.lucorum"	"Phaonia_incarna"	"Tropidia_scitta"	"Helophilus_sp1_M_PL_006"	"Eristalinus_sepulcharius"	"Bombus_pascuorum"	"Lucillia_sp1_M_PL_006"	"Maniola_jurtina"	"Pollenia_sp1_M_PL_006"	"Anthomyidae_sp1_M_PL_006"	"Eristalis_nemorum"	"Chrysogaster_sp1_M_PL_006"	"Syritta_pipiens"	"Eristalis_intricarius"	"Lejogaster_splendida"	"Andrena_wilkella"	"Bombus_hortorum"	"Eristalis_tenax"	"Cheilosia_albitarsis"	"Empis_livida"	"Scathophaga_stercoraria"	"Psithyrus_vest"	"Lasiommata_megera"	"Megachile_willughbiella"	"Syrphus_sp1_M_PL_006"	"Thymelicus_sp1_M_PL_006"	"Lycaena_phlaeas"	"Odontomyia_tigrina"	"Micromoth_sp1_M_PL_006"	"Platycheirus_sp1_M_PL_006"	"Sphaerophoria_sp1_M_PL_006"	"Helophilus_trivittatus"	"Neoascia_tenur"	"Odontomyia_viridula"	"Polyommatus_icarus"	"Rhagio_tringarius"	"Zygaena_filipendulae"	"Andrena_haemorrhoa"	"Bombus_pratorum"	"Melanostoma_sp1_M_PL_006"	"Ochlodes_venata"	"Andrena_pubescens"	"Autographa_sp1_M_PL_006"	"Eriothrix_rufomaculatus"	"Eristalis_pertinax"	"Sarcophagus_sp1_M_PL_006"	"Adela_rufimatrella"	"Anosymia_sp1_M_PL_006"	"Bombus_lapidarius"	"Chloromyia_formosa"	"Lasioglossum_calceatum"	"Lasioglossum_leucozonium"	"Lasioglossum_villosulum"	"Malachius_viridus"	"Meliscaeva_sp1_M_PL_006"	"Nemotelus_pantherinus"	"Oligia_sp1_M_PL_006"	"Parhelophilus_sp1_M_PL_006"	"Pyronia_tithonus"	"Rhagonycha_fulva"	"Tetanocera_ferruginea"
"Leucanthemum_vulgare"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00208070617906684	0.026860025220681	0.0158890290037831	0.0141866330390921	0.0121059268600252	0.000189155107187894	0.0042875157629256	0.00119798234552333	0.00346784363177806	0.0010718789407314	0.00220680958385876	0.00189155107187894	0.00182849936948298	0.00163934426229508	0.00163934426229508	0.000315258511979823	0.000126103404791929	0.00119798234552333	0.000315258511979823	0.00094577553593947	0.000882723833543506	0.000630517023959647	0.000315258511979823	0	0.000378310214375788	6.30517023959647e-05	0.000504413619167718	0.000441361916771753	0.000378310214375788	0.000315258511979823	0.000252206809583859	0.000315258511979823	0	0.000252206809583859	0.000126103404791929	0.000315258511979823	0	0.000126103404791929	0.000126103404791929	0.000189155107187894	0	6.30517023959647e-05	0	0.000126103404791929	0.000126103404791929	0.000126103404791929	6.30517023959647e-05	6.30517023959647e-05	0	0	0	0	0	6.30517023959647e-05	0	6.30517023959647e-05	6.30517023959647e-05	6.30517023959647e-05	0	6.30517023959647e-05	6.30517023959647e-05
"Lotus_corniculatus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0876475930971844	0.000272479564032698	0	0.00072661217075386	0	0.00426884650317893	9.08265213442325e-05	0.00172570390554042	0	0	0	0	0	0	0	0.000635785649409628	0.00118074477747502	9.08265213442325e-05	0	0	9.08265213442325e-05	9.08265213442325e-05	0.00036330608537693	0.000817438692098093	0	0.000635785649409628	0	9.08265213442325e-05	0	9.08265213442325e-05	0	0	0	0	0.000272479564032698	0	0.000181653042688465	0	9.08265213442325e-05	0	0.000181653042688465	9.08265213442325e-05	0.000181653042688465	0	0	0	0	0	9.08265213442325e-05	0	0	0	0	0	0	0	0	0	9.08265213442325e-05	0	0
"Lathyrus_pratensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0870646766169154	0.000497512437810945	0	0	0	0.00895522388059702	0	0	0	0	0	0	0	0	0	0.000497512437810945	0.00248756218905473	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000497512437810945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Vicia_cracca"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0.00108695652173913	0	0.00108695652173913	0	0.00434782608695652	0	0.00760869565217391	0	0	0	0	0	0	0	0.00434782608695652	0.00434782608695652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00108695652173913	0	0	0	0.00108695652173913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hypochoeris_radicata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0283018867924528	0.0226415094339623	0.00566037735849057	0.00754716981132075	0.0113207547169811	0.00377358490566038	0	0	0	0.00566037735849057	0.00188679245283019	0	0.00188679245283019	0.00188679245283019	0	0	0	0	0	0	0	0	0	0	0.00188679245283019	0.00188679245283019	0	0	0	0	0.00188679245283019	0	0	0	0	0	0	0.00188679245283019	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188679245283019	0	0	0	0	0	0	0	0	0
"Ranunculus_acris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00227272727272727	0.00681818181818182	0.00227272727272727	0.00227272727272727	0.00454545454545455	0	0	0	0	0.0363636363636364	0	0	0	0.00227272727272727	0	0	0	0	0.025	0	0	0	0.00227272727272727	0	0	0	0	0	0	0	0	0	0.0113636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00227272727272727	0	0.00227272727272727	0	0	0	0	0	0	0	0
"Trifolium_dubium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0368421052631579	0	0	0.00526315789473684	0	0.00526315789473684	0	0	0	0	0	0	0	0	0	0.0421052631578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00526315789473684	0	0	0	0	0	0	0	0	0	0	0	0.00526315789473684	0	0	0	0	0	0	0	0	0	0	0
"Prunella_vulgaris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00769230769230769	0	0	0	0	0.0153846153846154	0	0.0692307692307692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00769230769230769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Achillea_millefolium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0111111111111111	0	0.0111111111111111	0.0222222222222222	0	0	0.0333333333333333	0	0	0	0	0	0.0111111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0111111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Centaurea_nigra"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0142857142857143	0	0	0	0	0	0.0714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
