"Daucus_carota_carota"	"Sonchus_tenerrinus"	"Carpobrotus_sp1_M_PL_058"	"Opuntia_stricta"	"Cistus_monspeliensis"	"Lavandula_stoechas"	"Cistus_salvifolius"	"Cistus_albidus"	"Urospermum_picrioides"	"Rosmarinus_officinalis"	"Aetheorrina_bulbosa"	"Galactites_tomentosa"	"Eryngium_campestre"	"Convolvulus_althaeoides"	"Scabiosa_stellata"	"Sedum_sediforme"	"Thymelaea_hirusta"	"Ruta_chalepensis"	"Helichrysum_stoechas"	"Psoralea_bituminosa"	"Dorychnium_pentaphylum"	"Alyssum_maritimum"	"Helianthemum_guttatum"	"Lathyrus_clymenum"	"Equium_sabulicola"	"Euphorbia_segatalis"	"Allium_ampeloprasum"	"Brassica_fruticulosa"	"Dianthus_caryophillus"	"Hypericum_perfolatum"	"Linum_sp1_M_PL_058"	"Vicea_lutea"	"Andrena_sp1_M_PL_058"	"Apis_mellifera"	"Mordellistena_pumila"	"Oedemera_lurida"	"Oxythyrea_funesta"	"Anthidium_sticticum"	"Psilothrix_sp1_M_PL_058"	"Unidentified_sp35_M_PL_058"	"Bombus_terrestris"	"Oedemera_flavipes"	"Myrabilis_quadripunctata"	"Lasioglossum_sp1_M_PL_058"	"Mordella_bipunctata"	"Halictus_gemmeus"	"Unidentified_sp38_M_PL_058"	"Criptocephalus_sp1_M_PL_058"	"Unidentified_sp43_M_PL_058"	"Xylocopa_sp1_M_PL_058"	"Halictus_pyrenaicus"	"Colletes_sp1_M_PL_058"	"Amegilla_femorata"	"Megachile_sp2_M_PL_058"	"Plagiolepsis_pigmaea"	"Anthidium_sp1_M_PL_058"	"Oedemera_nobilis"	"Halictus_sp1_M_PL_058"	"Osmia_sp1_M_PL_058"	"Oedemera_barbara"	"Camponotus_aethiops"	"Hylaeus_sp2_M_PL_058"	"Trichodes_apiarius"	"Nomada_sp1_M_PL_058"	"Polistes_gallicum"	"Unidentified_sp37_M_PL_058"	"Unidentified_sp41_M_PL_058"	"Conophorus_virescens"	"Scolia_sp1_M_PL_058"	"Unidentified_sp46_M_PL_058"	"Halyctus_sp1_M_PL_058"	"Hylaeus_nigritus"	"Sphaerophoria_sp1_M_PL_058"	"Unidentified_sp42_M_PL_058"	"Callophrys_rubi"	"Sphecodes_sp1_M_PL_058"	"Anthophora_sp1_M_PL_058"	"Ceratina_cucurbitina"	"Unidentified_sp39_M_PL_058"	"Unidentified_sp53_M_PL_058"	"Unidentified_sp61_M_PL_058"	"Unidentified_sp64_M_PL_058"	"Unidentified_sp40_M_PL_058"	"Unidentified_sp45_M_PL_058"	"Unidentified_sp49_M_PL_058"	"Unidentified_sp62_M_PL_058"	"Vanesa_atlantica"	"Zygaena_sp1_M_PL_058"	"Cerceris_sp1_M_PL_058"	"Eucera_sp1_M_PL_058"	"Helorus_coruscus"	"Hylaeus_variegatus"	"Lassiopogon_sp1_M_PL_058"	"Megachile_sp1_M_PL_058"	"Papilion_machaon"	"Pieris_rapae"	"Pyronia_tithonus"	"Stenopterus_rufus"	"Unidentified_sp36_M_PL_058"	"Unidentified_sp44_M_PL_058"	"Unidentified_sp47_M_PL_058"	"Unidentified_sp48_M_PL_058"	"Unidentified_sp50_M_PL_058"	"Unidentified_sp51_M_PL_058"	"Unidentified_sp52_M_PL_058"	"Unidentified_sp54_M_PL_058"	"Unidentified_sp55_M_PL_058"	"Unidentified_sp56_M_PL_058"	"Unidentified_sp57_M_PL_058"	"Unidentified_sp58_M_PL_058"	"Unidentified_sp59_M_PL_058"	"Unidentified_sp60_M_PL_058"	"Unidentified_sp63_M_PL_058"
"Daucus_carota_carota"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00680272108843537	0.000680272108843537	0.0299319727891156	0.00204081632653061	0	0	0.000680272108843537	0.0197278911564626	0	0.00204081632653061	0.00204081632653061	0.00204081632653061	0.0129251700680272	0.00680272108843537	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00204081632653061	0.000680272108843537	0.00272108843537415	0.00272108843537415	0	0	0	0.00136054421768707	0	0.000680272108843537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00136054421768707	0	0	0	0	0	0	0	0	0	0	0	0	0.000680272108843537	0	0	0	0	0	0.000680272108843537	0	0	0.000680272108843537	0	0	0	0.000680272108843537	0	0
"Sonchus_tenerrinus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0380597014925373	0.00671641791044776	0	0.00671641791044776	0.00149253731343284	0.000746268656716418	0.00746268656716418	0.000746268656716418	0.000746268656716418	0.00298507462686567	0.00149253731343284	0.00522388059701493	0.00149253731343284	0.00149253731343284	0	0.00447761194029851	0	0	0.00298507462686567	0.000746268656716418	0	0	0	0	0	0	0	0.00373134328358209	0	0.00223880597014925	0.000746268656716418	0.00223880597014925	0	0.000746268656716418	0	0	0.000746268656716418	0	0	0	0.00149253731343284	0	0	0.000746268656716418	0	0	0	0	0	0	0.000746268656716418	0	0	0.00149253731343284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000746268656716418	0.000746268656716418	0	0	0	0	0	0	0	0	0	0
"Carpobrotus_sp1_M_PL_058"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00303030303030303	0.0053030303030303	0.0053030303030303	0.0159090909090909	0.0151515151515152	0.00378787878787879	0.0166666666666667	0.000757575757575758	0.0106060606060606	0.00227272727272727	0	0	0.000757575757575758	0	0.00606060606060606	0.00227272727272727	0	0	0	0	0	0.000757575757575758	0.00151515151515152	0	0.00151515151515152	0.000757575757575758	0.00151515151515152	0	0	0	0	0	0	0	0.00151515151515152	0	0	0	0.00227272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000757575757575758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000757575757575758	0	0	0	0	0	0	0.000757575757575758
"Opuntia_stricta"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000769230769230769	0.0253846153846154	0.00230769230769231	0	0.00461538461538462	0.00153846153846154	0	0.00307692307692308	0.0138461538461538	0.00153846153846154	0.0153846153846154	0.00230769230769231	0.00153846153846154	0	0	0	0	0.0115384615384615	0.00384615384615385	0	0	0	0	0.00384615384615385	0	0	0	0	0.00538461538461539	0	0	0	0	0	0	0	0.00153846153846154	0	0	0.00153846153846154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cistus_monspeliensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0184466019417476	0.00194174757281553	0.0029126213592233	0.0330097087378641	0.0135922330097087	0.00194174757281553	0.000970873786407767	0	0	0.000970873786407767	0.000970873786407767	0.00485436893203884	0	0	0.000970873786407767	0	0.0058252427184466	0	0.000970873786407767	0	0.000970873786407767	0	0.0029126213592233	0	0	0	0	0	0	0.000970873786407767	0	0	0	0	0	0	0	0.00194174757281553	0	0	0.00194174757281553	0	0	0.00194174757281553	0	0	0	0.000970873786407767	0	0	0	0	0	0	0	0	0	0	0	0.000970873786407767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lavandula_stoechas"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003125	0.0208333333333333	0	0	0.00104166666666667	0.0322916666666667	0	0	0	0	0	0.003125	0	0	0	0	0.003125	0	0	0	0.00833333333333333	0.00833333333333333	0	0.00104166666666667	0	0.003125	0	0	0	0	0	0	0	0	0	0.003125	0	0	0.00104166666666667	0	0	0	0.00208333333333333	0.00104166666666667	0.00208333333333333	0	0	0.00104166666666667	0	0.003125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00104166666666667	0	0	0.00104166666666667	0
"Cistus_salvifolius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0232876712328767	0.00273972602739726	0.00410958904109589	0.00410958904109589	0.0191780821917808	0	0.00958904109589041	0.00273972602739726	0	0.00136986301369863	0	0	0	0	0.00958904109589041	0	0.00136986301369863	0	0	0	0.00136986301369863	0	0.00547945205479452	0	0.00547945205479452	0	0.00136986301369863	0	0	0	0	0	0	0.00410958904109589	0	0.00136986301369863	0	0	0.00136986301369863	0	0	0.00136986301369863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cistus_albidus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0294117647058824	0.00784313725490196	0	0.0117647058823529	0.0117647058823529	0.0156862745098039	0.00196078431372549	0	0.00196078431372549	0.00196078431372549	0	0	0	0	0	0	0	0	0	0	0	0.00196078431372549	0	0	0.00392156862745098	0	0.00392156862745098	0	0	0	0	0	0	0.00196078431372549	0.00196078431372549	0	0	0	0	0	0	0.00196078431372549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00196078431372549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Urospermum_picrioides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0295454545454545	0	0.0136363636363636	0.0136363636363636	0.00227272727272727	0	0.00227272727272727	0	0	0.00681818181818182	0.00227272727272727	0.00227272727272727	0	0	0	0.00681818181818182	0	0	0.00681818181818182	0.00227272727272727	0	0	0	0	0.00454545454545455	0.00227272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00227272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00227272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rosmarinus_officinalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00277777777777778	0.0444444444444444	0	0	0.00277777777777778	0.00833333333333333	0	0	0	0	0	0.00277777777777778	0	0	0	0	0.0111111111111111	0	0	0.00277777777777778	0.00555555555555556	0	0	0	0	0	0	0	0	0	0	0.00277777777777778	0	0	0	0	0	0	0	0	0.00277777777777778	0.00833333333333333	0.00555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
