"Pandanus_barklyi"	"Syzygium_coriaceum"	"Pittosporum_senacia"	"Aphloia_theiformis"	"Gaertnera_sp1_M_PL_067"	"Tabernaemontana_persicarifolia"	"Diospyros_revaughanii"	"Psiadia_terebinthina"	"Stillingia_lineata"	"Gaertnera_rotundifolia"	"Euodia_obtusifolia"	"Turraea_rigida"	"Gaertnera_petrinensis"	"Labourdonnaisia_callophylloides"	"Phyllanthus_phillyreifolius"	"Euodia_chapelieri"	"Ochna_mauritiana"	"Cordemoya_integrifolia"	"Smilax_anceps"	"Apis_mellifera"	"Nacoleia_sp1_M_PL_067"	"Technomyrmex_albipes"	"Villa_unifasciata"	"Phorinia_sp1_M_PL_067"	"Paragus_borbonicus"	"Pachycerina_crinicornis"	"Phelsuma_cepediana"	"Chrysomya_megacephala"	"Hippotion_eson"	"Nogodinidae_sp1_M_PL_067"	"Brachymyrmex_sp1_M_PL_067"	"Lecithoceridae_sp1_M_PL_067"	"Episyrphus_sp1_M_PL_067"	"Eristalinus_flaveolus"	"Ischiodon_aegyptius"	"Musca_domestica"	"Nacoleia_sp2_M_PL_067"	"Syritta_sp1_M_PL_067"	"Allograpta_nasuta"	"Cephonodes_trochilus"	"Fannia_pusio"	"Lygaeidae_sp1_M_PL_067"	"Melanagromyza_sojae"	"Pheidole_megacephala"	"Sarrothripinae_sp1_M_PL_067"	"Stomorhina_lunata"	"Zosterops_mauritianus"
"Pandanus_barklyi"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0915492957746479	0	0	0	0	0	0	0.0028169014084507	0	0	0	0	0	0.0028169014084507	0	0.0028169014084507	0	0	0	0	0	0	0	0	0	0	0	0
"Syzygium_coriaceum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0340425531914894	0.025531914893617	0.0234042553191489	0.00638297872340425	0	0.00638297872340425	0	0	0	0	0	0.00212765957446809	0	0.00212765957446809	0	0	0	0	0	0	0	0	0	0	0
"Pittosporum_senacia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0222222222222222	0.00222222222222222	0.0555555555555556	0.00666666666666667	0.00222222222222222	0	0.00666666666666667	0	0.00222222222222222	0	0	0	0	0	0.00222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aphloia_theiformis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0121212121212121	0	0.0545454545454545	0.0272727272727273	0.00606060606060606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gaertnera_sp1_M_PL_067"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065	0	0.005	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0
"Tabernaemontana_persicarifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0842105263157895	0	0	0	0	0	0	0	0	0	0	0.0105263157894737	0	0	0	0	0	0	0	0	0	0	0	0	0.00526315789473684	0	0
"Diospyros_revaughanii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0111111111111111	0.0777777777777778	0	0	0	0	0	0.00555555555555556	0	0	0	0	0.00555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Psiadia_terebinthina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00666666666666667	0.0133333333333333	0.00666666666666667	0.0266666666666667	0	0.00666666666666667	0	0	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0.00666666666666667	0	0	0	0	0
"Stillingia_lineata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00666666666666667	0.00666666666666667	0.00666666666666667	0	0.00666666666666667	0	0	0.0266666666666667	0	0	0	0	0.00666666666666667	0	0.0133333333333333	0.00666666666666667	0	0.00666666666666667	0	0.00666666666666667	0	0	0.00666666666666667	0
"Gaertnera_rotundifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Euodia_obtusifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0222222222222222	0.0666666666666667	0.0111111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
