"Sideroxylon_cinereum"	"Homalanthus_populifolius"	"Croton_fothergillifolius"	"Toddalia_asiatica"	"Aphloia_theiformis"	"Erythroxylum_macrocarpum"	"Psiadia_terebinthina"	"Antirhea_borbonica"	"Doratoxylon_apetalum"	"Dodonaea_viscosa"	"Trochetia_blackburniana"	"Chaetocnema_sp1_M_PL_073"	"Fannia_pusio"	"Apis_mellifera"	"Stomorhina_lunata"	"Melanostoma_annulipes"	"Musca_domestica"	"Stomoxys_calcitrans"	"Dysauxes_florida"	"Nacoleia_sp2_M_PL_073"	"Pachycerina_crinicornis"	"Episyrphus_sp1_M_PL_073"	"Gelechioidea_sp1_M_PL_073"	"Mauritiborium_undulatus"	"Technomyrmex_albipes"	"Allograpta_nasuta"	"Chrysomya_megacephala"	"Nacoleia_sp1_M_PL_073"	"Stomoxys_niger"	"Cotesia_sp1_M_PL_073"	"Orthellia_albigena"	"Cheloninae_sp1_M_PL_073"	"Henotesia_narcissus"	"Hydrotaea_fuliginosa"	"Lygistorrhina_sp1_M_PL_073"	"Melanostoma_bituberculatum"	"Panara_naso"	"Sapromyza_sp1_M_PL_073"	"Scopariinae_sp1_M_PL_073"	"Zosterops_mauritianus"	"Brachymyrmex_sp1_M_PL_073"	"Cixiidae_sp1_M_PL_073"	"Lecithoceridae_sp1_M_PL_073"	"Melanagromyza_sojae"	"Polistes_hebraeus"	"Psyllidae_sp1_M_PL_073"	"Scirtidae_sp1_M_PL_073"	"Thelairodrino_sp1_M_PL_073"
"Sideroxylon_cinereum"	0	0	0	0	0	0	0	0	0	0	0	0	0.0139240506329114	0.030379746835443	0.010126582278481	0.00632911392405063	0.0139240506329114	0.00506329113924051	0	0	0.00126582278481013	0	0.00126582278481013	0	0	0.00379746835443038	0.00126582278481013	0	0	0	0.00379746835443038	0	0.00253164556962025	0	0	0	0	0	0.00126582278481013	0.00253164556962025	0	0	0.00126582278481013	0.00126582278481013	0	0	0	0
"Homalanthus_populifolius"	0	0	0	0	0	0	0	0	0	0	0	0.0384615384615385	0.0333333333333333	0	0.00641025641025641	0.00384615384615385	0	0	0	0	0	0.00384615384615385	0	0.00384615384615385	0	0	0	0.00128205128205128	0.00256410256410256	0.00384615384615385	0	0	0	0.00256410256410256	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Croton_fothergillifolius"	0	0	0	0	0	0	0	0	0	0	0	0.046	0	0.002	0.004	0.002	0.002	0.012	0	0	0.004	0	0.01	0	0	0.004	0.004	0.002	0	0	0	0	0	0	0	0	0.002	0	0.002	0	0	0	0	0	0	0	0.002	0.002
"Toddalia_asiatica"	0	0	0	0	0	0	0	0	0	0	0	0.024390243902439	0.00731707317073171	0	0.0170731707317073	0.00975609756097561	0	0	0.0121951219512195	0	0.0121951219512195	0	0	0	0	0.0024390243902439	0.00487804878048781	0.00487804878048781	0	0	0	0	0	0	0	0	0	0.0024390243902439	0	0	0.0024390243902439	0	0	0	0	0	0	0
"Aphloia_theiformis"	0	0	0	0	0	0	0	0	0	0	0	0.0175	0	0.02	0.0025	0.0175	0.0075	0.01	0	0	0.005	0	0	0	0.0075	0.0025	0.0025	0	0	0	0	0	0	0	0	0	0.0025	0.0025	0	0	0	0	0	0	0.0025	0	0	0
"Erythroxylum_macrocarpum"	0	0	0	0	0	0	0	0	0	0	0	0.0297297297297297	0	0	0.0027027027027027	0.00540540540540541	0	0.0027027027027027	0.00540540540540541	0	0	0.00540540540540541	0.00810810810810811	0.0108108108108108	0.0135135135135135	0	0	0	0.0027027027027027	0	0	0	0	0	0.00540540540540541	0.00540540540540541	0	0	0	0	0	0	0	0	0	0.0027027027027027	0	0
"Psiadia_terebinthina"	0	0	0	0	0	0	0	0	0	0	0	0.00333333333333333	0	0.00333333333333333	0.0266666666666667	0.01	0	0.00333333333333333	0.0266666666666667	0.00666666666666667	0	0.00333333333333333	0	0.00333333333333333	0	0	0.00333333333333333	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Antirhea_borbonica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Doratoxylon_apetalum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0.0375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dodonaea_viscosa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0142857142857143	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0	0.0142857142857143	0	0	0.0285714285714286	0	0	0	0	0	0	0	0	0	0.0142857142857143	0	0	0	0	0	0
"Trochetia_blackburniana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chaetocnema_sp1_M_PL_073"	0	0.0365853658536585	0.0280487804878049	0.0121951219512195	0.00853658536585366	0.0134146341463415	0.00121951219512195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Fannia_pusio"	0.0275	0.065	0	0.0075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.0631578947368421	0	0.00263157894736842	0	0.0210526315789474	0	0.00263157894736842	0	0	0	0.0105263157894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stomorhina_lunata"	0.0216216216216216	0.0135135135135135	0.00540540540540541	0.0189189189189189	0.0027027027027027	0.0027027027027027	0.0216216216216216	0	0.0135135135135135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Melanostoma_annulipes"	0.0192307692307692	0.0115384615384615	0.00384615384615385	0.0153846153846154	0.0269230769230769	0.00769230769230769	0.0115384615384615	0	0	0.00384615384615385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Musca_domestica"	0.0647058823529412	0	0.00588235294117647	0	0.0176470588235294	0	0	0	0	0.0117647058823529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stomoxys_calcitrans"	0.025	0	0.0375	0	0.025	0.00625	0.00625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dysauxes_florida"	0	0	0	0.0333333333333333	0	0.0133333333333333	0.0533333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nacoleia_sp2_M_PL_073"	0	0	0	0	0	0	0.0142857142857143	0.0857142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pachycerina_crinicornis"	0.01	0	0.02	0.05	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Episyrphus_sp1_M_PL_073"	0	0.0333333333333333	0	0	0	0.0222222222222222	0.0111111111111111	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gelechioidea_sp1_M_PL_073"	0.0111111111111111	0	0.0555555555555556	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mauritiborium_undulatus"	0	0.0375	0	0	0	0.05	0.0125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Technomyrmex_albipes"	0	0	0	0	0.0375	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Allograpta_nasuta"	0.0428571428571429	0	0.0285714285714286	0.0142857142857143	0.0142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chrysomya_megacephala"	0.0142857142857143	0	0.0285714285714286	0.0285714285714286	0.0142857142857143	0	0.0142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nacoleia_sp1_M_PL_073"	0	0.0142857142857143	0.0142857142857143	0.0285714285714286	0	0	0	0.0428571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stomoxys_niger"	0	0.0285714285714286	0	0	0	0.0142857142857143	0.0428571428571429	0	0	0.0142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
