"Medusagyne_oppositifolia"	"Nephrosperma_vanhoutteanum"	"Deckenia_nobilis"	"Psychotria_pervillei"	"Phoenicophorium_borsigianum"	"Erythroxylum_sechellarum"	"Syzygium_wrightii"	"Diospyros_seychellarum"	"Memecylon_eleagni"	"Mimusops_sechellarum"	"Canthium_bibracteatum"	"Timonius_sechellensis"	"Apis_mellifera"	"Lasioglossum_mahense"	"Ornidia_obesa"	"Nectarinia_dussumieri"	"Phelsuma_sp1_M_PL_088"	"Neophyllomyza_approximatonervis"	"Hemipyrellia_germana"	"Megachile_seychellensis"	"Geron_seychellarum"	"Unidentified_sp2_M_PL_088"	"Mabuya_sechellensis"	"Musca_domestica"	"Parasarcophaga_hirticeps"	"Rhiparida_seychellensis"	"Rhynchium_brunneum"	"Cratopus_aurostriatus"	"Eristalinus_vicarians"	"Hemipyrellia_sp1_M_PL_088"	"Lampides_boeticus"	"Lygistorrhina_sp1_M_PL_088"	"Scaptodrosophila_sp1_M_PL_088"	"Unidentified_sp1_M_PL_088"
"Medusagyne_oppositifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0.0610169491525424	0	0.0169491525423729	0	0	0	0.00847457627118644	0	0	0	0	0.00338983050847458	0.00169491525423729	0	0.00338983050847458	0	0.00169491525423729	0.00169491525423729	0	0	0.00169491525423729	0
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.0363636363636364	0.00545454545454545	0	0.00363636363636364	0.00909090909090909	0.00363636363636364	0.00727272727272727	0.00363636363636364	0.00545454545454545	0	0	0.00181818181818182	0	0	0	0	0	0	0.00181818181818182	0	0.00181818181818182
"Deckenia_nobilis"	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0.008	0.004	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Psychotria_pervillei"	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0.008	0.008	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phoenicophorium_borsigianum"	0	0	0	0	0	0	0	0	0	0	0	0	0.0263157894736842	0.0368421052631579	0	0	0.0105263157894737	0.0105263157894737	0	0	0	0	0	0	0	0.0105263157894737	0	0.00526315789473684	0	0	0	0	0	0
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0	0	0	0	0	0	0.0470588235294118	0.0411764705882353	0	0	0	0	0	0	0.00588235294117647	0	0	0	0	0	0	0	0	0	0.00588235294117647	0	0	0
"Syzygium_wrightii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0833333333333333	0	0	0	0	0	0	0.0166666666666667	0	0	0	0	0	0	0	0	0	0	0
"Diospyros_seychellarum"	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Memecylon_eleagni"	0	0	0	0	0	0	0	0	0	0	0	0	0.0666666666666667	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mimusops_sechellarum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
