"Phoenicophorium_borsigianum"	"Nephrosperma_vanhoutteanum"	"Erythroxylum_sechellarum"	"Memecylon_eleagni"	"Canthium_bibracteatum"	"Alstonia_macrophylla"	"Lasioglossum_mahense"	"Rhiparida_seychellensis"	"Apis_mellifera"	"Phelsuma_sp1_M_PL_097"	"Unidentified_sp1_M_PL_097"	"Cratopus_aurostriatus"	"Eagris_sabadius"	"Hemipyrellia_germana"	"Hemipyrellia_sp1_M_PL_097"	"Neophyllomyza_approximatonervis"	"Rhynchium_brunneum"
"Phoenicophorium_borsigianum"	0	0	0	0	0	0	0.0178082191780822	0.0794520547945206	0	0	0	0.00136986301369863	0	0	0.00136986301369863	0	0
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0.0758064516129032	0	0.017741935483871	0.00483870967741936	0	0	0	0.00161290322580645	0	0	0
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0.0621621621621622	0	0.0297297297297297	0	0.00810810810810811	0	0	0	0	0	0
"Memecylon_eleagni"	0	0	0	0	0	0	0.0583333333333333	0	0.0333333333333333	0	0	0.00833333333333333	0	0	0	0	0
"Canthium_bibracteatum"	0	0	0	0	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0.0333333333333333	0.0333333333333333
"Alstonia_macrophylla"	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0
"Lasioglossum_mahense"	0.0142857142857143	0.0516483516483517	0.0252747252747253	0.00769230769230769	0.0010989010989011	0	0	0	0	0	0	0	0	0	0	0	0
"Rhiparida_seychellensis"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0	0.0423076923076923	0.0423076923076923	0.0153846153846154	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phelsuma_sp1_M_PL_097"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_097"	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cratopus_aurostriatus"	0.05	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eagris_sabadius"	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_germana"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_sp1_M_PL_097"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neophyllomyza_approximatonervis"	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0
"Rhynchium_brunneum"	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0
