"Canthium_bibracteatum"	"Nephrosperma_vanhoutteanum"	"Psidium_cattleianum"	"Premna_serratifolia"	"Paragenipa_wrightii"	"Paraserianthes_falcataria"	"Ochna_kirkii"	"Memecylon_eleagni"	"Apis_mellifera"	"Lasioglossum_mahense"	"Hemipyrellia_germana"	"Ornidia_obesa"	"Xylocopa_caffra"	"Unidentified_sp2_M_PL_111"	"Megachile_seychellensis"	"Physiphoa_azurea"	"Lygistorrhina_sp1_M_PL_111"	"Neophyllomyza_approximatonervis"	"Unidentified_sp1_M_PL_111"	"Phelsuma_sp1_M_PL_111"	"Hemipyrellia_sp1_M_PL_111"	"Parasarcophaga_hirticeps"	"Leptotes_pirithous"	"Nectarinia_dussumieri"	"Polistes_olivaceus"	"Unidentified_sp3_M_PL_111"	"Unidentified_sp4_M_PL_111"
"Canthium_bibracteatum"	0	0	0	0	0	0	0	0	0.0611764705882353	0.02	0.0105882352941176	0.00117647058823529	0	0	0	0.00705882352941176	0	0	0	0	0	0	0	0	0	0	0
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0	0	0.0192771084337349	0.0373493975903614	0	0.00120481927710843	0	0.0120481927710843	0.00843373493975904	0	0.0036144578313253	0.00481927710843374	0.00481927710843374	0.0036144578313253	0	0	0.00120481927710843	0	0.00120481927710843	0.00120481927710843	0.00120481927710843
"Psidium_cattleianum"	0	0	0	0	0	0	0	0	0.0365384615384615	0	0.0269230769230769	0.0346153846153846	0.00192307692307692	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Premna_serratifolia"	0	0	0	0	0	0	0	0	0	0.065625	0.015625	0	0	0	0.003125	0	0.003125	0	0	0	0.00625	0.00625	0	0	0	0	0
"Paragenipa_wrightii"	0	0	0	0	0	0	0	0	0.01875	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00625	0	0	0
"Paraserianthes_falcataria"	0	0	0	0	0	0	0	0	0.0714285714285714	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ochna_kirkii"	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Memecylon_eleagni"	0	0	0	0	0	0	0	0	0.0285714285714286	0.0714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.0509803921568627	0.0156862745098039	0.0186274509803922	0	0.00294117647058824	0.00980392156862745	0	0.00196078431372549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0.0188888888888889	0.0344444444444444	0	0.0233333333333333	0.0133333333333333	0.00444444444444444	0	0.00555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_germana"	0.0321428571428571	0	0.05	0.0178571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ornidia_obesa"	0.005	0.005	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Xylocopa_caffra"	0	0	0.00909090909090909	0	0	0	0.0909090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp2_M_PL_111"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megachile_seychellensis"	0	0.0875	0	0.0125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Physiphoa_azurea"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lygistorrhina_sp1_M_PL_111"	0	0.075	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neophyllomyza_approximatonervis"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_111"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phelsuma_sp1_M_PL_111"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_sp1_M_PL_111"	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Parasarcophaga_hirticeps"	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptotes_pirithous"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nectarinia_dussumieri"	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Polistes_olivaceus"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp3_M_PL_111"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp4_M_PL_111"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
