"Nephrosperma_vanhoutteanum"	"Chrysobalanus_icaco"	"Memecylon_eleagni"	"Erythroxylum_sechellarum"	"Dillenia_ferruginea"	"Phoenicophorium_borsigianum"	"Northea_hornei"	"Roscheria_melanochaetes"	"Campnosperma_seychellarum"	"Psychotria_pervillei"	"Apis_mellifera"	"Lasioglossum_mahense"	"Unidentified_sp2_M_PL_121"	"Rhiparida_seychellensis"	"Neophyllomyza_approximatonervis"	"Phelsuma_sp1_M_PL_121"	"Unidentified_sp4_M_PL_121"	"Unidentified_sp6_M_PL_121"	"Unidentified_sp1_M_PL_121"	"Hemipyrellia_germana"	"Ornidia_obesa"	"Unidentified_sp3_M_PL_121"	"Cratopus_aurostriatus"	"Polistes_olivaceus"	"Simosyrphus_aegyptius"	"Unidentified_sp5_M_PL_121"	"Forcipomyia_litoraurea"	"Forcipomyia_sp1_M_PL_121"	"Lygistorrhina_sp1_M_PL_121"	"Nectarinia_dussumieri"	"Pachycerina_seychellensis"	"Unidentified_sp7_M_PL_121"	"Xylocopa_caffra"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0	0	0	0	0.0194029850746269	0.0149253731343284	0.0447761194029851	0.00746268656716418	0.00447761194029851	0.00149253731343284	0	0	0	0.00149253731343284	0	0	0.00149253731343284	0.00149253731343284	0	0.00149253731343284	0	0	0.00149253731343284	0	0	0	0
"Chrysobalanus_icaco"	0	0	0	0	0	0	0	0	0	0	0.085	0	0	0	0	0	0	0	0	0.005	0.005	0	0	0.005	0	0	0	0	0	0	0	0	0
"Memecylon_eleagni"	0	0	0	0	0	0	0	0	0	0	0.07	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0	0	0	0	0.0473684210526316	0.0263157894736842	0	0	0	0	0	0.0263157894736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dillenia_ferruginea"	0	0	0	0	0	0	0	0	0	0	0.0235294117647059	0.0411764705882353	0	0.0117647058823529	0	0	0	0	0	0.00588235294117647	0.00588235294117647	0	0	0	0	0	0	0	0	0	0.00588235294117647	0	0.00588235294117647
"Phoenicophorium_borsigianum"	0	0	0	0	0	0	0	0	0	0	0	0.0230769230769231	0	0	0.00769230769230769	0.00769230769230769	0.0307692307692308	0	0	0	0.00769230769230769	0	0.00769230769230769	0	0	0.00769230769230769	0	0	0	0	0	0.00769230769230769	0
"Northea_hornei"	0	0	0	0	0	0	0	0	0	0	0.0727272727272727	0	0	0	0	0.0181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00909090909090909	0	0	0
"Roscheria_melanochaetes"	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0.01	0	0	0	0	0.03	0	0	0	0	0.01	0.01	0	0	0	0	0
"Campnosperma_seychellarum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Psychotria_pervillei"	0	0	0	0	0	0	0	0	0	0	0.0666666666666667	0	0	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.0194029850746269	0.0253731343283582	0.0208955223880597	0.0134328358208955	0.00597014925373134	0	0.0119402985074627	0	0	0.00298507462686567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0.032258064516129	0	0.0129032258064516	0.0161290322580645	0.0225806451612903	0.00967741935483871	0	0.00645161290322581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp2_M_PL_121"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhiparida_seychellensis"	0.0625	0	0	0	0.025	0	0	0	0.0125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neophyllomyza_approximatonervis"	0.05	0	0	0	0	0.0166666666666667	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phelsuma_sp1_M_PL_121"	0.02	0	0	0	0	0.02	0.04	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp4_M_PL_121"	0	0	0	0	0	0.08	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp6_M_PL_121"	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_121"	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_germana"	0.0333333333333333	0.0333333333333333	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ornidia_obesa"	0	0.0333333333333333	0	0	0.0333333333333333	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp3_M_PL_121"	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cratopus_aurostriatus"	0.05	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Polistes_olivaceus"	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Simosyrphus_aegyptius"	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp5_M_PL_121"	0.05	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Forcipomyia_litoraurea"	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Forcipomyia_sp1_M_PL_121"	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
