"Fuchsia_regia"	"Gaylussacia_brasiliensis"	"Aechmea_cylindrata"	"Nematanthus_australis"	"Vriesea_altodaserrae"	"Aegiphila_obducta"	"Nidularium_inocentii"	"Thalurania_glaucopis"	"Clytolaema_rubricauda"	"Stephanoxis_lalandi"	"Amazilia_versicolor"
"Fuchsia_regia"	0	0	0	0	0	0	0	0.048813056379822	0.05	0.00118694362017804	0
"Gaylussacia_brasiliensis"	0	0	0	0	0	0	0	0	0	0.1	0
"Aechmea_cylindrata"	0	0	0	0	0	0	0	0.0313432835820896	0.00373134328358209	0.0477611940298507	0.0171641791044776
"Nematanthus_australis"	0	0	0	0	0	0	0	0.083969465648855	0.00763358778625954	0.0083969465648855	0
"Vriesea_altodaserrae"	0	0	0	0	0	0	0	0.0555555555555556	0.0444444444444444	0	0
"Aegiphila_obducta"	0	0	0	0	0	0	0	0	0.1	0	0
"Nidularium_inocentii"	0	0	0	0	0	0	0	0.1	0	0	0
"Thalurania_glaucopis"	0.0675564681724846	0	0.00862422997946612	0.0225872689938398	0.00102669404517454	0	0.000205338809034908	0	0	0	0
"Clytolaema_rubricauda"	0.0930939226519337	0	0.00138121546961326	0.00276243093922652	0.00110497237569061	0.00165745856353591	0	0	0	0	0
"Stephanoxis_lalandi"	0.00321285140562249	0.0666666666666667	0.0257028112449799	0.00441767068273092	0	0	0	0	0	0	0
"Amazilia_versicolor"	0	0	0.1	0	0	0	0	0	0	0	0
