"Sorex_araneus"	"Clethrionomys_glareolus"	"Talpa_europaea"	"Microtus_oeconomus"	"Apodemus_uralensis"	"Clethrionomys_rutilus"	"Microtus_arvalis"	"Sorex_caecutiens"	"Apodemus_agrarius"	"Sciurus_vulgaris"	"Sorex_minutus"	"Microtus_agrestis"	"Neomys_fodiens"	"Myopus_schisticolor"	"Micromys_minutus"	"Palaeopsylla_soricis"	"Ctenophthalmus_uncinatus"	"Doratopsylla_dasycnema"	"Megabothris_turbidus"	"Ctenophthalmus_bisoctodentatus"	"Ctenophthalmus_agyrtes"	"Peromyscopsylla_bidentata"	"Amalaraeus_penicilliger"	"Palaeopsylla_kohauti"	"Megabothris_walkeri"	"Hystrichopsylla_talpae"	"Amphipsylla_rossica"	"Peromyscopsylla_silvatica"	"Ctenophthalmus_assimilis"	"Megabothris_rectangulatus"	"Ceratophyllus_sciurorum"	"Tarsopsylla_octodecimdentata"	"Corrodopsylla_birulai"	"Ceratophyllus_indages"	"Rhadinopsylla_integella"	"Leptopsylla_segnis"
"Sorex_araneus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.295430107526882	0.0150537634408602	0.162903225806452	0.0032258064516129	0.000537634408602151	0.00752688172043011	0.00188172043010753	0.000806451612903226	0.000537634408602151	0.000537634408602151	0.00913978494623656	0	0	0.000537634408602151	0	0	0	0.00161290322580645	0	0.000268817204301075	0
"Clethrionomys_glareolus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006087437742114	0.201715550636414	0.003043718871057	0.0971223021582734	0.00110680686220255	0.0392916436081904	0.0500830105146652	0.0536801328168235	0	0.00747094631986718	0.00387382401770891	0.00332042058660764	0.0196458218040952	0.00498063087991146	0.00774764803541782	0	0	0	0	0.000830105146651909	0
"Talpa_europaea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0121212121212121	0.00909090909090909	0.00151515151515152	0.000505050505050505	0.276262626262626	0.0737373737373737	0	0.000505050505050505	0.11010101010101	0.000505050505050505	0.00858585858585859	0	0	0.00656565656565657	0	0	0	0.000505050505050505	0	0	0
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00607287449392713	0.0587044534412955	0	0.0101214574898785	0	0.115384615384615	0.00202429149797571	0	0	0.293522267206478	0	0.0121457489878543	0	0	0	0	0	0.00202429149797571	0	0	0
"Apodemus_uralensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00490196078431373	0.0931372549019608	0.00490196078431373	0.245098039215686	0	0.137254901960784	0.00245098039215686	0	0	0.00490196078431373	0	0.00245098039215686	0	0.00245098039215686	0	0	0	0	0	0	0.00245098039215686
"Clethrionomys_rutilus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122159090909091	0	0.0653409090909091	0	0.0284090909090909	0.125	0.0738636363636364	0	0	0.0369318181818182	0	0.0397727272727273	0	0.00852272727272727	0	0	0	0	0	0
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00396825396825397	0.0198412698412698	0	0.0515873015873016	0.00793650793650794	0.0158730158730159	0.0357142857142857	0.00396825396825397	0	0.00396825396825397	0.0357142857142857	0.297619047619048	0	0.0198412698412698	0	0	0	0	0	0	0.00396825396825397
"Sorex_caecutiens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142857142857143	0.00892857142857143	0.330357142857143	0	0	0.00446428571428571	0.00892857142857143	0	0	0	0.00446428571428571	0	0	0	0	0	0	0	0	0	0
"Apodemus_agrarius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00917431192660551	0.055045871559633	0	0.224770642201835	0	0.137614678899083	0	0	0	0.00917431192660551	0.0275229357798165	0.018348623853211	0	0.0137614678899083	0.00458715596330275	0	0	0	0	0	0
"Sciurus_vulgaris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00714285714285714	0	0	0.0142857142857143	0	0	0.00714285714285714	0	0.00714285714285714	0	0	0	0	0	0.214285714285714	0.157142857142857	0	0.0928571428571429	0	0
"Sorex_minutus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.272727272727273	0.0227272727272727	0.151515151515152	0	0.0227272727272727	0	0	0.00757575757575758	0	0	0.0227272727272727	0	0	0	0	0	0	0	0	0	0
"Microtus_agrestis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0701754385964912	0	0.131578947368421	0	0.0526315789473684	0.0789473684210526	0	0	0.114035087719298	0.043859649122807	0.0087719298245614	0	0	0	0	0	0	0	0	0
"Neomys_fodiens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714285714	0.0238095238095238	0.0714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19047619047619	0	0	0
"Myopus_schisticolor"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0.0625	0	0	0	0	0.125	0	0	0.125	0	0	0	0	0.0625	0	0	0	0	0	0
"Micromys_minutus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142857142857143	0	0	0.142857142857143	0	0.0714285714285714	0	0	0	0	0.142857142857143	0	0	0	0	0	0	0	0	0	0
"Palaeopsylla_soricis"	0.445299837925446	0.00891410048622366	0.00972447325769854	0.00121555915721232	0.000810372771474878	0	0.000405186385737439	0.0129659643435981	0.000810372771474878	0	0.0145867098865478	0	0.00364667747163695	0.000810372771474878	0.000810372771474878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_uncinatus"	0.0295983086680761	0.385306553911205	0.00951374207188161	0.0153276955602537	0.0200845665961945	0.0227272727272727	0.00264270613107822	0.00105708245243129	0.00634249471458774	0.000528541226215645	0.00158562367864693	0.00422832980972516	0.000528541226215645	0.000528541226215645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Doratopsylla_dasycnema"	0.421418636995828	0.00764951321279555	0.00208623087621697	0	0.00139082058414465	0	0	0.0514603616133519	0	0	0.0139082058414465	0	0.00208623087621697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_turbidus"	0.010507880910683	0.307355516637478	0.000875656742556918	0.00437828371278459	0.0875656742556918	0.0201401050788091	0.0113835376532399	0	0.042907180385289	0	0	0.0131348511383538	0	0	0.00175131348511384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_bisoctodentatus"	0.00178571428571429	0.00357142857142857	0.488392857142857	0	0	0	0.00178571428571429	0	0	0.00178571428571429	0.00267857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_agyrtes"	0.0291060291060291	0.147609147609148	0.151767151767152	0.0592515592515593	0.0582120582120582	0.0103950103950104	0.00415800415800416	0.00103950103950104	0.0311850311850312	0	0	0.00623700623700624	0	0	0.00103950103950104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
