"Agropyron_smithii"	"Amaranthus_retroflexus"	"Ambrosia_psilostachya"	"Andropogon_hallii"	"Argemone_intermedia"	"Aristida_longiseta"	"Artemisia_filifolia"	"Astragalus_spp."	"Asclepias_pumila"	"Bouteloua_gracilis"	"Bromus_tectorum"	"Buchloe_dactyloides"	"Calamovilfa_longifolia"	"Carex_heliophila"	"Chenopodium_album"	"Cirsium_undulatum"	"Croton_texensis"	"Eriogonum_annum"	"Euphorbia_spp."	"Evolvulus_nuttallianus"	"Festuca_octoflora"	"Ipamoea_leptophylla"	"Juncus_balticus"	"Lepidium_densiflorum"	"Lesquerella_ludoviciana"	"Lithospermum_incisum"	"Lupinus_pussilus"	"Medicago_sativa"	"Melilotus_alba"	"Other_grasses"	"Other_forbs"	"Paspalum_stramineum"	"Penstemon_aIbidus"	"Psoralea_lanceolata"	"Psoralea_tenuiflora"	"Solanum_rostratum"	"Sphaeralcea_coccinea"	"Sporobolus_cryptandrus"	"Stipa_comata"	"Tradescantia_occidentalis"	"Ageneotettix_deorum"	"Amphitornus_coloradus"	"Cordillacris_occipitalis"	"Eritettix_simplex"	"Mermiria_maculipennis"	"Melanoplus_angustipennis"	"Melanoplus_confusus"	"Melanoplus_foedus"	"Arphia_conspersa"	"Arphia_pseudonictana"	"Pardalophora_apiculata"	"Spharagemon_collare"	"Trachyrhachys_kiowa"	"Xanthippus_corallipes"
"Agropyron_smithii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0261627906976744	0.00581395348837209	0.0406976744186047	0.00290697674418605	0.0145348837209302	0.00872093023255814	0.0174418604651163	0.00872093023255814	0.0843023255813953	0.0465116279069767	0.0726744186046512	0.0813953488372093	0.00290697674418605	0.0872093023255814
"Amaranthus_retroflexus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0384615384615385	0.0384615384615385	0	0	0.0769230769230769	0.307692307692308	0	0.0384615384615385
"Ambrosia_psilostachya"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.0384615384615385	0.173076923076923	0	0	0	0.0192307692307692	0	0.0192307692307692
"Andropogon_hallii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157894736842105	0.0263157894736842	0.0263157894736842	0	0.105263157894737	0	0.0526315789473684	0.105263157894737	0	0.0263157894736842
"Argemone_intermedia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0.333333333333333	0	0	0	0	0	0
"Aristida_longiseta"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0
"Artemisia_filifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0789473684210526	0.315789473684211	0.105263157894737	0	0	0	0	0	0
"Astragalus_spp."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.285714285714286	0.0714285714285714	0.142857142857143	0	0	0	0	0	0
"Asclepias_pumila"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0
"Bouteloua_gracilis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0507246376811594	0.0990338164251208	0.0615942028985507	0.0434782608695652	0.0471014492753623	0.0072463768115942	0.00120772946859903	0.0072463768115942	0.0181159420289855	0.0072463768115942	0.00120772946859903	0.0253623188405797	0.109903381642512	0.0205314009661836
