"Toddalia_asiatica"	"Aphloia_theiformis"	"Geniostoma_borbonicum"	"Sideroxylon_cinereum"	"Roussea_simplex"	"Psiadia_terebinthina"	"Croton_fothergillifolius"	"Erythroxylum_macrocarpum"	"Claoxylon_linostachys"	"Antirhea_borbonica"	"Dodonaea_viscosa"	"Molinaea_alternifolia"	"Stomorhina_lunata"	"Apis_mellifera"	"Pachycerina_crinicornis"	"Melanostoma_annulipes"	"Chrysomya_megacephala"	"Stomoxys_niger"	"Henotesia_narcissus"	"Stomoxys_calcitrans"	"Fannia_pusio"	"Brachymyrmex_sp1_M_PL_061"	"Musca_domestica"	"Chaetocnema_sp1_M_PL_061"	"Phorinia_sp1_M_PL_061"	"Allograpta_nasuta"	"Technomyrmex_albipes"	"Zosterops_mauritianus"	"Eristalinus_flaveolus"	"Polistes_hebraeus"	"Psilopa_iceryae"	"Leptotes_pirithous"	"Allograpta_sp1_M_PL_061"	"Melanagromyza_sojae"	"Nacoleia_sp1_M_PL_061"	"Lygistorrhina_sp1_M_PL_061"	"Sarcophaga_arno"	"Acopsis_viridicans"	"Atherigona_sp1_M_PL_061"	"Dasytinae_sp1_M_PL_061"	"Dysauxes_florida"	"Episyrphus_sp1_M_PL_061"	"Homoneura_sp1_M_PL_061"	"Nacoleia_sp2_M_PL_061"	"Orthellia_albigena"	"Paragus_borbonicus"	"Pelecophora_intemipta"	"Sapromyza_sp1_M_PL_061"	"Sepsis_lateralis"	"Unidentified_sp1_M_PL_061"
"Toddalia_asiatica"	0	0	0	0	0	0	0	0	0	0	0	0	0.212765957446809	0	0.0957446808510638	0.0177304964539007	0.0460992907801418	0	0.00354609929078014	0	0.024822695035461	0	0.00709219858156028	0.00354609929078014	0.0319148936170213	0	0.00354609929078014	0	0.00354609929078014	0	0.0283687943262411	0.0106382978723404	0	0.00709219858156028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00354609929078014	0
"Aphloia_theiformis"	0	0	0	0	0	0	0	0	0	0	0	0	0.0742574257425743	0.222772277227723	0.00495049504950495	0.0495049504950495	0.0099009900990099	0.00495049504950495	0.00495049504950495	0.0148514851485149	0.00495049504950495	0	0	0	0.0099009900990099	0.00495049504950495	0.0198019801980198	0.0099009900990099	0.0198019801980198	0	0	0.00495049504950495	0.0198019801980198	0	0.00495049504950495	0	0	0	0	0	0	0.00495049504950495	0.00495049504950495	0	0	0	0.00495049504950495	0	0	0
"Geniostoma_borbonicum"	0	0	0	0	0	0	0	0	0	0	0	0	0.145348837209302	0.0232558139534884	0.0581395348837209	0.0581395348837209	0.0406976744186047	0.0755813953488372	0.00581395348837209	0.0232558139534884	0.0116279069767442	0	0.0232558139534884	0	0	0.0116279069767442	0	0	0	0	0	0	0	0	0	0	0.00581395348837209	0	0	0	0	0	0	0.00581395348837209	0.00581395348837209	0	0	0.00581395348837209	0	0
"Sideroxylon_cinereum"	0	0	0	0	0	0	0	0	0	0	0	0	0.0486111111111111	0.263888888888889	0.0555555555555556	0	0.0208333333333333	0.0208333333333333	0.00694444444444444	0	0.00694444444444444	0	0	0	0	0	0	0.0277777777777778	0	0.0347222222222222	0	0	0	0	0	0	0.00694444444444444	0	0.00694444444444444	0	0	0	0	0	0	0	0	0	0	0
"Roussea_simplex"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0638297872340425	0.0638297872340425	0	0	0	0.148936170212766	0	0.0106382978723404	0.0425531914893617	0.0106382978723404	0	0	0.074468085106383	0	0.0319148936170213	0	0.0319148936170213	0	0	0	0	0	0.0212765957446809	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Psiadia_terebinthina"	0	0	0	0	0	0	0	0	0	0	0	0	0.194444444444444	0.0416666666666667	0	0.0416666666666667	0.0138888888888889	0	0	0.0833333333333333	0.0138888888888889	0	0.0277777777777778	0	0	0	0	0	0.0416666666666667	0	0	0.0138888888888889	0	0	0	0	0	0.0138888888888889	0	0	0	0	0	0	0	0	0	0	0	0.0138888888888889
"Croton_fothergillifolius"	0	0	0	0	0	0	0	0	0	0	0	0	0.142857142857143	0.0178571428571429	0	0	0.0892857142857143	0.0178571428571429	0	0.0535714285714286	0	0	0.0357142857142857	0.107142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0178571428571429	0.0178571428571429	0	0	0	0	0	0	0	0	0
"Erythroxylum_macrocarpum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.075	0	0.025	0	0	0	0.2	0	0.075	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Claoxylon_linostachys"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222222222222	0	0	0	0	0.0555555555555556	0	0.0555555555555556	0.0555555555555556	0	0	0.0555555555555556	0	0	0	0	0	0	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Antirhea_borbonica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dodonaea_viscosa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0
