"Phoenicophorium_borsigianum"	"Erythroxylum_sechellarum"	"Canthium_bibracteatum"	"Cinnamomum_verum"	"Roscheria_melanochaetes"	"Colea_seychellarum"	"Lasioglossum_mahense"	"Rhiparida_seychellensis"	"Apis_mellifera"	"Unidentified_sp3_M_PL_094"	"Unidentified_sp4_M_PL_094"	"Hemipyrellia_germana"	"Ornidia_obesa"	"Unidentified_sp1_M_PL_094"	"Leptotes_pirithous"	"Nectarinia_dussumieri"	"Parasarcophaga_hirticeps"	"Unidentified_sp2_M_PL_094"
"Phoenicophorium_borsigianum"	0	0	0	0	0	0	0.207920792079208	0.207920792079208	0.0148514851485149	0.0495049504950495	0.0148514851485149	0	0	0	0	0	0	0.00495049504950495
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0.447368421052632	0	0	0	0	0	0	0.0526315789473684	0	0	0	0
"Canthium_bibracteatum"	0	0	0	0	0	0	0	0	0.3125	0	0	0.125	0.03125	0	0	0	0.03125	0
"Cinnamomum_verum"	0	0	0	0	0	0	0	0	0.366666666666667	0	0	0	0.1	0	0.0333333333333333	0	0	0
"Roscheria_melanochaetes"	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0
"Colea_seychellarum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0
"Lasioglossum_mahense"	0.355932203389831	0.144067796610169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhiparida_seychellensis"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.0625	0	0.208333333333333	0.229166666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp3_M_PL_094"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp4_M_PL_094"	0.214285714285714	0	0	0	0.285714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_germana"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ornidia_obesa"	0	0	0.125	0.375	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_094"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptotes_pirithous"	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nectarinia_dussumieri"	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0
"Parasarcophaga_hirticeps"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp2_M_PL_094"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
