"Roscheria_melanochaetes"	"Mimusops_sechellarum"	"Dillenia_ferruginea"	"Paragenipa_wrightii"	"Memecylon_eleagni"	"Erythroxylum_sechellarum"	"Soulamea_terminaloides"	"Aphloia_theiformis"	"Syzygium_wrightii"	"Craterispermum_microdon"	"Glionnetia_sericea"	"Apis_mellifera"	"Lasioglossum_mahense"	"Unidentified_sp1_M_PL_101"	"Unidentified_sp3_M_PL_101"	"Ornidia_obesa"	"Unidentified_sp2_M_PL_101"	"Unidentified_sp6_M_PL_101"	"Neavella_albipectus"	"Dichaetomyia_fasciculifera"	"Parasarcophaga_hirticeps"	"Scaptodrosophila_sp1_M_PL_101"	"Unidentified_sp4_M_PL_101"	"Unidentified_sp8_M_PL_101"	"Eristalinus_vicarians"	"Perissoma_aenescens"	"Phelsuma_sp1_M_PL_101"	"Unidentified_sp5_M_PL_101"	"Unidentified_sp7_M_PL_101"
"Roscheria_melanochaetes"	0	0	0	0	0	0	0	0	0	0	0	0.0652173913043478	0	0.0434782608695652	0.195652173913043	0	0.152173913043478	0	0	0	0	0	0	0.0434782608695652	0	0	0	0	0
"Mimusops_sechellarum"	0	0	0	0	0	0	0	0	0	0	0	0	0.295454545454545	0	0	0	0	0.136363636363636	0.0454545454545455	0	0	0	0	0	0	0	0	0	0.0227272727272727
"Dillenia_ferruginea"	0	0	0	0	0	0	0	0	0	0	0	0.285714285714286	0.0476190476190476	0	0	0.142857142857143	0	0	0	0	0	0	0	0	0	0.0238095238095238	0	0	0
"Paragenipa_wrightii"	0	0	0	0	0	0	0	0	0	0	0	0.107142857142857	0.392857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Memecylon_eleagni"	0	0	0	0	0	0	0	0	0	0	0	0.416666666666667	0.0833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0	0	0	0	0	0.318181818181818	0.0909090909090909	0	0	0	0	0	0	0.0909090909090909	0	0	0	0	0	0	0	0	0
"Soulamea_terminaloides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0	0	0	0	0	0	0.05	0.05	0	0	0.05	0	0	0	0
"Aphloia_theiformis"	0	0	0	0	0	0	0	0	0	0	0	0.0714285714285714	0.142857142857143	0	0	0.0714285714285714	0	0	0	0	0	0	0.142857142857143	0	0	0	0	0.0714285714285714	0
"Syzygium_wrightii"	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0.1	0.1	0	0	0	0	0.1	0	0
"Craterispermum_microdon"	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Glionnetia_sericea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.0394736842105263	0	0.157894736842105	0.0394736842105263	0.131578947368421	0.0921052631578947	0	0.0131578947368421	0.0263157894736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0	0.185714285714286	0.0285714285714286	0.157142857142857	0.0285714285714286	0.0285714285714286	0	0.0285714285714286	0	0.0428571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_101"	0.111111111111111	0	0	0	0	0	0.388888888888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp3_M_PL_101"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ornidia_obesa"	0	0	0.428571428571429	0	0	0	0	0.0714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
