"Canthium_bibracteatum"	"Memecylon_eleagni"	"Cinnamomum_verum"	"Ochna_kirkii"	"Paragenipa_wrightii"	"Apis_mellifera"	"Lasioglossum_mahense"	"Xylocopa_caffra"	"Lygistorrhina_sp1_M_PL_108"	"Hemipyrellia_sp1_M_PL_108"	"Unidentified_sp1_M_PL_108"	"Scaptodrosophila_sp1_M_PL_108"	"Chalcidoma_disjunctum"	"Hemipyrellia_germana"	"Nectarinia_dussumieri"	"Phalanta_phalantha"
"Canthium_bibracteatum"	0	0	0	0	0	0.14	0.18	0.02	0	0.08	0.06	0	0	0.02	0	0
"Memecylon_eleagni"	0	0	0	0	0	0.269230769230769	0.115384615384615	0	0	0	0	0.0769230769230769	0.0384615384615385	0	0	0
"Cinnamomum_verum"	0	0	0	0	0	0.0833333333333333	0.0416666666666667	0	0.291666666666667	0.0416666666666667	0	0	0	0	0	0.0416666666666667
"Ochna_kirkii"	0	0	0	0	0	0.136363636363636	0	0.318181818181818	0	0	0	0	0	0	0.0454545454545455	0
"Paragenipa_wrightii"	0	0	0	0	0	0.136363636363636	0.318181818181818	0.0454545454545455	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.159090909090909	0.159090909090909	0.0454545454545455	0.0681818181818182	0.0681818181818182	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0.225	0.075	0.025	0	0.175	0	0	0	0	0	0	0	0	0	0	0
"Xylocopa_caffra"	0.0555555555555556	0	0	0.388888888888889	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0
"Lygistorrhina_sp1_M_PL_108"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_sp1_M_PL_108"	0.4	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_108"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Scaptodrosophila_sp1_M_PL_108"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chalcidoma_disjunctum"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_germana"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nectarinia_dussumieri"	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0
"Phalanta_phalantha"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
